時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
95年 6月	0	 48 	 4 	 22 	 7 	 1 	 3 	0	 2 
95年 7月	0	 43 	 1 	 32 	 7 	0	 4 	 2 	0
95年 8月	0	 58 	 1 	 24 	 12 	0	 3 	 1 	 1 
95年 9月	0	 52 	 3 	 18 	 11 	0	0	0	0
95年 10月	0	 34 	 1 	 9 	 6 	0	 1 	 7 	 1 
95年 11月	0	 44 	 4 	 18 	 7 	0	 1 	 3 	0
95年 12月	0	 59 	 2 	 28 	 8 	0	0	 8 	0
96年	 2 	 872 	 37 	 195 	 121 	 4 	 10 	 44 	 2 
96年 1月	0	 47 	 2 	 11 	 8 	0	0	 4 	0
96年 2月	 1 	 30 	0	 13 	 25 	 1 	0	 2 	0
96年 3月	0	 58 	 5 	 20 	 8 	0	0	 3 	0
96年 4月	0	 35 	0	 18 	 4 	0	 2 	 3 	 1 
96年 5月	0	 33 	 4 	 29 	 8 	0	 2 	 3 	0
96年 6月	0	 34 	 2 	 9 	 8 	0	 2 	 6 	0
96年 7月	0	 46 	 2 	 22 	 14 	 1 	 1 	 4 	0
96年 8月	0	 47 	 3 	 30 	 12 	0	 1 	 2 	0
96年 9月	0	 53 	 2 	 6 	 8 	 2 	0	 4 	0
96年 10月	 1 	 254 	 9 	 12 	 8 	0	 1 	 4 	0
96年 11月	0	 146 	 5 	 17 	 10 	0	 1 	 7 	 1 
96年 12月	0	 89 	 3 	 8 	 8 	0	0	 2 	0
97年	 4 	 835 	 25 	 197 	 90 	 5 	 16 	 63 	0
97年 1月	 1 	 92 	 2 	 9 	 7 	0	0	 15 	0
97年 2月	0	 48 	 2 	 2 	 6 	 1 	 2 	 2 	0
97年 3月	0	 70 	 3 	 16 	 9 	 1 	 2 	 2 	0
97年 4月	0	 61 	 1 	 14 	 5 	 1 	 1 	 2 	0
97年 5月	0	 83 	 4 	 12 	 8 	0	 3 	 4 	0
97年 6月	0	 56 	 2 	 28 	 10 	0	 1 	 2 	0
97年 7月	0	 86 	 1 	 25 	 6 	 1 	 1 	 6 	0
97年 8月	0	 68 	 2 	 31 	 8 	0	0	 13 	0
97年 9月	0	 80 	 2 	 20 	 12 	0	 2 	 8 	0
97年 10月	 1 	 65 	 1 	 11 	 6 	0	 1 	 2 	0
97年 11月	0	 64 	 5 	 13 	 7 	0	 1 	 7 	0
97年 12月	 2 	 62 	0	 16 	 6 	 1 	 2 	0	0
