時間	妨害名譽	違反就業服務法	違反選罷法	妨害秘密	遺棄	違反貪污治罪條例	瀆職	懲治走私條例	妨害兵役
94年 12月	0	0	0	0	0	0	0	0	0
95年	0	0	0	0	0	0	0	0	0
95年 1月	0	0	0	0	0	0	0	0	0
95年 2月	0	0	0	0	0	0	0	0	0
95年 3月	0	0	0	0	0	0	0	0	0
95年 4月	0	0	0	0	0	0	0	0	0
95年 5月	0	0	0	0	0	0	0	0	0
95年 6月	0	0	0	0	0	0	0	0	0
95年 7月	0	0	0	0	0	0	0	0	0
95年 8月	0	0	0	0	0	0	0	0	0
95年 9月	0	0	0	0	0	0	0	0	0
95年 10月	0	0	0	0	0	0	0	0	0
95年 11月	0	0	0	0	0	0	0	0	0
95年 12月	0	0	0	0	0	0	0	0	0
96年	0	0	0	0	0	0	0	0	0
96年 1月	0	0	0	0	0	0	0	0	0
96年 2月	0	0	0	0	0	0	0	0	0
96年 3月	0	0	0	0	0	0	0	0	0
96年 4月	0	0	0	0	0	0	0	0	0
96年 5月	0	0	0	0	0	0	0	0	0
96年 6月	0	0	0	0	0	0	0	0	0
96年 7月	0	0	0	0	0	0	0	0	0
96年 8月	0	0	0	0	0	0	0	0	0
96年 9月	0	0	0	0	0	0	0	0	0
96年 10月	0	0	0	0	0	0	0	0	0
96年 11月	0	0	0	0	0	0	0	0	0
96年 12月	0	0	0	0	0	0	0	0	0
97年	0	0	0	0	0	0	0	0	0
97年 1月	0	0	0	0	0	0	0	0	0
97年 2月	0	0	0	0	0	0	0	0	0
97年 3月	0	0	0	0	0	0	0	0	0
97年 4月	0	0	0	0	0	0	0	0	0
97年 5月	0	0	0	0	0	0	0	0	0
97年 6月	0	0	0	0	0	0	0	0	0
97年 7月	0	0	0	0	0	0	0	0	0
97年 8月	0	0	0	0	0	0	0	0	0
97年 9月	0	0	0	0	0	0	0	0	0
97年 10月	0	0	0	0	0	0	0	0	0
97年 11月	0	0	0	0	0	0	0	0	0
97年 12月	0	0	0	0	0	0	0	0	0
98年	0	0	0	0	0	0	0	0	0
98年 1月	0	0	0	0	0	0	0	0	0
98年 2月	0	0	0	0	0	0	0	0	0
98年 3月	0	0	0	0	0	0	0	0	0
98年 4月	0	0	0	0	0	0	0	0	0
98年 5月	0	0	0	0	0	0	0	0	0
98年 6月	0	0	0	0	0	0	0	0	0
98年 7月	0	0	0	0	0	0	0	0	0
98年 8月	0	0	0	0	0	0	0	0	0
98年 9月	0	0	0	0	0	0	0	0	0
98年 10月	0	0	0	0	0	0	0	0	0
98年 11月	0	0	0	0	0	0	0	0	0
98年 12月	0	0	0	0	0	0	0	0	0
99年	0	0	 1 	0	0	0	0	0	0
99年 1月	0	0	 1 	0	0	0	0	0	0
99年 2月	0	0	0	0	0	0	0	0	0
99年 3月	0	0	0	0	0	0	0	0	0
99年 4月	0	0	0	0	0	0	0	0	0
99年 5月	0	0	0	0	0	0	0	0	0
99年 6月	0	0	0	0	0	0	0	0	0
99年 7月	0	0	0	0	0	0	0	0	0
99年 8月	0	0	0	0	0	0	0	0	0
99年 9月	0	0	0	0	0	0	0	0	0
99年 10月	0	0	0	0	0	0	0	0	0
99年 11月	0	0	0	0	0	0	0	0	0
99年 12月	0	0	0	0	0	0	0	0	0
100年	 2 	0	0	0	0	0	0	0	0
100年 1月	0	0	0	0	0	0	0	0	0
100年 2月	0	0	0	0	0	0	0	0	0
100年 3月	 1 	0	0	0	0	0	0	0	0
100年 4月	0	0	0	0	0	0	0	0	0
100年 5月	0	0	0	0	0	0	0	0	0
100年 6月	0	0	0	0	0	0	0	0	0
100年 7月	0	0	0	0	0	0	0	0	0
100年 8月	0	0	0	0	0	0	0	0	0
100年 9月	0	0	0	0	0	0	0	0	0
100年 10月	 1 	0	0	0	0	0	0	0	0
100年 11月	0	0	0	0	0	0	0	0	0
100年 12月	0	0	0	0	0	0	0	0	0
101年	 2 	0	0	0	0	0	0	0	0
101年 1月	0	0	0	0	0	0	0	0	0
101年 2月	0	0	0	0	0	0	0	0	0
101年 3月	0	0	0	0	0	0	0	0	0
101年 4月	0	0	0	0	0	0	0	0	0
101年 5月	0	0	0	0	0	0	0	0	0
101年 6月	0	0	0	0	0	0	0	0	0
101年 7月	0	0	0	0	0	0	0	0	0
101年 8月	0	0	0	0	0	0	0	0	0
101年 9月	 1 	0	0	0	0	0	0	0	0
101年 10月	0	0	0	0	0	0	0	0	0
101年 11月	 1 	0	0	0	0	0	0	0	0
101年 12月	0	0	0	0	0	0	0	0	0
102年	 2 	0	0	0	0	0	0	0	0
102年 1月	0	0	0	0	0	0	0	0	0
102年 2月	0	0	0	0	0	0	0	0	0
102年 3月	0	0	0	0	0	0	0	0	0
102年 4月	0	0	0	0	0	0	0	0	0
102年 5月	0	0	0	0	0	0	0	0	0
102年 6月	0	0	0	0	0	0	0	0	0
102年 7月	0	0	0	0	0	0	0	0	0
102年 8月	0	0	0	0	0	0	0	0	0
102年 9月	0	0	0	0	0	0	0	0	0
102年 10月	 1 	0	0	0	0	0	0	0	0
