時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
89年	0	 23 	 23 	 22 	 19 	0	 2 	 6 	0
89年 1月	0	 4 	0	 1 	 2 	0	0	 2 	0
89年 2月	0	0	 1 	 1 	 2 	0	 1 	0	0
89年 3月	0	 3 	 2 	 2 	0	0	0	 2 	0
89年 4月	0	 1 	 3 	 3 	 2 	0	0	0	0
89年 5月	0	 5 	 1 	 1 	 2 	0	0	0	0
89年 6月	0	0	 4 	 2 	 1 	0	0	0	0
89年 7月	0	 2 	 2 	0	 3 	0	0	 1 	0
89年 8月	0	 2 	 2 	 1 	 2 	0	0	0	0
89年 9月	0	 1 	 3 	 7 	0	0	 1 	0	0
89年 10月	0	0	 3 	0	 1 	0	0	0	0
89年 11月	0	 2 	0	 1 	 1 	0	0	 1 	0
89年 12月	0	 3 	 2 	 3 	 3 	0	0	0	0
90年	 1 	 36 	 19 	 80 	 29 	 1 	 16 	 14 	 4 
90年 1月	0	 7 	 1 	 4 	 2 	 1 	 1 	 2 	0
90年 2月	0	 1 	 1 	 5 	 3 	0	 1 	0	0
90年 3月	0	 2 	 1 	 4 	 1 	0	 1 	0	 1 
90年 4月	0	 5 	 1 	 6 	 2 	0	0	0	0
90年 5月	0	 4 	 4 	 5 	 3 	0	 2 	 1 	0
90年 6月	0	 1 	 3 	 10 	 3 	0	 1 	0	 1 
90年 7月	0	0	 2 	 4 	 2 	0	0	 4 	0
90年 8月	0	 2 	 2 	 14 	 3 	0	 1 	 2 	0
90年 9月	0	 3 	 2 	 8 	 3 	0	0	 2 	0
90年 10月	0	 3 	 2 	 5 	 3 	0	 4 	0	0
90年 11月	 1 	 3 	0	 8 	 2 	0	 4 	 2 	 2 
90年 12月	0	 5 	0	 7 	 2 	0	 1 	 1 	0
91年	0	 26 	 12 	 73 	 57 	0	 16 	 7 	 1 
91年 1月	0	 1 	 1 	 2 	 3 	0	 1 	0	0
91年 2月	0	 1 	 1 	 10 	 8 	0	 1 	 1 	0
91年 3月	0	 1 	 2 	 7 	0	0	 3 	 1 	0
91年 4月	0	 2 	 3 	 3 	 6 	0	 3 	0	0
91年 5月	0	 2 	 1 	 2 	 4 	0	 2 	0	0
91年 6月	0	 1 	 1 	 5 	 2 	0	 3 	 2 	0
91年 7月	0	 3 	 2 	 13 	 3 	0	 1 	 2 	0
91年 8月	0	 3 	0	 11 	 4 	0	0	 1 	0
91年 9月	0	 2 	 1 	 9 	 7 	0	 1 	0	0
91年 10月	0	 4 	0	 5 	 9 	0	0	0	0
91年 11月	0	 1 	0	 3 	 6 	0	0	0	 1 
91年 12月	0	 5 	0	 3 	 5 	0	 1 	0	0
92年	0	 9 	 8 	 68 	 48 	0	 3 	 22 	0
92年 1月	0	 1 	 1 	 9 	 4 	0	0	 1 	0
92年 2月	0	 1 	0	 5 	 8 	0	 1 	 2 	0
92年 3月	0	0	 1 	 4 	 5 	0	0	 2 	0
92年 4月	0	 4 	 1 	 4 	 6 	0	0	 1 	0
92年 5月	0	 1 	0	 1 	 3 	0	 1 	 3 	0
92年 6月	0	0	 1 	 1 	 4 	0	0	 2 	0
92年 7月	0	0	 1 	 11 	 4 	0	0	 1 	0
92年 8月	0	 1 	 1 	 21 	 4 	0	0	0	0
92年 9月	0	0	 1 	 2 	 6 	0	 1 	 1 	0
92年 10月	0	0	 1 	 5 	 2 	0	0	 3 	0
92年 11月	0	0	0	0	 1 	0	0	 2 	0
92年 12月	0	 1 	0	 5 	 1 	0	0	 4 	0
93年	0	 13 	 6 	 50 	 37 	 1 	 5 	 19 	 1 
93年 1月	0	 1 	0	 9 	 3 	0	 1 	 1 	0
93年 2月	0	0	0	 5 	 2 	0	0	0	0
93年 3月	0	0	0	0	 2 	0	0	 2 	0
93年 4月	0	0	0	 2 	 2 	0	0	 3 	0
93年 5月	0	 2 	 1 	 2 	 3 	0	0	 3 	0
93年 6月	0	0	0	0	 1 	 1 	0	0	0
93年 7月	0	 1 	0	 18 	 5 	0	 1 	0	0
93年 8月	0	0	0	 5 	 2 	0	0	0	0
93年 9月	0	 2 	 2 	 3 	 5 	0	0	 1 	0
93年 10月	0	 3 	 1 	0	 6 	0	0	 3 	0
93年 11月	0	0	 1 	 2 	 2 	0	0	 4 	0
93年 12月	0	 4 	 1 	 4 	 4 	0	 3 	 2 	 1 
94年	 1 	 25 	 4 	 68 	 38 	0	 7 	 12 	0
94年 1月	0	0	0	 2 	 2 	0	 1 	 1 	0
94年 2月	0	0	0	 4 	 1 	0	0	 2 	0
94年 3月	0	0	0	 5 	 1 	0	0	 1 	0
