時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
96年	 1 	0	0	 2 	 61 	0	 7 	 703 	0
96年 1月	0	0	0	 1 	 5 	0	 1 	 71 	0
96年 2月	0	0	0	0	 2 	0	0	 71 	0
96年 3月	 1 	0	0	0	 3 	0	 2 	 68 	0
96年 4月	0	0	0	0	 2 	0	0	 39 	0
96年 5月	0	0	0	 1 	 4 	0	 1 	 62 	0
96年 6月	0	0	0	0	 5 	0	0	 48 	0
96年 7月	0	0	0	0	 8 	0	0	 50 	0
96年 8月	0	0	0	0	 6 	0	 1 	 56 	0
96年 9月	0	0	0	0	 10 	0	 1 	 44 	0
96年 10月	0	0	0	0	 10 	0	0	 84 	0
96年 11月	0	0	0	0	 2 	0	0	 54 	0
96年 12月	0	0	0	0	 4 	0	 1 	 56 	0
97年	0	0	0	0	 34 	0	 1 	 746 	0
97年 1月	0	0	0	0	 2 	0	0	 70 	0
97年 2月	0	0	0	0	 3 	0	0	 46 	0
97年 3月	0	0	0	0	 1 	0	0	 43 	0
97年 4月	0	0	0	0	 1 	0	0	 56 	0
97年 5月	0	0	0	0	 3 	0	0	 54 	0
97年 6月	0	0	0	0	 7 	0	0	 56 	0
97年 7月	0	0	0	0	 5 	0	0	 63 	0
97年 8月	0	0	0	0	 3 	0	 1 	 72 	0
97年 9月	0	0	0	0	 3 	0	0	 77 	0
97年 10月	0	0	0	0	0	0	0	 76 	0
97年 11月	0	0	0	0	0	0	0	 70 	0
97年 12月	0	0	0	0	 6 	0	0	 63 	0
98年	 1 	 1 	0	 4 	 45 	0	 5 	 836 	0
98年 1月	 1 	0	0	0	 7 	0	0	 63 	0
98年 2月	0	0	0	0	 4 	0	 3 	 59 	0
98年 3月	0	 1 	0	0	 4 	0	0	 71 	0
98年 4月	0	0	0	0	 1 	0	0	 67 	0
98年 5月	0	0	0	0	 8 	0	0	 63 	0
98年 6月	0	0	0	0	 2 	0	0	 76 	0
98年 7月	0	0	0	0	 6 	0	 2 	 78 	0
98年 8月	0	0	0	 2 	 1 	0	0	 68 	0
98年 9月	0	0	0	0	 8 	0	0	 72 	0
98年 10月	0	0	0	 1 	 2 	0	0	 70 	0
98年 11月	0	0	0	 1 	 2 	0	0	 74 	0
98年 12月	0	0	0	0	0	0	0	 75 	0
99年	0	 110 	0	 2 	 36 	0	 12 	 906 	 1 
99年 1月	0	0	0	0	0	0	0	 75 	0
99年 2月	0	0	0	0	 3 	0	0	 85 	0
99年 3月	0	0	0	0	 3 	0	0	 79 	 1 
99年 4月	0	 2 	0	0	 2 	0	0	 63 	0
99年 5月	0	 14 	0	0	 4 	0	0	 65 	0
99年 6月	0	 5 	0	0	0	0	 1 	 70 	0
99年 7月	0	 23 	0	 1 	 2 	0	0	 81 	0
99年 8月	0	 20 	0	 1 	 1 	0	0	 81 	0
99年 9月	0	 8 	0	0	 8 	0	 1 	 78 	0
99年 10月	0	 4 	0	0	 4 	0	0	 73 	0
99年 11月	0	 7 	0	0	 5 	0	0	 73 	0
99年 12月	0	 27 	0	0	 4 	0	 10 	 83 	0
100年	0	 43 	0	 3 	 63 	0	 3 	 976 	 1 
100年 1月	0	 4 	0	0	 6 	0	0	 75 	0
100年 2月	0	 6 	0	0	 3 	0	0	 114 	0
100年 3月	0	 26 	0	 1 	 1 	0	0	 104 	0
