"","警察機關查獲毒品嫌疑犯人數─按年齡別分"
"","總計 / 年齡別總計 ","總計 /  0- 5歲 ","總計 /  6-11歲 ","總計 / 12-17歲 ","總計 / 18-23歲 ","總計 / 24-29歲 ","總計 / 30-39歲 ","總計 / 40-49歲 ","總計 / 50-59歲 ","總計 / 60-64歲 ","總計 / 65-69歲 ","總計 / 70歲以上 ","總計 / 不詳 ","男 / 年齡別總計 ","男 /  0- 5歲 ","男 /  6-11歲 ","男 / 12-17歲 ","男 / 18-23歲 ","男 / 24-29歲 ","男 / 30-39歲 ","男 / 40-49歲 ","男 / 50-59歲 ","男 / 60-64歲 ","男 / 65-69歲 ","男 / 70歲以上 ","男 / 不詳 ","女 / 年齡別總計 ","女 /  0- 5歲 ","女 /  6-11歲 ","女 / 12-17歲 ","女 / 18-23歲 ","女 / 24-29歲 ","女 / 30-39歲 ","女 / 40-49歲 ","女 / 50-59歲 ","女 / 60-64歲 ","女 / 65-69歲 ","女 / 70歲以上 ","女 / 不詳 "
"90年 11月","  2,727","      -","      -","     58","    598","    853","    826","    317","     56","     14","      -","      5","      -","  2,341","      -","      -","     37","    441","    736","    762","    296","     53","     12","      -","      4","      -","    386","      -","      -","     21","    157","    117","     64","     21","      3","      2","      -","      1","      -"
"90年 12月","  2,242","      -","      -","     65","    506","    693","    674","    245","     46","      9","      -","      4","      -","  1,892","      -","      -","     34","    372","    592","    616","    227","     41","      7","      -","      3","      -","    350","      -","      -","     31","    134","    101","     58","     18","      5","      2","      -","      1","      -"
"91年"," 30,643","      -","      -","  1,073","  7,522","  9,102","  8,912","  3,358","    566","     66","     20","     23","      1"," 25,931","      -","      -","    641","  5,576","  7,882","  8,065","  3,140","    529","     60","     18","     19","      1","  4,712","      -","      -","    432","  1,946","  1,220","    847","    218","     37","      6","      2","      4","      -"
"91年 1月","  1,382","      -","      -","     32","    294","    402","    430","    176","     37","      9","      1","      1","      -","  1,172","      -","      -","     18","    211","    344","    392","    162","     34","      9","      1","      1","      -","    210","      -","      -","     14","     83","     58","     38","     14","      3","      -","      -","      -","      -"
"91年 2月","  3,045","      -","      -","     77","    619","    969","    935","    365","     63","      7","      5","      5","      -","  2,622","      -","      -","     50","    450","    876","    843","    331","     58","      5","      5","      4","      -","    423","      -","      -","     27","    169","     93","     92","     34","      5","      2","      -","      1","      -"
"91年 3月","  2,051","      -","      -","     55","    495","    588","    627","    251","     29","      4","      1","      1","      -","  1,772","      -","      -","     31","    385","    513","    569","    241","     27","      4","      1","      1","      -","    279","      -","      -","     24","    110","     75","     58","     10","      2","      -","      -","      -","      -"
"91年 4月","  2,321","      -","      -","     57","    529","    733","    683","    261","     49","      5","      1","      3","      -","  2,009","      -","      -","     29","    420","    652","    611","    244","     44","      5","      1","      3","      -","    312","      -","      -","     28","    109","     81","     72","     17","      5","      -","      -","      -","      -"
"91年 5月","  2,410","      -","      -","    131","    603","    676","    673","    261","     52","      8","      -","      6","      -","  2,066","      -","      -","     71","    477","    594","    620","    245","     48","      6","      -","      5","      -","    344","      -","      -","     60","    126","     82","     53","     16","      4","      2","      -","      1","      -"
"91年 6月","  2,766","      -","      -","    111","    726","    788","    804","    261","     65","      7","      2","      1","      1","  2,309","      -","      -","     64","    537","    667","    727","    243","     61","      7","      2","      -","      1","    457","      -","      -","     47","    189","    121","     77","     18","      4","      -","      -","      1","      -"
"91年 7月","  2,966","      -","      -","    186","    884","    834","    749","    274","     34","      2","      2","      1","      -","  2,464","      -","      -","    111","    651","    721","    682","    261","     34","      2","      1","      1","      -","    502","      -","      -","     75","    233","    113","     67","     13","      -","      -","      1","      -","      -"
"91年 8月","  3,259","      -","      -","    109","    959","    958","    872","    299","     51","      7","      3","      1","      -","  2,702","      -","      -","     73","    688","    810","    791","    282","     47","      7","      3","      1","      -","    557","      -","      -","     36","    271","    148","     81","     17","      4","      -","      -","      -","      -"
"91年 9月","  2,741","      -","      -","     62","    668","    840","    799","    324","     42","      4","      2","      -","      -","  2,299","      -","      -","     41","    483","    713","    725","    296","     36","      4","      1","      -","      -","    442","      -","      -","     21","    185","    127","     74","     28","      6","      -","      1","      -","      -"
"91年 10月","  2,699","      -","      -","    136","    605","    796","    819","    283","     54","      3","      2","      1","      -","  2,252","      -","      -","     79","    442","    676","    728","    269","     52","      3","      2","      1","      -","    447","      -","      -","     57","    163","    120","     91","     14","      2","      -","      -","      -","      -"
"91年 11月","  2,429","      -","      -","     54","    545","    742","    753","    288","     41","      5","      1","      -","      -","  2,081","      -","      -","     39","    396","    648","    680","    272","     41","      4","      1","      -","      -","    348","      -","      -","     15","    149","     94","     73","     16","      -","      1","      -","      -","      -"
"91年 12月","  2,574","      -","      -","     63","    595","    776","    768","    315","     49","      5","      -","      3","      -","  2,183","      -","      -","     35","    436","    668","    697","    294","     47","      4","      -","      2","      -","    391","      -","      -","     28","    159","    108","     71","     21","      2","      1","      -","      1","      -"
"92年"," 28,921","      -","      -","    783","  5,702","  9,151","  8,933","  3,608","    651","     53","     22","     18","      -"," 24,407","      -","      -","    449","  4,139","  7,737","  8,059","  3,349","    595","     46","     18","     15","      -","  4,514","      -","      -","    334","  1,563","  1,414","    874","    259","     56","      7","      4","      3","      -"
"92年 1月","  3,203","      -","      -","     81","    654","  1,009","    978","    396","     75","      7","      3","      -","      -","  2,714","      -","      -","     44","    471","    859","    896","    369","     66","      7","      2","      -","      -","    489","      -","      -","     37","    183","    150","     82","     27","      9","      -","      1","      -","      -"
"92年 2月","  1,917","      -","      -","     45","    356","    624","    602","    240","     43","      6","      -","      1","      -","  1,621","      -","      -","     24","    252","    540","    534","    226","     39","      5","      -","      1","      -","    296","      -","      -","     21","    104","     84","     68","     14","      4","      1","      -","      -","      -"
"92年 3月","  2,417","      -","      -","     78","    560","    751","    740","    233","     47","      4","      1","      3","      -","  2,036","      -","      -","     51","    422","    629","    665","    221","     42","      3","      1","      2","      -","    381","      -","      -","     27","    138","    122","     75","     12","      5","      1","      -","      1","      -"
"92年 4月","  2,657","      -","      -","     53","    560","    853","    781","    353","     51","      4","      1","      1","      -","  2,253","      -","      -","     29","    415","    698","    721","    336","     48","      4","      1","      1","      -","    404","      -","      -","     24","    145","    155","     60","     17","      3","      -","      -","      -","      -"
"92年 5月","  2,621","      -","      -","     80","    507","    847","    790","    322","     62","      8","      4","      1","      -","  2,201","      -","      -","     45","    363","    726","    711","    293","     57","      3","      2","      1","      -","    420","      -","      -","     35","    144","    121","     79","     29","      5","      5","      2","      -","      -"
"92年 6月","  2,410","      -","      -","     69","    434","    757","    749","    332","     62","      4","      3","      -","      -","  2,000","      -","      -","     39","    302","    636","    659","    302","     55","      4","      3","      -","      -","    410","      -","      -","     30","    132","    121","     90","     30","      7","      -","      -","      -","      -"
"92年 7月","  2,289","      -","      -","     89","    411","    690","    739","    313","     40","      4","      1","      2","      -","  1,954","      -","      -","     47","    304","    602","    665","    292","     38","      4","      -","      2","      -","    335","      -","      -","     42","    107","     88","     74","     21","      2","      -","      1","      -","      -"
"92年 8月","  2,328","      -","      -","     72","    465","    729","    704","    299","     54","      4","      -","      1","      -","  1,954","      -","      -","     40","    338","    608","    632","    280","     51","      4","      -","      1","      -","    374","      -","      -","     32","    127","    121","     72","     19","      3","      -","      -","      -","      -"
"92年 9月","  2,254","      -","      -","     62","    425","    724","    723","    259","     53","      5","      2","      1","      -","  1,922","      -","      -","     32","    321","    614","    655","    242","     51","      5","      2","      -","      -","    332","      -","      -","     30","    104","    110","     68","     17","      2","      -","      -","      1","      -"
"92年 10月","  2,480","      -","      -","     57","    548","    760","    747","    298","     60","      4","      1","      5","      -","  2,116","      -","      -","     39","    403","    652","    686","    277","     50","      4","      1","      4","      -","    364","      -","      -","     18","    145","    108","     61","     21","     10","      -","      -","      1","      -"
"92年 11月","  2,254","      -","      -","     39","    406","    741","    706","    303","     52","      2","      2","      3","      -","  1,884","      -","      -","     22","    291","    613","    627","    274","     50","      2","      2","      3","      -","    370","      -","      -","     17","    115","    128","     79","     29","      2","      -","      -","      -","      -"
"92年 12月","  2,091","      -","      -","     58","    376","    666","    674","    260","     52","      1","      4","      -","      -","  1,752","      -","      -","     37","    257","    560","    608","    237","     48","      1","      4","      -","      -","    339","      -","      -","     21","    119","    106","     66","     23","      4","      -","      -","      -","      -"
"93年"," 40,136","      -","      1","    712","  6,065"," 13,082"," 13,424","  5,668","  1,037","     94","     29","     24","      -"," 34,178","      -","      -","    443","  4,308"," 11,054"," 12,015","  5,264","    959","     88","     26","     21","      -","  5,958","      -","      1","    269","  1,757","  2,028","  1,409","    404","     78","      6","      3","      3","      -"
"93年 1月","  3,038","      -","      -","     61","    517","    987","    942","    432","     77","     14","      4","      4","      -","  2,568","      -","      -","     39","    358","    829","    849","    400","     72","     14","      4","      3","      -","    470","      -","      -","     22","    159","    158","     93","     32","      5","      -","      -","      1","      -"
"93年 2月","  2,693","      -","      -","     62","    463","    869","    908","    332","     51","      4","      2","      2","      -","  2,326","      -","      -","     43","    328","    760","    830","    312","     47","      4","      1","      1","      -","    367","      -","      -","     19","    135","    109","     78","     20","      4","      -","      1","      1","      -"
"93年 3月","  2,649","      -","      -","     59","    414","    857","    842","    393","     76","      4","      2","      2","      -","  2,259","      -","      -","     40","    303","    725","    756","    360","     69","      3","      1","      2","      -","    390","      -","      -","     19","    111","    132","     86","     33","      7","      1","      1","      -","      -"
"93年 4月","  2,751","      -","      -","     44","    417","    917","    919","    377","     68","      7","      -","      2","      -","  2,381","      -","      -","     26","    306","    798","    839","    343","     61","      6","      -","      2","      -","    370","      -","      -","     18","    111","    119","     80","     34","      7","      1","      -","      -","      -"
"93年 5月","  2,948","      -","      -","     42","    440","    915","  1,033","    435","     77","      2","      2","      2","      -","  2,527","      -","      -","     27","    306","    781","    932","    403","     72","      2","      2","      2","      -","    421","      -","      -","     15","    134","    134","    101","     32","      5","      -","      -","      -","      -"
"93年 6月","  2,884","      -","      -","     44","    453","    924","    947","    434","     72","      5","      4","      1","      -","  2,489","      -","      -","     29","    336","    787","    860","    403","     66","      3","      4","      1","      -","    395","      -","      -","     15","    117","    137","     87","     31","      6","      2","      -","      -","      -"
"93年 7月","  3,950","      -","      -","     90","    606","  1,289","  1,305","    551","     98","     10","      1","      -","      -","  3,304","      -","      -","     53","    421","  1,084","  1,135","    512","     90","      8","      1","      -","      -","    646","      -","      -","     37","    185","    205","    170","     39","      8","      2","      -","      -","      -"
"93年 8月","  3,995","      -","      -","    102","    685","  1,267","  1,265","    543","    115","     11","      5","      2","      -","  3,340","      -","      -","     57","    479","  1,039","  1,133","    505","    109","     11","      5","      2","      -","    655","      -","      -","     45","    206","    228","    132","     38","      6","      -","      -","      -","      -"
"93年 9月","  3,745","      -","      1","     58","    564","  1,210","  1,261","    551","     85","      7","      4","      4","      -","  3,187","      -","      -","     40","    386","  1,016","  1,135","    518","     79","      7","      3","      3","      -","    558","      -","      1","     18","    178","    194","    126","     33","      6","      -","      1","      1","      -"
"93年 10月","  3,735","      -","      -","     47","    515","  1,222","  1,274","    552","    105","     16","      3","      1","      -","  3,203","      -","      -","     28","    370","  1,041","  1,128","    516","    100","     16","      3","      1","      -","    532","      -","      -","     19","    145","    181","    146","     36","      5","      -","      -","      -","      -"
"93年 11月","  4,330","      -","      -","     66","    557","  1,472","  1,501","    596","    124","      9","      1","      4","      -","  3,648","      -","      -","     39","    394","  1,222","  1,313","    554","    112","      9","      1","      4","      -","    682","      -","      -","     27","    163","    250","    188","     42","     12","      -","      -","      -","      -"
"93年 12月","  3,418","      -","      -","     37","    434","  1,153","  1,227","    472","     89","      5","      1","      -","      -","  2,946","      -","      -","     22","    321","    972","  1,105","    438","     82","      5","      1","      -","      -","    472","      -","      -","     15","    113","    181","    122","     34","      7","      -","      -","      -","      -"
"94年"," 51,376","      -","      3","    645","  6,111"," 15,951"," 18,615","  8,169","  1,638","    150","     51","     43","      -"," 43,188","      -","      1","    373","  4,189"," 12,875"," 16,500","  7,483","  1,535","    142","     49","     41","      -","  8,188","      -","      2","    272","  1,922","  3,076","  2,115","    686","    103","      8","      2","      2","      -"
"94年 1月","  5,612","      -","      -","     62","    693","  1,749","  2,039","    862","    185","     17","      4","      1","      -","  4,750","      -","      -","     43","    489","  1,446","  1,807","    777","    168","     15","      4","      1","      -","    862","      -","      -","     19","    204","    303","    232","     85","     17","      2","      -","      -","      -"
"94年 2月","  3,708","      -","      -","     54","    474","  1,169","  1,301","    580","    109","     16","      3","      2","      -","  3,106","      -","      -","     27","    317","    955","  1,146","    535","    106","     15","      3","      2","      -","    602","      -","      -","     27","    157","    214","    155","     45","      3","      1","      -","      -","      -"
"94年 3月","  3,978","      -","      -","     50","    480","  1,293","  1,426","    593","    112","     16","      5","      3","      -","  3,373","      -","      -","     33","    327","  1,061","  1,276","    548","    104","     16","      5","      3","      -","    605","      -","      -","     17","    153","    232","    150","     45","      8","      -","      -","      -","      -"
"94年 4月","  4,042","      -","      1","     49","    571","  1,312","  1,339","    642","    114","      4","      2","      8","      -","  3,446","      -","      1","     32","    397","  1,089","  1,207","    600","    108","      3","      1","      8","      -","    596","      -","      -","     17","    174","    223","    132","     42","      6","      1","      1","      -","      -"
"94年 5月","  4,460","      -","      -","     77","    608","  1,416","  1,500","    678","    152","     17","      4","      8","      -","  3,723","      -","      -","     35","    417","  1,153","  1,336","    616","    138","     17","      4","      7","      -","    737","      -","      -","     42","    191","    263","    164","     62","     14","      -","      -","      1","      -"
"94年 6月","  4,090","      -","      -","     49","    525","  1,230","  1,488","    648","    132","     10","      3","      5","      -","  3,453","      -","      -","     26","    372","    995","  1,329","    588","    125","     10","      3","      5","      -","    637","      -","      -","     23","    153","    235","    159","     60","      7","      -","      -","      -","      -"
"94年 7月","  4,825","      -","      -","     73","    546","  1,478","  1,805","    755","    152","     13","      2","      1","      -","  4,029","      -","      -","     30","    376","  1,182","  1,581","    702","    142","     13","      2","      1","      -","    796","      -","      -","     43","    170","    296","    224","     53","     10","      -","      -","      -","      -"
"94年 8月","  5,166","      -","      -","     80","    617","  1,575","  1,894","    830","    150","     10","      7","      3","      -","  4,303","      -","      -","     49","    427","  1,268","  1,649","    750","    141","     10","      6","      3","      -","    863","      -","      -","     31","    190","    307","    245","     80","      9","      -","      1","      -","      -"
"94年 9月","  4,638","      -","      1","     43","    503","  1,432","  1,717","    766","    155","      8","     11","      2","      -","  3,909","      -","      -","     32","    345","  1,123","  1,547","    694","    147","      8","     11","      2","      -","    729","      -","      1","     11","    158","    309","    170","     72","      8","      -","      -","      -","      -"
"94年 10月","  4,239","      -","      1","     41","    442","  1,317","  1,577","    693","    145","     16","      5","      2","      -","  3,519","      -","      -","     26","    274","  1,054","  1,377","    628","    139","     14","      5","      2","      -","    720","      -","      1","     15","    168","    263","    200","     65","      6","      2","      -","      -","      -"
"94年 11月","  3,710","      -","      -","     50","    362","  1,106","  1,419","    622","    131","     16","      1","      3","      -","  3,132","      -","      -","     29","    249","    873","  1,259","    580","    125","     14","      1","      2","      -","    578","      -","      -","     21","    113","    233","    160","     42","      6","      2","      -","      1","      -"
"94年 12月","  2,908","      -","      -","     17","    290","    874","  1,110","    500","    101","      7","      4","      5","      -","  2,445","      -","      -","     11","    199","    676","    986","    465","     92","      7","      4","      5","      -","    463","      -","      -","      6","     91","    198","    124","     35","      9","      -","      -","      -","      -"
"95年"," 47,257","      -","      -","    518","  4,488"," 13,223"," 18,047","  8,955","  1,829","    119","     50","     27","      1"," 39,461","      -","      -","    304","  3,067"," 10,295"," 15,692","  8,210","  1,712","    106","     49","     26","      -","  7,796","      -","      -","    214","  1,421","  2,928","  2,355","    745","    117","     13","      1","      1","      1"
"95年 1月","  4,772","      -","      -","     44","    449","  1,392","  1,789","    892","    185","     12","      6","      3","      -","  4,000","      -","      -","     23","    312","  1,100","  1,547","    821","    177","     12","      6","      2","      -","    772","      -","      -","     21","    137","    292","    242","     71","      8","      -","      -","      1","      -"
"95年 2月","  3,473","      -","      -","     31","    382","    948","  1,287","    680","    125","     13","      6","      1","      -","  2,881","      -","      -","     18","    260","    721","  1,115","    629","    120","     11","      6","      1","      -","    592","      -","      -","     13","    122","    227","    172","     51","      5","      2","      -","      -","      -"
"95年 3月","  3,538","      -","      -","     34","    379","  1,057","  1,309","    614","    133","      9","      1","      2","      -","  2,940","      -","      -","     16","    254","    813","  1,157","    562","    128","      7","      1","      2","      -","    598","      -","      -","     18","    125","    244","    152","     52","      5","      2","      -","      -","      -"
"95年 4月","  3,986","      -","      -","     65","    440","  1,093","  1,551","    709","    119","      4","      4","      1","      -","  3,304","      -","      -","     43","    276","    843","  1,373","    651","    109","      4","      4","      1","      -","    682","      -","      -","     22","    164","    250","    178","     58","     10","      -","      -","      -","      -"
"95年 5月","  3,624","      -","      -","     53","    382","  1,015","  1,373","    666","    122","      4","      7","      2","      -","  2,977","      -","      -","     23","    266","    776","  1,168","    618","    113","      4","      7","      2","      -","    647","      -","      -","     30","    116","    239","    205","     48","      9","      -","      -","      -","      -"
"95年 6月","  3,292","      -","      -","     28","    343","    912","  1,267","    615","    112","      6","      7","      2","      -","  2,742","      -","      -","     17","    231","    714","  1,093","    565","    109","      5","      6","      2","      -","    550","      -","      -","     11","    112","    198","    174","     50","      3","      1","      1","      -","      -"
"95年 7月","  3,982","      -","      -","     55","    365","  1,119","  1,502","    781","    148","      5","      4","      3","      -","  3,297","      -","      -","     39","    240","    851","  1,300","    715","    141","      4","      4","      3","      -","    685","      -","      -","     16","    125","    268","    202","     66","      7","      1","      -","      -","      -"
"95年 8月","  5,419","      -","      -","     95","    455","  1,488","  2,048","  1,064","    244","     16","      6","      3","      -","  4,508","      -","      -","     49","    311","  1,167","  1,755","    982","    221","     14","      6","      3","      -","    911","      -","      -","     46","    144","    321","    293","     82","     23","      2","      -","      -","      -"
"95年 9月","  3,866","      -","      -","     24","    340","  1,048","  1,527","    734","    171","     18","      1","      3","      -","  3,244","      -","      -","     17","    229","    831","  1,325","    667","    155","     16","      1","      3","      -","    622","      -","      -","      7","    111","    217","    202","     67","     16","      2","      -","      -","      -"
"95年 10月","  3,590","      -","      -","     38","    322","    966","  1,405","    707","    142","      9","      -","      1","      -","  3,014","      -","      -","     20","    231","    749","  1,230","    640","    136","      7","      -","      1","      -","    576","      -","      -","     18","     91","    217","    175","     67","      6","      2","      -","      -","      -"
"95年 11月","  4,242","      -","      -","     19","    341","  1,229","  1,615","    841","    179","     12","      4","      1","      1","  3,633","      -","      -","     15","    248","    993","  1,428","    768","    165","     11","      4","      1","      -","    609","      -","      -","      4","     93","    236","    187","     73","     14","      1","      -","      -","      1"
"95年 12月","  3,473","      -","      -","     32","    290","    956","  1,374","    652","    149","     11","      4","      5","      -","  2,921","      -","      -","     24","    209","    737","  1,201","    592","    138","     11","      4","      5","      -","    552","      -","      -","      8","     81","    219","    173","     60","     11","      -","      -","      -","      -"
"96年"," 53,681","      -","      -","    602","  4,688"," 14,364"," 21,028"," 10,188","  2,492","    187","     79","     53","      -"," 45,663","      -","      -","    399","  3,355"," 11,606"," 18,334","  9,336","  2,333","    177","     73","     50","      -","  8,018","      -","      -","    203","  1,333","  2,758","  2,694","    852","    159","     10","      6","      3","      -"
