"","警察機關查獲毒品嫌疑犯人數─按職業狀況別分"
"","總計 / 職業別總計 ","總計 / 民意代表、主管及經理人員 ","總計 / 專業人員 ","總計 / 技術員及助理專業人員 ","總計 / 事務支援人員 ","總計 / 服務(不含保安)工作人員 ","總計 / 銷售及展示工作人員 ","總計 / 農、林、漁、牧業生產人員 ","總計 / 保安服務工作人員(含軍人) ","總計 / 技藝(技術)有關工作人員 ","總計 / 駕駛及移運設備操作人員 ","總計 / 駕駛及移運操作除外之機械設備操作及組裝人員 ","總計 / 基層技術工及勞力工 ","總計 / 學生 ","總計 / 無職 ","總計 / 其他(含不詳) ","男 / 職業別總計 ","男 / 民意代表、主管及經理人員 ","男 / 專業人員 ","男 / 技術員及助理專業人員 ","男 / 事務支援人員 ","男 / 服務(不含保安)工作人員 ","男 / 銷售及展示工作人員 ","男 / 農、林、漁、牧業生產人員 ","男 / 保安服務工作人員(含軍人) ","男 / 技藝(技術)有關工作人員 ","男 / 駕駛及移運設備操作人員 ","男 / 駕駛及移運操作除外之機械設備操作及組裝人員 ","男 / 基層技術工及勞力工 ","男 / 學生 ","男 / 無職 ","男 / 其他(含不詳) ","女 / 職業別總計 ","女 / 民意代表、主管及經理人員 ","女 / 專業人員 ","女 / 技術員及助理專業人員 ","女 / 事務支援人員 ","女 / 服務(不含保安)工作人員 ","女 / 銷售及展示工作人員 ","女 / 農、林、漁、牧業生產人員 ","女 / 保安服務工作人員(含軍人) ","女 / 技藝(技術)有關工作人員 ","女 / 駕駛及移運設備操作人員 ","女 / 駕駛及移運操作除外之機械設備操作及組裝人員 ","女 / 基層技術工及勞力工 ","女 / 學生 ","女 / 無職 ","女 / 其他(含不詳) "
"91年"," 30,643","    340","     86","    298","    249","  1,411","    795","    627","    371","  2,906","    466","    807","  2,520","    878"," 18,494","    395"," 25,931","    315","     73","    266","    160","    983","    674","    617","    370","  2,840","    463","    773","  2,394","    593"," 15,078","    332","  4,712","     25","     13","     32","     89","    428","    121","     10","      1","     66","      3","     34","    126","    285","  3,416","     63"
"91年 1月","  1,382","     16","      3","     10","      3","     54","     34","     33","      9","    131","     24","     40","     86","     13","    906","     20","  1,172","     16","      3","     10","      3","     39","     26","     32","      9","    127","     24","     37","     84","      5","    742","     15","    210","      -","      -","      -","      -","     15","      8","      1","      -","      4","      -","      3","      2","      8","    164","      5"
"91年 2月","  3,045","     41","      5","     35","     12","    116","     88","     56","     31","    331","     52","     78","    201","     35","  1,927","     37","  2,622","     41","      3","     33","     12","     86","     79","     54","     31","    322","     51","     74","    194","     22","  1,589","     31","    423","      -","      2","      2","      -","     30","      9","      2","      -","      9","      1","      4","      7","     13","    338","      6"
"91年 3月","  2,051","     18","      8","     18","     13","     72","     44","     38","     24","    175","     31","     33","    157","     46","  1,351","     23","  1,772","     16","      8","     16","      9","     54","     39","     37","     24","    170","     30","     32","    152","     35","  1,129","     21","    279","      2","      -","      2","      4","     18","      5","      1","      -","      5","      1","      1","      5","     11","    222","      2"
"91年 4月","  2,321","     29","      5","     22","     13","     95","     68","     57","     22","    236","     41","     71","    166","     66","  1,397","     33","  2,009","     27","      4","     20","      7","     72","     57","     55","     21","    232","     41","     68","    163","     47","  1,168","     27","    312","      2","      1","      2","      6","     23","     11","      2","      1","      4","      -","      3","      3","     19","    229","      6"
"91年 5月","  2,410","     23","     10","     16","      8","    102","     65","     52","     35","    250","     36","     62","    177","     90","  1,448","     36","  2,066","     22","      6","     14","      4","     74","     55","     52","     35","    245","     36","     61","    169","     67","  1,197","     29","    344","      1","      4","      2","      4","     28","     10","      -","      -","      5","      -","      1","      8","     23","    251","      7"
"91年 6月","  2,766","     39","     15","     35","     21","    165","     75","     56","     51","    248","     37","     65","    214","    109","  1,570","     66","  2,309","     30","     13","     33","     15","    120","     62","     56","     51","    239","     37","     63","    208","     82","  1,244","     56","    457","      9","      2","      2","      6","     45","     13","      -","      -","      9","      -","      2","      6","     27","    326","     10"
"91年 7月","  2,966","     25","      8","     39","     15","    172","     82","     56","     33","    301","     43","     77","    233","    144","  1,696","     42","  2,464","     23","      7","     30","     10","    116","     68","     54","     33","    294","     43","     74","    222","     99","  1,356","     35","    502","      2","      1","      9","      5","     56","     14","      2","      -","      7","      -","      3","     11","     45","    340","      7"
"91年 8月","  3,259","     34","      6","     20","     57","    155","     59","     61","     46","    320","     43","     85","    325","    103","  1,897","     48","  2,702","     32","      5","     17","     30","    107","     50","     59","     46","    314","     43","     80","    309","     62","  1,511","     37","    557","      2","      1","      3","     27","     48","      9","      2","      -","      6","      -","      5","     16","     41","    386","     11"
"91年 9月","  2,741","     41","      6","     31","     63","    140","     83","     61","     34","    241","     32","     82","    241","     61","  1,603","     22","  2,299","     37","      5","     27","     41","     98","     66","     61","     34","    239","     32","     79","    217","     45","  1,297","     21","    442","      4","      1","      4","     22","     42","     17","      -","      -","      2","      -","      3","     24","     16","    306","      1"
"91年 10月","  2,699","     26","      8","     29","     16","    122","     55","     47","     42","    264","     40","     76","    230","    100","  1,612","     32","  2,252","     25","      8","     26","     13","     77","     51","     47","     42","    257","     40","     73","    215","     61","  1,288","     29","    447","      1","      -","      3","      3","     45","      4","      -","      -","      7","      -","      3","     15","     39","    324","      3"
"91年 11月","  2,429","     23","      7","     19","     12","    121","     69","     51","     29","    205","     48","     74","    241","     60","  1,451","     19","  2,081","     23","      7","     17","      8","     79","     59","     51","     29","    201","     48","     71","    227","     39","  1,206","     16","    348","      -","      -","      2","      4","     42","     10","      -","      -","      4","      -","      3","     14","     21","    245","      3"
"91年 12月","  2,574","     25","      5","     24","     16","     97","     73","     59","     15","    204","     39","     64","    249","     51","  1,636","     17","  2,183","     23","      4","     23","      8","     61","     62","     59","     15","    200","     38","     61","    234","     29","  1,351","     15","    391","      2","      1","      1","      8","     36","     11","      -","      -","      4","      1","      3","     15","     22","    285","      2"
"92年"," 28,921","    249","     53","    271","    125","  1,293","    689","    623","    261","  2,650","    475","    856","  2,517","    594"," 17,953","    312"," 24,407","    224","     33","    243","     80","    895","    608","    609","    260","  2,585","    475","    822","  2,400","    394"," 14,519","    260","  4,514","     25","     20","     28","     45","    398","     81","     14","      1","     65","      -","     34","    117","    200","  3,434","     52"
"92年 1月","  3,203","     31","      4","     28","     10","    120","     83","     69","     16","    304","     47","     88","    269","     48","  2,057","     29","  2,714","     27","      2","     23","      8","     82","     78","     69","     16","    299","     47","     86","    258","     30","  1,662","     27","    489","      4","      2","      5","      2","     38","      5","      -","      -","      5","      -","      2","     11","     18","    395","      2"
"92年 2月","  1,917","     23","      6","     21","      3","     70","     48","     43","     26","    160","     33","     47","    200","     41","  1,175","     21","  1,621","     22","      6","     18","      -","     48","     43","     41","     26","    157","     33","     42","    190","     22","    954","     19","    296","      1","      -","      3","      3","     22","      5","      2","      -","      3","      -","      5","     10","     19","    221","      2"
