時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
99年 8月	0	 3 	0	 3 	 11 	0	 6 	 148 	0
99年 9月	0	 4 	0	 2 	 18 	0	 15 	 183 	0
99年 10月	0	 13 	0	0	 26 	0	 3 	 183 	0
99年 11月	0	 10 	0	0	 17 	0	 2 	 111 	0
99年 12月	0	 2 	0	 1 	 13 	0	 7 	 134 	0
100年	 1 	 78 	0	 8 	 186 	0	 120 	 2,706 	0
100年 1月	0	 10 	0	0	 12 	0	 8 	 225 	0
100年 2月	0	 21 	0	0	 6 	0	0	 160 	0
100年 3月	0	 6 	0	0	 20 	0	 20 	 210 	0
100年 4月	0	 6 	0	0	 22 	0	 2 	 213 	0
100年 5月	0	 10 	0	0	 8 	0	 3 	 197 	0
100年 6月	0	 3 	0	 1 	 20 	0	 13 	 198 	0
100年 7月	0	 3 	0	0	 16 	0	 3 	 220 	0
100年 8月	0	 2 	0	 3 	 5 	0	 17 	 222 	0
100年 9月	0	 14 	0	 1 	 26 	0	 20 	 177 	0
100年 10月	0	 1 	0	 1 	 14 	0	 9 	 285 	0
100年 11月	 1 	 2 	0	 1 	 13 	0	 11 	 306 	0
100年 12月	0	0	0	 1 	 24 	0	 14 	 293 	0
101年	 4 	 53 	0	 4 	 134 	0	 122 	 4,758 	 3 
101年 1月	0	 2 	0	0	 6 	0	 8 	 281 	0
101年 2月	0	 5 	0	0	 10 	0	 7 	 260 	0
101年 3月	0	 10 	0	0	 22 	0	 22 	 330 	0
101年 4月	0	 2 	0	0	 7 	0	 3 	 358 	0
101年 5月	0	 1 	0	0	 13 	0	 6 	 305 	0
101年 6月	0	 2 	0	 1 	 15 	0	 22 	 403 	0
101年 7月	0	 4 	0	 2 	 11 	0	 6 	 484 	 1 
101年 8月	 2 	 3 	0	0	 7 	0	 7 	 437 	0
101年 9月	0	 5 	0	 1 	 20 	0	 15 	 355 	0
101年 10月	0	 3 	0	0	 8 	0	 2 	 460 	 1 
101年 11月	 1 	 12 	0	0	 2 	0	 6 	 555 	 1 
101年 12月	 1 	 4 	0	0	 13 	0	 18 	 530 	0
102年	 2 	 68 	0	 14 	 97 	0	 92 	 6,120 	0
102年 1月	0	 3 	0	0	 9 	0	 3 	 514 	0
102年 2月	0	 2 	0	0	 4 	0	 2 	 264 	0
102年 3月	0	 7 	0	 1 	 15 	0	 14 	 359 	0
102年 4月	 1 	 2 	0	0	 3 	0	 7 	 420 	0
102年 5月	0	 7 	0	0	 6 	0	 5 	 426 	0
102年 6月	0	 8 	0	0	 13 	0	 18 	 475 	0
102年 7月	0	 11 	0	 6 	 5 	0	 2 	 576 	0
102年 8月	0	 8 	0	 2 	 6 	0	 7 	 718 	0
102年 9月	 1 	 10 	0	 2 	 13 	0	 17 	 737 	0
102年 10月	0	 6 	0	 3 	 7 	0	 4 	 575 	0
102年 11月	0	 3 	0	0	 3 	0	 4 	 558 	0
102年 12月	0	 1 	0	0	 13 	0	 9 	 498 	0
103年	 4 	 89 	0	 5 	 72 	0	 62 	 7,011 	0
103年 1月	0	 9 	0	 1 	 2 	0	 6 	 919 	0
103年 2月	0	 9 	0	0	 3 	0	 3 	 718 	0
103年 3月	0	 13 	0	0	 10 	0	 12 	 686 	0
103年 4月	0	 13 	0	0	 4 	0	 1 	 481 	0
103年 5月	0	 5 	0	0	 5 	0	 3 	 406 	0
103年 6月	 1 	 3 	0	 1 	 10 	0	 13 	 275 	0
103年 7月	0	 4 	0	 1 	 6 	0	 4 	 511 	0
103年 8月	 1 	 8 	0	0	 9 	0	 2 	 619 	0
103年 9月	0	 9 	0	 2 	 11 	0	 9 	 631 	0
103年 10月	 1 	 7 	0	0	 5 	0	 5 	 629 	0
103年 11月	0	 8 	0	0	 1 	0	 2 	 525 	0
103年 12月	 1 	 1 	0	0	 6 	0	 2 	 611 	0
104年	 2 	 21 	0	 2 	 45 	0	 47 	 7,304 	0
104年 1月	0	0	0	0	 3 	0	 1 	 683 	0
104年 2月	 1 	0	0	0	 1 	0	 1 	 630 	0
