時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
95年 11月	 16 	0	 2 	 3 	 56 	 35 	0	0	0
95年 12月	 3 	0	 1 	 2 	 47 	 52 	0	0	0
96年	 90 	0	 12 	 41 	 604 	 739 	 2 	0	0
96年 1月	 15 	0	 1 	 3 	 38 	 49 	 1 	0	0
96年 2月	 1 	0	0	 4 	 63 	 70 	0	0	0
96年 3月	0	0	0	 3 	 49 	 74 	0	0	0
96年 4月	 2 	0	 2 	 8 	 55 	 65 	0	0	0
96年 5月	 2 	0	 1 	 3 	 51 	 82 	0	0	0
96年 6月	 1 	0	0	 3 	 36 	 50 	 1 	0	0
96年 7月	 3 	0	 2 	 2 	 64 	 68 	0	0	0
96年 8月	 3 	0	 1 	 3 	 46 	 86 	0	0	0
96年 9月	 31 	0	 1 	 2 	 64 	 57 	0	0	0
96年 10月	 17 	0	 1 	 3 	 70 	 73 	0	0	0
96年 11月	0	0	 1 	 5 	 34 	 39 	0	0	0
96年 12月	 15 	0	 2 	 2 	 34 	 26 	0	0	0
97年	 30 	0	 27 	 31 	 657 	 724 	 7 	0	0
97年 1月	 7 	0	 1 	0	 51 	 91 	0	0	0
97年 2月	 7 	0	 2 	 3 	 47 	 53 	0	0	0
97年 3月	 4 	0	 3 	 4 	 53 	 62 	0	0	0
97年 4月	 1 	0	 3 	 1 	 58 	 73 	0	0	0
97年 5月	 1 	0	0	 9 	 64 	 56 	 1 	0	0
97年 6月	 1 	0	 2 	 2 	 60 	 57 	 1 	0	0
97年 7月	 2 	0	0	 2 	 79 	 91 	 3 	0	0
97年 8月	 4 	0	 10 	 3 	 67 	 80 	 1 	0	0
97年 9月	 1 	0	 3 	 2 	 56 	 61 	0	0	0
97年 10月	 2 	0	 2 	 2 	 46 	 58 	 1 	0	0
97年 11月	0	0	0	 1 	 45 	 14 	0	0	0
97年 12月	0	0	 1 	 2 	 31 	 28 	0	0	0
98年	 6 	0	 1 	 18 	 528 	 674 	 34 	0	0
98年 1月	0	0	 1 	 2 	 56 	 68 	0	0	0
98年 2月	 3 	0	0	0	 49 	 40 	 2 	0	0
98年 3月	 1 	0	0	 1 	 53 	 48 	0	0	0
98年 4月	0	0	0	 1 	 62 	 62 	 3 	0	0
98年 5月	0	0	0	 1 	 34 	 67 	 5 	0	0
98年 6月	0	0	0	0	 40 	 56 	 1 	0	0
98年 7月	 1 	0	0	0	 68 	 87 	 10 	0	0
98年 8月	0	0	0	 8 	 52 	 78 	 6 	0	0
98年 9月	0	0	0	 1 	 40 	 46 	 2 	0	0
98年 10月	 1 	0	0	 1 	 41 	 62 	 2 	0	0
98年 11月	0	0	0	 1 	 30 	 50 	 3 	0	0
98年 12月	0	0	0	 2 	 3 	 10 	0	0	0
99年	 16 	 1 	 19 	 14 	 507 	 1,045 	 29 	0	 1 
99年 1月	0	0	 2 	 1 	 34 	 52 	 1 	0	0
99年 2月	 1 	 1 	 1 	0	 43 	 79 	0	0	0
99年 3月	 1 	0	 2 	 5 	 45 	 108 	 3 	0	0
99年 4月	 3 	0	 5 	 3 	 41 	 88 	 1 	0	0
99年 5月	 1 	0	0	0	 27 	 85 	0	0	0
99年 6月	0	0	 1 	 1 	 30 	 65 	0	0	0
99年 7月	 2 	0	 4 	0	 55 	 133 	 1 	0	0
99年 8月	 2 	0	 2 	0	 59 	 103 	 10 	0	0
99年 9月	 2 	0	 1 	 1 	 39 	 136 	 4 	0	 1 
99年 10月	 2 	0	 1 	0	 54 	 66 	 2 	0	0
99年 11月	 1 	0	0	 2 	 66 	 109 	 6 	0	0
99年 12月	 1 	0	0	 1 	 14 	 21 	 1 	0	0
100年	 26 	 1 	 32 	 23 	 441 	 1,021 	 62 	0	0
100年 1月	 3 	0	 1 	 1 	 37 	 79 	 7 	0	0
100年 2月	 3 	0	 2 	0	 15 	 31 	0	0	0
100年 3月	 2 	0	 1 	 3 	 50 	 128 	 4 	0	0
100年 4月	 1 	 1 	 2 	 1 	 40 	 90 	 3 	0	0
100年 5月	0	0	 1 	 2 	 49 	 90 	 16 	0	0
100年 6月	 1 	0	 5 	 2 	 30 	 58 	 7 	0	0
100年 7月	 1 	0	 3 	 3 	 36 	 94 	 6 	0	0
100年 8月	 2 	0	 2 	 2 	 64 	 150 	 4 	0	0
100年 9月	 1 	0	 3 	0	 27 	 84 	 7 	0	0
100年 10月	 2 	0	 3 	 2 	 24 	 56 	 4 	0	0
100年 11月	 5 	0	 3 	 2 	 37 	 76 	 3 	0	0
100年 12月	 5 	0	 6 	 5 	 32 	 85 	 1 	0	0
101年	 42 	0	 37 	 17 	 465 	 1,019 	 57 	0	 71 
101年 1月	 2 	0	 1 	 2 	 40 	 86 	 8 	0	0
101年 2月	 2 	0	 4 	 2 	 36 	 73 	 2 	0	0
101年 3月	 1 	0	 2 	0	 63 	 135 	 2 	0	0
101年 4月	0	0	 4 	 1 	 80 	 120 	 3 	0	0
101年 5月	 1 	0	 3 	0	 61 	 138 	 2 	0	0
101年 6月	 1 	0	 1 	0	 14 	 52 	0	0	0
101年 7月	 5 	0	 2 	 1 	 49 	 105 	 9 	0	 9 
101年 8月	 5 	0	 5 	 3 	 48 	 102 	 20 	0	 45 
101年 9月	 6 	0	 2 	 1 	 24 	 58 	 2 	0	 8 
101年 10月	 7 	0	 5 	 2 	 21 	 58 	 2 	0	 3 
101年 11月	 9 	0	 3 	 3 	 15 	 57 	 6 	0	0
101年 12月	 3 	0	 5 	 2 	 14 	 35 	 1 	0	 6 
102年	 80 	0	 53 	 23 	 247 	 658 	 60 	0	 1 
102年 1月	 9 	0	 2 	 2 	 29 	 84 	 2 	0	0
102年 2月	 6 	0	 3 	 3 	 30 	 86 	 20 	0	0
102年 3月	 14 	0	 9 	 3 	 42 	 82 	 10 	0	0
102年 4月	 7 	0	 2 	 2 	 22 	 37 	 3 	0	0
102年 5月	 7 	0	 4 	 1 	 16 	 46 	 2 	0	0
102年 6月	 10 	0	 2 	 1 	 14 	 21 	 2 	0	 1 
102年 7月	 8 	0	 9 	0	 19 	 38 	 8 	0	0
102年 8月	 4 	0	 9 	 3 	 18 	 54 	 9 	0	0
102年 9月	 10 	0	 2 	 3 	 14 	 52 	 2 	0	0
102年 10月	 5 	0	 4 	0	 18 	 81 	0	0	0
