時間	毀棄損壞	妨害公務	妨害電腦使用	強盜	搶奪	內亂	重利	竊佔	偽造有價證券
89年	 6 	 7 	0	 23 	 11 	0	 4 	 7 	 1 
89年 1月	0	 1 	0	 1 	 1 	0	0	 2 	 1 
89年 2月	 1 	0	0	 5 	0	0	0	 1 	0
89年 3月	0	 1 	0	 3 	0	0	 2 	0	0
89年 4月	 3 	 1 	0	 4 	 2 	0	 1 	0	0
89年 5月	0	0	0	 1 	0	0	0	 1 	0
89年 6月	0	 1 	0	 1 	 1 	0	0	0	0
89年 7月	0	0	0	0	 1 	0	0	 1 	0
89年 8月	0	0	0	 2 	0	0	 1 	 1 	0
89年 9月	0	0	0	 1 	 4 	0	0	0	0
89年 10月	 1 	 1 	0	 1 	 1 	0	0	 1 	0
89年 11月	 1 	 1 	0	 2 	 1 	0	0	0	0
89年 12月	0	 1 	0	 2 	0	0	0	0	0
90年	 4 	 5 	0	 22 	 11 	0	 2 	 10 	0
90年 1月	0	0	0	 5 	 3 	0	 1 	0	0
90年 2月	0	0	0	 4 	0	0	0	 1 	0
90年 3月	 1 	0	0	 1 	0	0	0	 1 	0
90年 4月	 1 	 1 	0	0	0	0	0	0	0
90年 5月	 1 	 1 	0	0	 3 	0	0	0	0
90年 6月	0	0	0	 1 	 1 	0	0	0	0
90年 7月	0	0	0	 2 	 1 	0	0	 1 	0
90年 8月	 1 	0	0	 1 	0	0	0	0	0
90年 9月	0	 1 	0	 2 	 1 	0	0	 2 	0
90年 10月	0	 1 	0	 4 	 2 	0	 1 	 5 	0
90年 11月	0	 1 	0	0	0	0	0	0	0
90年 12月	0	0	0	 2 	0	0	0	0	0
91年	 6 	 3 	0	 20 	 28 	0	 1 	 16 	 1 
91年 1月	0	0	0	0	0	0	0	0	0
91年 2月	0	 2 	0	 5 	 2 	0	0	0	0
91年 3月	 1 	0	0	 6 	 1 	0	0	0	0
91年 4月	 1 	0	0	 1 	0	0	0	 1 	0
91年 5月	 1 	0	0	 2 	 1 	0	0	 5 	0
91年 6月	0	0	0	 2 	 1 	0	0	0	0
91年 7月	0	 1 	0	0	 1 	0	0	 1 	0
91年 8月	0	0	0	0	 2 	0	0	 1 	0
91年 9月	0	0	0	 2 	 7 	0	0	 3 	0
91年 10月	 3 	0	0	 1 	 1 	0	0	 1 	0
91年 11月	0	0	0	0	 3 	0	0	 3 	0
91年 12月	0	0	0	 1 	 9 	0	 1 	 1 	 1 
92年	 5 	 6 	0	 14 	 22 	0	 1 	 10 	 1 
92年 1月	0	0	0	 1 	 5 	0	0	0	0
92年 2月	 1 	 1 	0	 2 	 1 	0	0	0	0
92年 3月	 1 	0	0	 1 	 2 	0	0	0	0
92年 4月	0	 1 	0	 1 	 7 	0	0	 1 	0
92年 5月	 1 	0	0	 2 	 1 	0	0	 1 	0
92年 6月	0	0	0	 5 	 2 	0	0	0	0
92年 7月	0	 1 	0	0	 2 	0	0	0	0
92年 8月	0	 1 	0	0	0	0	0	0	 1 
92年 9月	 2 	0	0	0	 1 	0	0	 6 	0
92年 10月	0	 2 	0	0	0	0	 1 	 1 	0
92年 11月	0	0	0	 1 	 1 	0	0	 1 	0
