時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
100年 8月	 532 	 21 	 13 	 21 	0	 201 	 334 	 93 	 3 
100年 9月	 608 	 16 	 6 	 35 	 1 	 203 	 318 	 94 	 4 
100年 10月	 675 	 23 	 7 	 28 	0	 218 	 304 	 84 	 6 
100年 11月	 649 	 10 	 11 	 26 	0	 196 	 289 	 103 	 2 
100年 12月	 332 	 15 	 2 	 37 	 2 	 175 	 248 	 102 	 1 
101年	 7,458 	 288 	 148 	 645 	 5 	 2,142 	 3,042 	 1,044 	 53 
101年 1月	 1,113 	 38 	 27 	 145 	0	 148 	 247 	 72 	 1 
101年 2月	 712 	 22 	 16 	 89 	0	 157 	 246 	 74 	 2 
101年 3月	 588 	 22 	 14 	 32 	0	 187 	 252 	 71 	 5 
101年 4月	 583 	 36 	 16 	 39 	0	 182 	 263 	 72 	 9 
101年 5月	 668 	 19 	 9 	 45 	 2 	 191 	 281 	 106 	 6 
101年 6月	 566 	 18 	 9 	 41 	 1 	 143 	 255 	 67 	 5 
101年 7月	 606 	 29 	 14 	 44 	 1 	 187 	 271 	 102 	 7 
101年 8月	 540 	 28 	 9 	 33 	0	 169 	 233 	 96 	 3 
101年 9月	 580 	 29 	 12 	 52 	 1 	 177 	 236 	 90 	 5 
101年 10月	 568 	 22 	 8 	 57 	0	 231 	 266 	 102 	 3 
101年 11月	 545 	 10 	 6 	 33 	0	 185 	 249 	 96 	 3 
101年 12月	 389 	 15 	 8 	 35 	0	 185 	 243 	 96 	 4 
102年	 5,973 	 147 	 143 	 764 	 2 	 2,358 	 3,053 	 1,176 	 65 
102年 1月	 405 	 8 	 9 	 54 	0	 198 	 274 	 100 	 6 
102年 2月	 1,200 	 25 	 51 	 274 	0	 129 	 177 	 60 	 8 
102年 3月	 439 	 9 	 10 	 45 	0	 240 	 267 	 97 	 6 
102年 4月	 444 	 11 	 5 	 43 	0	 186 	 244 	 94 	 3 
102年 5月	 475 	 13 	 8 	 34 	0	 211 	 196 	 108 	 4 
102年 6月	 423 	 8 	 7 	 29 	0	 202 	 219 	 91 	 3 
102年 7月	 509 	 14 	 14 	 26 	 1 	 218 	 269 	 110 	 11 
102年 8月	 447 	 10 	 6 	 53 	0	 186 	 261 	 108 	 5 
102年 9月	 453 	 11 	 2 	 50 	0	 170 	 282 	 89 	 3 
102年 10月	 524 	 11 	 12 	 58 	0	 215 	 254 	 118 	 4 
102年 11月	 439 	 12 	 13 	 56 	 1 	 196 	 298 	 77 	 9 
102年 12月	 215 	 15 	 6 	 42 	0	 207 	 312 	 124 	 3 
103年	 5,360 	 212 	 129 	 1,075 	 3 	 2,242 	 3,489 	 1,187 	 59 
103年 1月	 1,001 	 34 	 37 	 274 	0	 198 	 270 	 80 	 4 
103年 2月	 555 	 17 	 35 	 177 	0	 153 	 267 	 87 	 3 
103年 3月	 308 	 10 	 1 	 59 	 1 	 211 	 323 	 101 	 4 
103年 4月	 341 	 30 	 6 	 70 	0	 208 	 247 	 112 	 4 
103年 5月	 453 	 31 	 3 	 35 	0	 176 	 286 	 116 	 5 
103年 6月	 430 	 16 	 6 	 66 	0	 184 	 292 	 103 	 10 
103年 7月	 430 	 7 	 6 	 50 	0	 212 	 302 	 108 	 3 
103年 8月	 479 	 13 	 9 	 81 	0	 178 	 290 	 103 	 7 
103年 9月	 452 	 4 	 6 	 63 	 1 	 202 	 299 	 106 	 5 
103年 10月	 369 	 11 	 8 	 50 	0	 181 	 316 	 112 	 4 
103年 11月	 322 	 16 	 6 	 110 	 1 	 158 	 289 	 80 	 3 
103年 12月	 220 	 23 	 6 	 40 	0	 181 	 308 	 79 	 7 
104年	 5,439 	 206 	 131 	 1,456 	 3 	 2,141 	 3,954 	 1,241 	 67 
104年 1月	 137 	 13 	 3 	 9 	 1 	 209 	 356 	 97 	 5 
104年 2月	 1,316 	 44 	 60 	 600 	0	 114 	 196 	 66 	 4 
104年 3月	 423 	 22 	 7 	 33 	0	 213 	 410 	 107 	 6 
104年 4月	 420 	 20 	 5 	 83 	 1 	 158 	 276 	 109 	 6 
104年 5月	 372 	 19 	 13 	 76 	0	 201 	 279 	 104 	 6 
104年 6月	 362 	 10 	 9 	 74 	0	 181 	 352 	 115 	 5 
104年 7月	 407 	 7 	 9 	 48 	0	 159 	 294 	 105 	 1 
104年 8月	 444 	 8 	 3 	 135 	0	 193 	 328 	 101 	 4 
104年 9月	 419 	 17 	 9 	 95 	0	 170 	 340 	 107 	 10 
104年 10月	 385 	 7 	 3 	 119 	0	 186 	 392 	 119 	 9 
104年 11月	 373 	 21 	 3 	 123 	0	 188 	 378 	 112 	 6 
104年 12月	 381 	 18 	 7 	 61 	 1 	 169 	 353 	 99 	 5 
105年	 5,080 	 106 	 47 	 1,402 	 3 	 2,395 	 4,771 	 1,339 	 66 
105年 1月	 454 	 10 	 7 	 125 	0	 211 	 435 	 122 	 3 
105年 2月	 337 	 14 	 2 	 365 	 1 	 154 	 322 	 77 	 8 
105年 3月	 470 	 11 	 7 	 54 	0	 213 	 446 	 116 	 4 
105年 4月	 507 	 11 	 3 	 72 	0	 168 	 350 	 122 	 7 
105年 5月	 451 	 6 	 4 	 161 	 1 	 187 	 354 	 120 	 3 
105年 6月	 434 	 5 	 2 	 95 	 1 	 205 	 394 	 115 	 6 
105年 7月	 411 	 8 	 3 	 59 	0	 218 	 392 	 128 	 5 
105年 8月	 472 	 8 	 5 	 81 	0	 245 	 464 	 121 	 3 
105年 9月	 388 	 10 	 2 	 110 	0	 183 	 451 	 117 	 9 
105年 10月	 405 	 14 	 4 	 67 	0	 198 	 335 	 91 	 2 
105年 11月	 405 	 5 	 3 	 131 	0	 241 	 463 	 111 	 9 
105年 12月	 346 	 4 	 5 	 82 	0	 172 	 365 	 99 	 7 
