時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
89年	 337 	 2 	 47 	 96 	 1,604 	 2,297 	0	0	 25 
89年 1月	 15 	0	 1 	 8 	 196 	 269 	0	0	 1 
89年 2月	 29 	0	 4 	 3 	 132 	 236 	0	0	 2 
89年 3月	 49 	0	0	 5 	 72 	 150 	0	0	 4 
89年 4月	 28 	0	 4 	 3 	 103 	 147 	0	0	 5 
89年 5月	 43 	0	 2 	 5 	 121 	 195 	0	0	 3 
89年 6月	 45 	0	 3 	 9 	 121 	 201 	0	0	 3 
89年 7月	 30 	0	 5 	 15 	 141 	 178 	0	0	 2 
89年 8月	 23 	0	 7 	 11 	 115 	 205 	0	0	0
89年 9月	 11 	 1 	 1 	 13 	 135 	 184 	0	0	 1 
89年 10月	 19 	 1 	 5 	 7 	 186 	 175 	0	0	 2 
89年 11月	 19 	0	 9 	 7 	 161 	 212 	0	0	 2 
89年 12月	 26 	0	 6 	 10 	 121 	 145 	0	0	0
90年	 336 	 8 	 39 	 102 	 1,710 	 1,271 	 2 	0	 23 
90年 1月	 73 	 1 	 1 	 7 	 181 	 236 	0	0	 2 
90年 2月	 7 	0	 2 	 4 	 89 	 74 	0	0	 1 
90年 3月	 6 	0	 3 	 13 	 154 	 126 	0	0	 1 
90年 4月	 59 	0	 4 	 8 	 160 	 126 	0	0	0
90年 5月	 29 	0	 6 	 13 	 170 	 146 	 1 	0	0
90年 6月	 2 	 1 	 4 	 7 	 149 	 108 	0	0	 3 
90年 7月	 5 	 2 	 2 	 9 	 113 	 86 	0	0	 2 
90年 8月	 14 	 1 	 5 	 7 	 140 	 86 	0	0	 7 
90年 9月	 29 	0	 4 	 8 	 133 	 75 	0	0	 4 
90年 10月	 62 	 1 	 2 	 7 	 141 	 76 	0	0	0
90年 11月	 24 	 2 	 6 	 13 	 165 	 78 	0	0	 2 
90年 12月	 26 	0	0	 6 	 115 	 54 	 1 	0	 1 
91年	 314 	 5 	 43 	 96 	 1,720 	 474 	0	0	 37 
91年 1月	 1 	0	 2 	 10 	 79 	 34 	0	0	0
91年 2月	 89 	 4 	 1 	 7 	 135 	 71 	0	0	 3 
91年 3月	 7 	 1 	 2 	 6 	 125 	 53 	0	0	 2 
91年 4月	 34 	0	 4 	 7 	 127 	 50 	0	0	 1 
91年 5月	 9 	0	 1 	 12 	 143 	 50 	0	0	 2 
91年 6月	 9 	0	 8 	 9 	 125 	 30 	0	0	 3 
91年 7月	 16 	0	 7 	 2 	 151 	 25 	0	0	 2 
91年 8月	 16 	0	 2 	 5 	 160 	 35 	0	0	 2 
91年 9月	 7 	0	 3 	 7 	 151 	 36 	0	0	 6 
91年 10月	 15 	0	 4 	 5 	 163 	 30 	0	0	 7 
91年 11月	 62 	0	 5 	 15 	 165 	 29 	0	0	 4 
91年 12月	 49 	0	 4 	 11 	 196 	 31 	0	0	 5 
92年	 258 	 8 	 51 	 66 	 1,606 	 374 	 2 	0	 64 
92年 1月	 22 	0	 2 	 5 	 188 	 39 	0	0	 2 
92年 2月	 6 	 2 	 6 	 5 	 112 	 20 	0	0	 3 
92年 3月	 5 	0	 9 	 3 	 154 	 31 	0	0	 12 
92年 4月	 8 	 1 	 3 	 5 	 137 	 20 	0	0	 10 
92年 5月	 40 	 2 	 1 	 2 	 101 	 22 	0	0	 4 
92年 6月	 29 	 2 	 4 	 7 	 137 	 31 	 1 	0	 7 
92年 7月	 18 	0	 5 	 11 	 136 	 39 	0	0	 9 
92年 8月	 44 	0	 2 	 6 	 121 	 29 	0	0	 13 
92年 9月	 15 	 1 	 4 	 7 	 132 	 34 	0	0	 1 
92年 10月	 46 	0	 4 	 7 	 125 	 38 	0	0	0
92年 11月	 13 	0	 6 	 5 	 114 	 35 	0	0	 1 
92年 12月	 12 	0	 5 	 3 	 149 	 36 	 1 	0	 2 
93年	 199 	 3 	 48 	 85 	 2,633 	 854 	 3 	0	 73 
93年 1月	 11 	 1 	 8 	 4 	 150 	 46 	0	0	 2 
93年 2月	 19 	0	 2 	 5 	 162 	 42 	 1 	0	 2 
93年 3月	 31 	0	 5 	 5 	 187 	 49 	 1 	0	 1 
93年 4月	 30 	0	 1 	 5 	 196 	 59 	0	0	 1 
93年 5月	 9 	 1 	 3 	 10 	 226 	 57 	0	0	 2 
93年 6月	 22 	0	 2 	 6 	 220 	 64 	0	0	 5 
93年 7月	 17 	0	 5 	 11 	 261 	 81 	 1 	0	 5 
93年 8月	 7 	0	 3 	 9 	 261 	 78 	0	0	 7 
93年 9月	 8 	0	 3 	 9 	 228 	 110 	0	0	 16 
93年 10月	 27 	 1 	 5 	 5 	 290 	 86 	0	0	 11 
93年 11月	 16 	0	 6 	 9 	 251 	 85 	0	0	 9 
93年 12月	 2 	0	 5 	 7 	 201 	 97 	0	0	 12 
94年	 306 	0	 57 	 105 	 3,364 	 1,285 	 3 	0	 225 
94年 1月	 6 	0	 3 	 5 	 352 	 123 	 1 	0	 14 
94年 2月	 13 	0	 5 	 9 	 227 	 102 	0	0	0
94年 3月	 7 	0	 8 	 8 	 262 	 126 	0	0	 7 
94年 4月	 19 	0	 2 	 10 	 239 	 101 	0	0	 42 
94年 5月	 49 	0	 5 	 12 	 244 	 113 	0	0	 74 
94年 6月	 20 	0	 3 	 7 	 240 	 91 	 1 	0	 69 
94年 7月	 51 	0	 6 	 12 	 314 	 161 	0	0	 13 
94年 8月	 29 	0	 9 	 16 	 355 	 152 	 1 	0	 3 
94年 9月	 30 	0	 6 	 7 	 339 	 117 	0	0	0
