時間	毀棄損壞	妨害公務	妨害電腦使用	強盜	搶奪	內亂	重利	竊佔	偽造有價證券
89年	 66 	 35 	0	 149 	 541 	0	 68 	 16 	 1 
89年 1月	 5 	 3 	0	 10 	 38 	0	 4 	0	0
89年 2月	 5 	0	0	 15 	 49 	0	 2 	0	0
89年 3月	 7 	 1 	0	 15 	 10 	0	 16 	0	0
89年 4月	 3 	 2 	0	 12 	 42 	0	 3 	 2 	0
89年 5月	 3 	 6 	0	 12 	 60 	0	 4 	0	0
89年 6月	 7 	0	0	 13 	 44 	0	 3 	 8 	0
89年 7月	 3 	 1 	0	 10 	 54 	0	 1 	0	 1 
89年 8月	 6 	 7 	0	 15 	 35 	0	 4 	0	0
89年 9月	 6 	 8 	0	 13 	 50 	0	 7 	 1 	0
89年 10月	 10 	0	0	 9 	 64 	0	 5 	 4 	0
89年 11月	 5 	 3 	0	 12 	 37 	0	 6 	0	0
89年 12月	 6 	 4 	0	 13 	 58 	0	 13 	 1 	0
90年	 65 	 20 	0	 171 	 416 	0	 25 	 3 	 4 
90年 1月	 12 	 4 	0	 16 	 34 	0	 2 	0	0
90年 2月	 5 	 1 	0	 18 	 16 	0	 6 	0	 1 
90年 3月	 7 	0	0	 5 	 21 	0	 1 	0	0
90年 4月	 5 	 2 	0	 18 	 25 	0	 1 	0	0
90年 5月	 4 	 2 	0	 10 	 23 	0	 2 	0	 1 
90年 6月	 5 	0	0	 16 	 51 	0	 5 	0	0
90年 7月	 3 	 4 	0	 3 	 31 	0	 2 	0	0
90年 8月	 1 	 1 	0	 29 	 57 	0	0	 1 	 1 
90年 9月	 10 	 1 	0	 10 	 39 	0	 6 	0	0
90年 10月	 4 	0	0	 12 	 51 	0	0	 1 	0
90年 11月	 4 	 2 	0	 14 	 40 	0	0	 1 	 1 
90年 12月	 5 	 3 	0	 20 	 28 	0	0	0	0
91年	 53 	 20 	0	 198 	 659 	0	 17 	 3 	 7 
91年 1月	 5 	0	0	 32 	 87 	0	 1 	0	0
91年 2月	 3 	 2 	0	 33 	 125 	0	0	0	 2 
91年 3月	 1 	 1 	0	 16 	 6 	0	 2 	0	 1 
91年 4月	 2 	 1 	0	 14 	 6 	0	 1 	 1 	 1 
91年 5月	 4 	 4 	0	 8 	 29 	0	 2 	0	0
91年 6月	 6 	 2 	0	 5 	 54 	0	 1 	 1 	 1 
91年 7月	 3 	 1 	0	 15 	 26 	0	 2 	0	0
91年 8月	 5 	 2 	0	 23 	 90 	0	 2 	0	0
91年 9月	 7 	 1 	0	 11 	 34 	0	 1 	0	0
91年 10月	 6 	 1 	0	 14 	 101 	0	 2 	 1 	 1 
