時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
96年 3月	0	0	0	0	0	0	 2 	 78 	0
96年 4月	0	0	0	0	 2 	0	 3 	 56 	0
96年 5月	0	0	0	0	 4 	0	0	 71 	0
96年 6月	0	0	0	0	 1 	0	 1 	 42 	0
96年 7月	0	0	0	 1 	 1 	0	0	 63 	0
96年 8月	0	0	0	0	 4 	0	0	 50 	0
96年 9月	0	0	0	0	 1 	0	 1 	 51 	0
96年 10月	0	0	0	0	 2 	0	 1 	 47 	0
96年 11月	0	0	0	0	 2 	0	0	 64 	0
96年 12月	0	0	0	0	 1 	0	0	 52 	0
97年	0	 2 	0	 2 	 30 	0	 5 	 1,007 	0
97年 1月	0	0	0	0	 2 	0	 2 	 62 	0
97年 2月	0	 1 	0	0	 6 	0	0	 73 	0
97年 3月	0	0	0	0	0	0	0	 57 	0
97年 4月	0	0	0	 1 	 3 	0	 1 	 52 	0
97年 5月	0	0	0	0	 7 	0	0	 90 	0
97年 6月	0	 1 	0	0	 5 	0	 1 	 62 	0
97年 7月	0	0	0	0	 2 	0	 1 	 68 	0
97年 8月	0	0	0	 1 	 2 	0	0	 72 	0
97年 9月	0	0	0	0	0	0	0	 95 	0
97年 10月	0	0	0	0	 3 	0	0	 162 	0
97年 11月	0	0	0	0	0	0	0	 108 	0
97年 12月	0	0	0	0	0	0	0	 106 	0
98年	0	0	0	 1 	 25 	0	 9 	 1,074 	0
98年 1月	0	0	0	0	 1 	0	0	 84 	0
98年 2月	0	0	0	0	0	0	 1 	 132 	0
98年 3月	0	0	0	0	 2 	0	 1 	 127 	0
98年 4月	0	0	0	0	 3 	0	0	 93 	0
98年 5月	0	0	0	0	 1 	0	 1 	 76 	0
98年 6月	0	0	0	0	 8 	0	 2 	 90 	0
98年 7月	0	0	0	0	0	0	0	 78 	0
98年 8月	0	0	0	0	0	0	0	 75 	0
98年 9月	0	0	0	 1 	 2 	0	 1 	 74 	0
98年 10月	0	0	0	0	 1 	0	 1 	 88 	0
98年 11月	0	0	0	0	 5 	0	 1 	 76 	0
98年 12月	0	0	0	0	 2 	0	 1 	 81 	0
99年	0	 4 	0	 3 	 10 	0	 4 	 1,079 	0
99年 1月	0	0	0	0	0	0	0	 82 	0
99年 2月	0	0	0	0	 1 	0	 1 	 98 	0
99年 3月	0	0	0	0	0	0	0	 97 	0
99年 4月	0	0	0	0	 3 	0	0	 92 	0
99年 5月	0	 1 	0	0	 1 	0	0	 128 	0
99年 6月	0	0	0	 1 	 4 	0	0	 91 	0
99年 7月	0	0	0	0	0	0	 1 	 88 	0
99年 8月	0	0	0	 2 	0	0	0	 78 	0
99年 9月	0	0	0	0	0	0	0	 74 	0
99年 10月	0	 1 	0	0	 1 	0	 2 	 100 	0
99年 11月	0	 2 	0	0	0	0	0	 66 	0
99年 12月	0	0	0	0	0	0	0	 85 	0
100年	0	 8 	0	 1 	 5 	0	 19 	 1,393 	0
100年 1月	0	0	0	0	0	0	 1 	 103 	0
100年 2月	0	 1 	0	0	0	0	0	 121 	0
100年 3月	0	 1 	0	0	0	0	0	 77 	0
100年 4月	0	 1 	0	 1 	0	0	 1 	 92 	0
100年 5月	0	0	0	0	 1 	0	 1 	 111 	0
100年 6月	0	0	0	0	0	0	 4 	 89 	0
100年 7月	0	0	0	0	 1 	0	 3 	 113 	0
100年 8月	0	0	0	0	0	0	0	 162 	0
100年 9月	0	 3 	0	0	 1 	0	 3 	 142 	0
100年 10月	0	 1 	0	0	0	0	0	 113 	0
100年 11月	0	 1 	0	0	0	0	0	 123 	0
100年 12月	0	0	0	0	 2 	0	 6 	 147 	0
101年	0	 4 	0	 6 	 6 	0	 24 	 1,626 	0
101年 1月	0	0	0	0	0	0	 2 	 121 	0
101年 2月	0	 1 	0	0	0	0	0	 91 	0
101年 3月	0	 2 	0	 2 	 1 	0	 5 	 111 	0
101年 4月	0	0	0	0	0	0	0	 117 	0
101年 5月	0	0	0	0	0	0	 2 	 132 	0
101年 6月	0	0	0	0	 2 	0	 5 	 182 	0
101年 7月	0	 1 	0	 1 	0	0	 1 	 193 	0
101年 8月	0	0	0	 1 	0	0	 1 	 173 	0
101年 9月	0	0	0	0	0	0	 5 	 134 	0
101年 10月	0	0	0	0	 1 	0	0	 142 	0
101年 11月	0	0	0	 2 	 1 	0	 2 	 109 	0
101年 12月	0	0	0	0	 1 	0	 1 	 121 	0
102年	0	 2 	0	 4 	 4 	0	 30 	 1,585 	 1 
102年 1月	0	0	0	0	 1 	0	 3 	 118 	0
102年 2月	0	0	0	 1 	0	0	 2 	 166 	0
102年 3月	0	0	0	0	 1 	0	 5 	 115 	0
102年 4月	0	0	0	0	 1 	0	 1 	 94 	0
102年 5月	0	0	0	0	0	0	 3 	 101 	 1 
102年 6月	0	0	0	 1 	0	0	 2 	 105 	0
102年 7月	0	0	0	 1 	0	0	0	 131 	0
102年 8月	0	0	0	0	0	0	 1 	 147 	0
102年 9月	0	 2 	0	 1 	 1 	0	 4 	 151 	0
102年 10月	0	0	0	0	0	0	 1 	 175 	0
102年 11月	0	0	0	0	0	0	 2 	 139 	0
102年 12月	0	0	0	0	0	0	 6 	 143 	0
103年	 2 	 1 	0	 2 	 4 	0	 41 	 1,751 	 1 
103年 1月	0	0	0	0	0	0	 1 	 232 	0
103年 2月	0	0	0	0	0	0	 1 	 136 	0
103年 3月	0	0	0	 1 	 1 	0	 6 	 120 	0
103年 4月	0	0	0	0	0	0	0	 131 	0
103年 5月	 1 	0	0	0	0	0	 3 	 163 	0
103年 6月	0	0	0	0	0	0	 8 	 162 	0
103年 7月	0	 1 	0	0	0	0	 4 	 136 	0
103年 8月	0	0	0	 1 	0	0	 1 	 131 	0
103年 9月	0	0	0	0	 2 	0	 6 	 155 	0
103年 10月	0	0	0	0	0	0	 1 	 127 	 1 
103年 11月	0	0	0	0	 1 	0	 2 	 96 	0
103年 12月	 1 	0	0	0	0	0	 8 	 162 	0
104年	 1 	 5 	0	 12 	 1 	0	 35 	 2,294 	0
104年 1月	0	0	0	0	0	0	0	 195 	0
104年 2月	0	0	0	0	0	0	0	 210 	0
104年 3月	 1 	0	0	0	0	0	 10 	 142 	0
104年 4月	0	 1 	0	0	0	0	0	 168 	0
104年 5月	0	0	0	0	0	0	0	 210 	0
104年 6月	0	 1 	0	0	 1 	0	 7 	 220 	0
104年 7月	0	0	0	0	0	0	 2 	 179 	0
104年 8月	0	 2 	0	0	0	0	 1 	 156 	0
104年 9月	0	0	0	 4 	0	0	 4 	 212 	0
104年 10月	0	0	0	 4 	0	0	 4 	 199 	0
104年 11月	0	0	0	 2 	0	0	 5 	 213 	0
104年 12月	0	 1 	0	 2 	0	0	 2 	 190 	0
105年	 2 	0	0	 15 	 10 	0	 17 	 2,852 	0
105年 1月	0	0	0	0	0	0	0	 162 	0
105年 2月	0	0	0	 2 	0	0	0	 228 	0
105年 3月	 1 	0	0	0	 3 	0	 7 	 237 	0
105年 4月	0	0	0	 1 	 1 	0	 4 	 215 	0
105年 5月	0	0	0	 2 	0	0	 2 	 250 	0
105年 6月	0	0	0	 1 	 1 	0	0	 211 	0
105年 7月	0	0	0	 2 	 1 	0	 1 	 257 	0
105年 8月	0	0	0	 1 	 1 	0	0	 242 	0
105年 9月	 1 	0	0	 1 	 2 	0	 2 	 219 	0
105年 10月	0	0	0	 2 	 1 	0	 1 	 294 	0
105年 11月	0	0	0	 2 	0	0	0	 255 	0
105年 12月	0	0	0	 1 	0	0	0	 282 	0
