"","警察機關查獲毒品嫌疑犯人數─按教育程度別分"
"","總計 / 教育程度總計 ","總計 / 不識字 ","總計 / 自修 ","總計 / 國小 ","總計 / 國中 ","總計 / 高中(職) ","總計 / 大專 ","總計 / 研究所(含)以上 ","總計 / 不詳 ","男 / 教育程度總計 ","男 / 不識字 ","男 / 自修 ","男 / 國小 ","男 / 國中 ","男 / 高中(職) ","男 / 大專 ","男 / 研究所(含)以上 ","男 / 不詳 ","女 / 教育程度總計 ","女 / 不識字 ","女 / 自修 ","女 / 國小 ","女 / 國中 ","女 / 高中(職) ","女 / 大專 ","女 / 研究所(含)以上 ","女 / 不詳 "
"93年 2月","  2,693","      3","      -","    188","  1,416","  1,004","     81","      -","      1","  2,326","      2","      -","    174","  1,241","    837","     71","      -","      1","    367","      1","      -","     14","    175","    167","     10","      -","      -"
"93年 3月","  2,649","     11","      1","    194","  1,425","    958","     57","      -","      3","  2,259","      3","      1","    166","  1,232","    803","     51","      -","      3","    390","      8","      -","     28","    193","    155","      6","      -","      -"
"93年 4月","  2,751","      5","      2","    196","  1,483","    993","     70","      -","      2","  2,381","      1","      2","    171","  1,301","    845","     59","      -","      2","    370","      4","      -","     25","    182","    148","     11","      -","      -"
"93年 5月","  2,948","      5","      -","    216","  1,599","  1,051","     73","      1","      3","  2,527","      2","      -","    189","  1,384","    883","     66","      1","      2","    421","      3","      -","     27","    215","    168","      7","      -","      1"
"93年 6月","  2,884","      8","      2","    212","  1,482","  1,110","     66","      1","      3","  2,489","      6","      1","    184","  1,296","    941","     57","      1","      3","    395","      2","      1","     28","    186","    169","      9","      -","      -"
"93年 7月","  3,950","      1","      -","    277","  2,066","  1,523","     78","      2","      3","  3,304","      1","      -","    243","  1,755","  1,241","     60","      2","      2","    646","      -","      -","     34","    311","    282","     18","      -","      1"
"93年 8月","  3,995","      9","      -","    284","  2,060","  1,498","    136","      3","      5","  3,340","      6","      -","    249","  1,735","  1,227","    117","      3","      3","    655","      3","      -","     35","    325","    271","     19","      -","      2"
"93年 9月","  3,745","      7","      -","    248","  1,978","  1,418","     92","      1","      1","  3,187","      3","      -","    214","  1,716","  1,178","     74","      1","      1","    558","      4","      -","     34","    262","    240","     18","      -","      -"
"93年 10月","  3,735","      6","      -","    255","  1,890","  1,476","    102","      2","      4","  3,203","      4","      -","    229","  1,657","  1,225","     82","      2","      4","    532","      2","      -","     26","    233","    251","     20","      -","      -"
"93年 11月","  4,330","      5","      -","    270","  2,246","  1,673","    132","      1","      3","  3,648","      4","      -","    239","  1,908","  1,387","    107","      1","      2","    682","      1","      -","     31","    338","    286","     25","      -","      1"
"93年 12月","  3,418","      4","      1","    220","  1,768","  1,334","     85","      3","      3","  2,946","      3","      1","    195","  1,547","  1,124","     70","      3","      3","    472","      1","      -","     25","    221","    210","     15","      -","      -"
"94年"," 51,376","     89","      9","  3,434"," 26,309"," 20,146","  1,319","     18","     52"," 43,188","     56","      6","  3,012"," 22,425"," 16,521","  1,112","     14","     42","  8,188","     33","      3","    422","  3,884","  3,625","    207","      4","     10"
"94年 1月","  5,612","     12","      -","    405","  2,870","  2,189","    132","      4","      -","  4,750","      6","      -","    358","  2,450","  1,817","    115","      4","      -","    862","      6","      -","     47","    420","    372","     17","      -","      -"
"94年 2月","  3,708","      5","      1","    276","  1,830","  1,508","     80","      2","      6","  3,106","      4","      1","    246","  1,559","  1,223","     66","      1","      6","    602","      1","      -","     30","    271","    285","     14","      1","      -"
"94年 3月","  3,978","      7","      -","    244","  2,092","  1,538","     93","      -","      4","  3,373","      7","      -","    219","  1,791","  1,275","     77","      -","      4","    605","      -","      -","     25","    301","    263","     16","      -","      -"
