時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
100年 11月	 3 	 186 	 16 	 20 	 20 	0	 5 	 17 	0
100年 12月	 1 	 235 	 8 	 9 	 16 	0	 6 	 15 	0
101年	 22 	 2,586 	 172 	 285 	 269 	 7 	 94 	 262 	0
101年 1月	 1 	 170 	 13 	 11 	 17 	0	 6 	 11 	0
101年 2月	 2 	 215 	 14 	 21 	 17 	0	 11 	 25 	0
101年 3月	 1 	 242 	 22 	 30 	 30 	0	 7 	 13 	0
101年 4月	 3 	 216 	 18 	 33 	 27 	0	 9 	 16 	0
101年 5月	 2 	 260 	 13 	 38 	 24 	0	 14 	 21 	0
101年 6月	 4 	 196 	 11 	 15 	 18 	0	 3 	 11 	0
101年 7月	 1 	 229 	 15 	 19 	 26 	0	 8 	 31 	0
101年 8月	 2 	 219 	 13 	 23 	 26 	 1 	 10 	 22 	0
101年 9月	 1 	 221 	 13 	 26 	 27 	 1 	 11 	 21 	0
101年 10月	 1 	 229 	 12 	 28 	 24 	 2 	 6 	 27 	0
101年 11月	 2 	 199 	 16 	 28 	 17 	 3 	 7 	 33 	0
101年 12月	 2 	 190 	 12 	 13 	 16 	0	 2 	 31 	0
102年	 25 	 2,475 	 140 	 379 	 163 	 6 	 20 	 364 	0
102年 1月	 2 	 266 	 13 	 32 	 20 	 1 	0	 27 	0
102年 2月	 2 	 122 	 10 	 24 	 20 	0	 4 	 29 	0
102年 3月	0	 243 	 10 	 68 	 16 	 1 	0	 20 	0
102年 4月	 1 	 245 	 10 	 30 	 15 	0	 1 	 37 	0
102年 5月	 1 	 183 	 13 	 29 	 14 	 1 	 2 	 30 	0
102年 6月	 5 	 212 	 11 	 29 	 9 	 1 	 2 	 32 	0
102年 7月	 4 	 190 	 14 	 27 	 12 	0	 5 	 38 	0
102年 8月	 3 	 224 	 12 	 29 	 9 	0	 1 	 31 	0
102年 9月	 2 	 173 	 6 	 28 	 13 	0	 2 	 27 	0
102年 10月	 2 	 203 	 20 	 34 	 8 	 1 	 2 	 31 	0
102年 11月	 1 	 185 	 7 	 27 	 16 	 1 	 1 	 33 	0
102年 12月	 2 	 229 	 14 	 22 	 11 	0	0	 29 	0
103年	 14 	 2,036 	 135 	 317 	 108 	 14 	 5 	 450 	0
103年 1月	 1 	 143 	 7 	 24 	 17 	 1 	 1 	 32 	0
103年 2月	 1 	 189 	 13 	 30 	 6 	0	0	 31 	0
103年 3月	 1 	 245 	 14 	 30 	 11 	 2 	 1 	 49 	0
103年 4月	 1 	 183 	 14 	 20 	 10 	 2 	 1 	 32 	0
103年 5月	 2 	 156 	 10 	 29 	 8 	 1 	0	 50 	0
103年 6月	 2 	 182 	 12 	 22 	 10 	 1 	0	 39 	0
103年 7月	0	 189 	 14 	 25 	 8 	 2 	 2 	 34 	0
103年 8月	0	 114 	 9 	 21 	 6 	 2 	0	 34 	0
103年 9月	 2 	 142 	 12 	 25 	 6 	 1 	0	 22 	0
103年 10月	 1 	 159 	 8 	 37 	 8 	 1 	0	 39 	0
103年 11月	0	 149 	 9 	 29 	 9 	0	0	 45 	0
103年 12月	 3 	 185 	 13 	 25 	 9 	 1 	0	 43 	0
104年	 11 	 2,256 	 148 	 367 	 76 	 7 	 11 	 494 	0
104年 1月	0	 223 	 14 	 30 	 6 	 1 	 1 	 36 	0
104年 2月	0	 97 	 8 	 14 	 4 	 1 	 2 	 23 	0
104年 3月	 4 	 232 	 19 	 34 	 7 	 1 	 3 	 45 	0
104年 4月	0	 186 	 11 	 40 	 6 	0	 2 	 35 	0
104年 5月	 2 	 213 	 13 	 50 	 4 	0	0	 54 	0
104年 6月	0	 196 	 12 	 44 	 4 	0	0	 41 	0
104年 7月	 1 	 165 	 11 	 31 	 7 	 1 	 2 	 29 	0
104年 8月	0	 199 	 16 	 36 	 4 	0	0	 49 	0
104年 9月	 1 	 167 	 11 	 32 	 4 	0	 1 	 43 	0
104年 10月	 1 	 194 	 6 	 19 	 14 	 1 	0	 54 	0
104年 11月	 1 	 145 	 14 	 21 	 9 	 1 	0	 47 	0
104年 12月	 1 	 239 	 13 	 16 	 7 	 1 	0	 38 	0
105年	 16 	 2,012 	 115 	 232 	 56 	 3 	 8 	 503 	0
105年 1月	 3 	 174 	 11 	 20 	 4 	 1 	 1 	 42 	0
105年 2月	 1 	 149 	 10 	 17 	 2 	0	 1 	 28 	0
105年 3月	0	 209 	 11 	 28 	 5 	0	0	 47 	0
105年 4月	0	 173 	 3 	 28 	 3 	0	 2 	 43 	0
105年 5月	 1 	 199 	 8 	 28 	 9 	0	 1 	 64 	0
105年 6月	 4 	 164 	 8 	 18 	 2 	0	0	 28 	0
105年 7月	 4 	 176 	 11 	 15 	 11 	0	0	 31 	0
105年 8月	0	 171 	 11 	 16 	 3 	0	 1 	 44 	0
105年 9月	0	 145 	 9 	 19 	 2 	 1 	0	 42 	0
105年 10月	0	 138 	 11 	 13 	 7 	0	0	 53 	0
105年 11月	 2 	 152 	 8 	 15 	 5 	0	 1 	 36 	0
105年 12月	 1 	 162 	 14 	 15 	 3 	 1 	 1 	 45 	0
