時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 21 	 1 	0	0	0	 7 	0	 2 	0
89年 1月	0	0	0	0	0	0	0	 1 	0
89年 2月	0	0	0	0	0	0	0	0	0
89年 3月	 3 	0	0	0	0	0	0	0	0
89年 4月	 2 	0	0	0	0	0	0	0	0
89年 5月	 2 	0	0	0	0	0	0	0	0
89年 6月	 3 	 1 	0	0	0	 1 	0	0	0
89年 7月	 5 	0	0	0	0	 1 	0	0	0
89年 8月	0	0	0	0	0	 1 	0	0	0
89年 9月	 3 	0	0	0	0	0	0	0	0
89年 10月	 1 	0	0	0	0	0	0	0	0
89年 11月	 2 	0	0	0	0	 3 	0	0	0
89年 12月	0	0	0	0	0	 1 	0	 1 	0
90年	 13 	0	0	0	0	 16 	0	 1 	0
90年 1月	0	0	0	0	0	 1 	0	0	0
90年 2月	 1 	0	0	0	0	0	0	0	0
90年 3月	 1 	0	0	0	0	 1 	0	0	0
90年 4月	 1 	0	0	0	0	 2 	0	0	0
90年 5月	 1 	0	0	0	0	 1 	0	0	0
90年 6月	 2 	0	0	0	0	0	0	0	0
90年 7月	0	0	0	0	0	0	0	0	0
90年 8月	 2 	0	0	0	0	 4 	0	0	0
90年 9月	 1 	0	0	0	0	 4 	0	0	0
90年 10月	 1 	0	0	0	0	0	0	0	0
90年 11月	 2 	0	0	0	0	 3 	0	 1 	0
90年 12月	 1 	0	0	0	0	0	0	0	0
91年	 18 	0	0	0	0	 18 	0	0	0
91年 1月	0	0	0	0	0	 4 	0	0	0
91年 2月	0	0	0	0	0	0	0	0	0
91年 3月	 1 	0	0	0	0	0	0	0	0
91年 4月	0	0	0	0	0	0	0	0	0
91年 5月	 1 	0	0	0	0	0	0	0	0
91年 6月	 1 	0	0	0	0	 2 	0	0	0
91年 7月	 3 	0	0	0	0	 1 	0	0	0
91年 8月	 5 	0	0	0	0	 3 	0	0	0
91年 9月	0	0	0	0	0	 1 	0	0	0
91年 10月	0	0	0	0	0	0	0	0	0
91年 11月	 5 	0	0	0	0	 7 	0	0	0
91年 12月	 2 	0	0	0	0	0	0	0	0
92年	 8 	0	0	0	0	 4 	0	0	0
92年 1月	0	0	0	0	0	0	0	0	0
92年 2月	 1 	0	0	0	0	0	0	0	0
92年 3月	0	0	0	0	0	0	0	0	0
92年 4月	0	0	0	0	0	 1 	0	0	0
92年 5月	 1 	0	0	0	0	0	0	0	0
92年 6月	 1 	0	0	0	0	 1 	0	0	0
92年 7月	 1 	0	0	0	0	0	0	0	0
92年 8月	0	0	0	0	0	0	0	0	0
92年 9月	 1 	0	0	0	0	0	0	0	0
92年 10月	0	0	0	0	0	0	0	0	0
92年 11月	 1 	0	0	0	0	 2 	0	0	0
92年 12月	 2 	0	0	0	0	0	0	0	0
93年	 12 	0	 1 	0	0	 5 	 1 	 1 	0
93年 1月	 6 	0	 1 	0	0	0	0	0	0
93年 2月	0	0	0	0	0	 2 	0	0	0
93年 3月	 1 	0	0	0	0	0	0	 1 	0
93年 4月	0	0	0	0	0	0	0	0	0
93年 5月	0	0	0	0	0	0	 1 	0	0
93年 6月	0	0	0	0	0	 1 	0	0	0
93年 7月	0	0	0	0	0	0	0	0	0
93年 8月	 3 	0	0	0	0	0	0	0	0
93年 9月	0	0	0	0	0	0	0	0	0
93年 10月	 2 	0	0	0	0	0	0	0	0
93年 11月	0	0	0	0	0	0	0	0	0
93年 12月	0	0	0	0	0	 2 	0	0	0
94年	 12 	0	0	 2 	0	 20 	 6 	 1 	0
94年 1月	 2 	0	0	0	0	 2 	0	0	0
94年 2月	 1 	0	0	 1 	0	0	0	0	0
94年 3月	 1 	0	0	0	0	0	0	0	0
94年 4月	 1 	0	0	0	0	 3 	0	0	0
94年 5月	 1 	0	0	 1 	0	 1 	 1 	0	0
94年 6月	0	0	0	0	0	 2 	0	0	0
94年 7月	 1 	0	0	0	0	 2 	0	0	0
94年 8月	 4 	0	0	0	0	 3 	 1 	0	0
94年 9月	0	0	0	0	0	 1 	 1 	 1 	0
94年 10月	0	0	0	0	0	 1 	0	0	0
94年 11月	 1 	0	0	0	0	 1 	 2 	0	0
94年 12月	0	0	0	0	0	 4 	 1 	0	0
95年	 3 	0	0	0	0	 9 	 1 	0	0
95年 1月	0	0	0	0	0	0	0	0	0
95年 2月	0	0	0	0	0	 3 	0	0	0
95年 3月	 1 	0	0	0	0	 2 	0	0	0
95年 4月	 1 	0	0	0	0	 2 	 1 	0	0
95年 5月	0	0	0	0	0	0	0	0	0
95年 6月	0	0	0	0	0	 1 	0	0	0
95年 7月	0	0	0	0	0	0	0	0	0
95年 8月	0	0	0	0	0	0	0	0	0
95年 9月	0	0	0	0	0	0	0	0	0
95年 10月	0	0	0	0	0	0	0	0	0
95年 11月	 1 	0	0	0	0	 1 	0	0	0
95年 12月	0	0	0	0	0	0	0	0	0
96年	 4 	0	0	0	0	 3 	 1 	0	0
96年 1月	 1 	0	0	0	0	 1 	0	0	0
96年 2月	0	0	0	0	0	0	0	0	0
96年 3月	0	0	0	0	0	0	 1 	0	0
96年 4月	0	0	0	0	0	 1 	0	0	0
96年 5月	0	0	0	0	0	0	0	0	0
96年 6月	0	0	0	0	0	0	0	0	0
96年 7月	 2 	0	0	0	0	0	0	0	0
96年 8月	0	0	0	0	0	0	0	0	0
96年 9月	0	0	0	0	0	 1 	0	0	0
96年 10月	0	0	0	0	0	0	0	0	0
96年 11月	 1 	0	0	0	0	0	0	0	0
96年 12月	0	0	0	0	0	0	0	0	0
97年	 2 	0	0	0	0	 4 	 2 	 1 	0
97年 1月	0	0	0	0	0	0	0	0	0
97年 2月	0	0	0	0	0	0	0	0	0
97年 3月	0	0	0	0	0	0	0	0	0
97年 4月	0	0	0	0	0	0	0	0	0
97年 5月	0	0	0	0	0	0	0	0	0
97年 6月	0	0	0	0	0	0	0	0	0
97年 7月	 2 	0	0	0	0	 2 	 1 	0	0
97年 8月	0	0	0	0	0	0	0	0	0
97年 9月	0	0	0	0	0	0	0	0	0
97年 10月	0	0	0	0	0	0	0	0	0
97年 11月	0	0	0	0	0	0	0	0	0
97年 12月	0	0	0	0	0	 2 	 1 	 1 	0
98年	 2 	0	0	0	0	 3 	 2 	 1 	0
98年 1月	0	0	0	0	0	0	0	0	0
98年 2月	0	0	0	0	0	 1 	0	0	0
98年 3月	 2 	0	0	0	0	 1 	 1 	0	0
98年 4月	0	0	0	0	0	0	 1 	0	0
98年 5月	0	0	0	0	0	0	0	0	0
98年 6月	0	0	0	0	0	0	0	0	0
98年 7月	0	0	0	0	0	0	0	0	0
98年 8月	0	0	0	0	0	0	0	0	0
98年 9月	0	0	0	0	0	0	0	 1 	0
98年 10月	0	0	0	0	0	 1 	0	0	0
98年 11月	0	0	0	0	0	0	0	0	0
98年 12月	0	0	0	0	0	0	0	0	0
99年	 10 	 1 	0	 1 	0	 4 	 3 	0	0
99年 1月	 2 	0	0	0	0	0	0	0	0
99年 2月	0	0	0	0	0	0	0	0	0
99年 3月	0	0	0	0	0	0	0	0	0
99年 4月	0	0	0	 1 	0	0	0	0	0
99年 5月	 1 	0	0	0	0	 1 	 1 	0	0
99年 6月	0	 1 	0	0	0	0	0	0	0
99年 7月	0	0	0	0	0	 1 	 1 	0	0
99年 8月	0	0	0	0	0	0	0	0	0
99年 9月	 3 	0	0	0	0	0	 1 	0	0
