時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
95年	 1 	 88 	 14 	 72 	 73 	 4 	 26 	 41 	0
95年 1月	0	 3 	0	0	 9 	0	 1 	 6 	0
95年 2月	 1 	 5 	0	0	 8 	0	0	0	0
95年 3月	0	 7 	 1 	0	 6 	0	0	 2 	0
95年 4月	0	 5 	0	 6 	 2 	 1 	0	 5 	0
95年 5月	0	 9 	 1 	 5 	 6 	0	 4 	 1 	0
95年 6月	0	 7 	 1 	 8 	 6 	 1 	 8 	 2 	0
95年 7月	0	 10 	 2 	 14 	 4 	0	 6 	 3 	0
95年 8月	0	 2 	 1 	 16 	 3 	0	 2 	 7 	0
95年 9月	0	 8 	 2 	 8 	 5 	 1 	 2 	 6 	0
95年 10月	0	 10 	 2 	 1 	 6 	0	0	 3 	0
95年 11月	0	 9 	 4 	 2 	 14 	0	 2 	 3 	0
95年 12月	0	 13 	0	 12 	 4 	 1 	 1 	 3 	0
96年	0	 163 	 7 	 85 	 79 	 5 	 32 	 37 	0
96年 1月	0	 8 	 1 	 1 	 9 	0	0	0	0
96年 2月	0	 4 	 1 	 1 	 13 	 1 	 5 	 4 	0
96年 3月	0	 8 	 1 	 10 	 6 	0	 2 	 3 	0
96年 4月	0	 12 	0	 9 	 4 	0	0	 3 	0
96年 5月	0	 12 	 1 	 7 	 4 	 4 	 2 	 4 	0
96年 6月	0	 18 	0	 8 	 8 	0	 1 	 2 	0
96年 7月	0	 16 	 1 	 12 	 5 	0	 5 	 7 	0
96年 8月	0	 20 	0	 19 	 7 	0	 2 	 3 	0
96年 9月	0	 11 	0	 4 	 6 	0	 3 	 2 	0
96年 10月	0	 22 	 1 	 9 	 3 	0	 3 	 2 	0
96年 11月	0	 17 	 1 	 4 	 10 	0	 4 	 5 	0
96年 12月	0	 15 	0	 1 	 4 	0	 5 	 2 	0
97年	 3 	 212 	 11 	 57 	 87 	 4 	 36 	 46 	 1 
97年 1月	0	 18 	 2 	 2 	 5 	0	 2 	 1 	0
97年 2月	0	 16 	0	 2 	 18 	 1 	 1 	 7 	0
97年 3月	0	 19 	 2 	 2 	 9 	0	0	 4 	0
97年 4月	0	 21 	 1 	 4 	 4 	0	 2 	 9 	0
97年 5月	0	 20 	 1 	 11 	 6 	0	 8 	 4 	 1 
97年 6月	0	 17 	 2 	 14 	 4 	 2 	 7 	 3 	0
97年 7月	0	 16 	0	 5 	 6 	0	 3 	 7 	0
97年 8月	0	 11 	 1 	 6 	 6 	0	 1 	 1 	0
97年 9月	 2 	 10 	0	 5 	 12 	0	 1 	 4 	0
97年 10月	0	 22 	0	 3 	 8 	0	 4 	 1 	0
97年 11月	0	 23 	 1 	 1 	 7 	 1 	 3 	 3 	0
97年 12月	 1 	 19 	 1 	 2 	 2 	0	 4 	 2 	0
98年	 1 	 254 	 22 	 44 	 57 	 3 	 45 	 40 	0
98年 1月	0	 18 	0	 3 	 2 	0	 2 	0	0
98年 2月	0	 7 	 2 	 3 	 6 	0	 6 	 7 	0
98年 3月	0	 18 	 3 	 5 	 5 	0	 4 	 3 	0
98年 4月	0	 27 	 3 	 6 	 5 	0	 3 	 5 	0
98年 5月	 1 	 23 	 1 	 10 	 6 	 1 	 3 	 2 	0
98年 6月	0	 19 	 3 	 6 	 3 	0	 8 	 4 	0
98年 7月	0	 29 	 3 	 2 	 3 	 1 	 4 	 5 	0
98年 8月	0	 24 	 1 	 5 	 6 	0	 6 	 6 	0
98年 9月	0	 22 	 1 	 2 	 6 	 1 	 1 	 1 	0
98年 10月	0	 24 	 2 	0	 8 	0	 3 	 2 	0
98年 11月	0	 25 	 1 	 1 	 3 	0	 1 	 2 	0
98年 12月	0	 18 	 2 	 1 	 4 	0	 4 	 3 	0
99年	 2 	 330 	 15 	 24 	 63 	 8 	 48 	 75 	0
99年 1月	0	 21 	 1 	 1 	 4 	0	 6 	 5 	0
99年 2月	0	 25 	 2 	0	 9 	0	 2 	 4 	0
99年 3月	0	 35 	 2 	 2 	 1 	0	 4 	 7 	0
99年 4月	0	 33 	 2 	 8 	 2 	0	 4 	 4 	0
99年 5月	0	 31 	 1 	0	 8 	 1 	 4 	 9 	0
99年 6月	 1 	 27 	 2 	 1 	 1 	0	 3 	 6 	0
99年 7月	0	 22 	0	 5 	 10 	0	 4 	 10 	0
99年 8月	0	 34 	 3 	 2 	 8 	 2 	 2 	 10 	0
99年 9月	 1 	 29 	0	 2 	 5 	 1 	 3 	 6 	0
99年 10月	0	 28 	 1 	 2 	 7 	 2 	 6 	 3 	0
99年 11月	0	 2 	0	0	 6 	 2 	 4 	 6 	0
99年 12月	0	 43 	 1 	 1 	 2 	0	 6 	 5 	0
100年	0	 257 	 14 	 24 	 45 	 1 	 62 	 75 	0
100年 1月	0	 24 	 1 	 1 	 2 	0	 2 	 3 	0
100年 2月	0	 8 	 1 	 1 	 3 	0	 2 	 6 	0
100年 3月	0	 23 	0	 4 	 6 	0	 5 	 6 	0
100年 4月	0	 16 	 3 	 1 	 6 	0	 8 	 7 	0
100年 5月	0	 31 	 2 	 2 	 7 	 1 	 19 	 14 	0
100年 6月	0	 25 	 2 	 2 	 4 	0	 3 	 7 	0
100年 7月	0	 27 	 1 	 3 	 3 	0	 4 	 2 	0
100年 8月	0	 23 	0	 5 	 1 	0	 5 	 3 	0
100年 9月	0	 26 	 1 	0	 2 	0	 3 	 3 	0
100年 10月	0	 28 	0	 4 	 1 	0	 4 	 7 	0
100年 11月	0	 18 	 1 	0	 5 	0	 3 	 8 	0
100年 12月	0	 8 	 2 	 1 	 5 	0	 4 	 9 	0
101年	 2 	 156 	 21 	 13 	 26 	 2 	 26 	 109 	0
101年 1月	 1 	 30 	 3 	0	 3 	0	0	 5 	0
101年 2月	0	 11 	 2 	0	 1 	 1 	 3 	 7 	0
101年 3月	 1 	 36 	 1 	 2 	 1 	0	 11 	 10 	0
101年 4月	0	 14 	 2 	 1 	 5 	 1 	 5 	 11 	0
101年 5月	0	 8 	 2 	 2 	 1 	0	 3 	 5 	0
101年 6月	0	 6 	 1 	0	0	0	 2 	 5 	0
101年 7月	0	 2 	 1 	 3 	 3 	0	 1 	 13 	0
101年 8月	0	 7 	0	 1 	 2 	0	0	 8 	0
101年 9月	0	 6 	 1 	 1 	 2 	0	 1 	 14 	0
101年 10月	0	 15 	0	 2 	 5 	0	0	 11 	0
101年 11月	0	 13 	 5 	 1 	 2 	0	0	 11 	0
101年 12月	0	 8 	 3 	0	 1 	0	0	 9 	0
102年	 1 	 283 	 12 	 13 	 9 	 2 	 1 	 158 	0
102年 1月	0	 15 	0	 2 	 2 	0	0	 12 	0
102年 2月	0	 5 	 2 	 2 	0	0	0	 13 	0
102年 3月	0	 10 	 1 	0	0	0	0	 11 	0
102年 4月	0	 28 	0	0	0	0	0	 10 	0
102年 5月	0	 32 	 1 	 3 	 1 	0	0	 14 	0
102年 6月	0	 20 	 1 	 2 	0	0	0	 29 	0
102年 7月	0	 34 	 2 	 1 	 1 	 1 	0	 7 	0
102年 8月	0	 31 	0	0	0	0	0	 9 	0
102年 9月	0	 10 	 1 	 1 	 3 	0	0	 14 	0
102年 10月	 1 	 31 	 1 	 1 	0	0	0	 11 	0
102年 11月	0	 33 	 2 	 1 	 1 	0	0	 13 	0
102年 12月	0	 34 	 1 	0	 1 	 1 	 1 	 15 	0
103年	0	 406 	 14 	 13 	 4 	 2 	 3 	 153 	0
103年 1月	0	 38 	0	0	0	0	0	 8 	0
103年 2月	0	 21 	 2 	 1 	 1 	0	0	 10 	0
103年 3月	0	 45 	 1 	 1 	 1 	0	 1 	 9 	0
103年 4月	0	 27 	 3 	0	0	0	0	 14 	0
103年 5月	0	 29 	0	0	0	0	0	 9 	0
103年 6月	0	 36 	 4 	0	 1 	0	 1 	 16 	0
103年 7月	0	 30 	 2 	 2 	0	0	0	 18 	0
103年 8月	0	 22 	0	 2 	 1 	 1 	0	 10 	0
103年 9月	0	 35 	 1 	0	0	0	0	 16 	0
103年 10月	0	 47 	 1 	0	0	 1 	0	 19 	0
103年 11月	0	 41 	0	 3 	0	0	 1 	 15 	0
103年 12月	0	 35 	0	 4 	0	0	0	 9 	0
104年	 1 	 423 	 8 	 20 	 8 	 1 	0	 157 	0
104年 1月	0	 31 	0	0	 2 	0	0	 22 	0
104年 2月	 1 	 19 	0	 1 	 1 	0	0	 5 	0
104年 3月	0	 32 	 1 	 2 	 1 	0	0	 17 	0
104年 4月	0	 41 	 1 	 1 	 2 	0	0	 14 	0
104年 5月	0	 28 	 2 	 2 	0	 1 	0	 10 	0
