時間	妨害名譽	違反就業服務法	違反選罷法	妨害秘密	遺棄	違反貪污治罪條例	瀆職	懲治走私條例	妨害兵役
92年 12月	0	0	0	0	 1 	0	0	0	0
93年	 8 	 3 	 7 	0	 2 	 1 	0	0	 9 
93年 1月	0	0	0	0	 1 	0	0	0	0
93年 2月	0	0	0	0	0	 1 	0	0	0
93年 3月	 1 	0	0	0	0	0	0	0	 2 
93年 4月	0	0	0	0	0	0	0	0	 4 
93年 5月	0	 1 	0	0	 1 	0	0	0	0
93年 6月	0	0	0	0	0	0	0	0	 1 
93年 7月	 1 	0	0	0	0	0	0	0	0
93年 8月	 2 	0	0	0	0	0	0	0	0
93年 9月	 2 	0	0	0	0	0	0	0	0
93年 10月	 1 	 1 	0	0	0	0	0	0	0
93年 11月	 1 	 1 	 3 	0	0	0	0	0	 1 
93年 12月	0	0	 4 	0	0	0	0	0	 1 
94年	 14 	 6 	 30 	 2 	 3 	0	0	 1 	 15 
94年 1月	0	 1 	0	0	0	0	0	0	 1 
94年 2月	0	0	0	0	0	0	0	0	0
94年 3月	 1 	0	0	0	0	0	0	0	0
94年 4月	 2 	0	0	 1 	0	0	0	0	0
94年 5月	 1 	 1 	0	0	0	0	0	0	0
94年 6月	 2 	0	0	0	 1 	0	0	0	0
94年 7月	0	 2 	0	0	 1 	0	0	0	0
94年 8月	 1 	 1 	0	 1 	0	0	0	0	 1 
94年 9月	 1 	0	 2 	0	0	0	0	 1 	0
94年 10月	 1 	 1 	 4 	0	 1 	0	0	0	0
94年 11月	 1 	0	 15 	0	0	0	0	0	 1 
94年 12月	 4 	0	 9 	0	0	0	0	0	 12 
95年	 24 	 3 	 6 	 5 	 6 	 1 	 1 	 1 	 23 
95年 1月	 1 	0	0	0	 2 	0	0	0	 2 
95年 2月	 3 	 1 	0	0	0	0	0	 1 	 7 
95年 3月	0	0	0	0	 2 	0	 1 	0	 3 
95年 4月	 1 	0	0	0	0	0	0	0	 1 
95年 5月	 5 	0	 2 	0	0	 1 	0	0	 5 
95年 6月	 4 	0	 4 	 1 	 1 	0	0	0	 2 
95年 7月	 5 	0	0	0	0	0	0	0	 2 
95年 8月	 3 	 1 	0	0	0	0	0	0	 1 
95年 9月	 1 	0	0	 1 	0	0	0	0	0
95年 10月	 1 	0	0	 2 	0	0	0	0	0
95年 11月	0	0	0	 1 	 1 	0	0	0	0
95年 12月	0	 1 	0	0	0	0	0	0	0
96年	 32 	 9 	 1 	 1 	 16 	 1 	0	0	 1 
96年 1月	 2 	0	0	 1 	 1 	0	0	0	0
96年 2月	 1 	0	0	0	0	0	0	0	0
96年 3月	 2 	0	0	0	 1 	0	0	0	0
96年 4月	 5 	0	0	0	 3 	0	0	0	0
96年 5月	 3 	 1 	0	0	 3 	0	0	0	0
96年 6月	 4 	 1 	0	0	 3 	0	0	0	0
96年 7月	 3 	 1 	0	0	 1 	0	0	0	 1 
96年 8月	 2 	 2 	0	0	 2 	0	0	0	0
96年 9月	0	0	0	0	 1 	0	0	0	0
96年 10月	 3 	 3 	0	0	0	 1 	0	0	0
96年 11月	 2 	 1 	 1 	0	0	0	0	0	0
96年 12月	 5 	0	0	0	 1 	0	0	0	0
97年	 14 	 4 	 5 	 1 	 1 	0	0	 2 	0
97年 1月	0	0	 5 	 1 	0	0	0	0	0
97年 2月	 2 	 1 	0	0	0	0	0	0	0
97年 3月	0	 1 	0	0	0	0	0	0	0
97年 4月	 1 	0	0	0	0	0	0	0	0
97年 5月	0	0	0	0	0	0	0	0	0
97年 6月	 1 	0	0	0	0	0	0	0	0
97年 7月	 2 	 1 	0	0	0	0	0	0	0
97年 8月	 4 	0	0	0	0	0	0	0	0
97年 9月	 2 	0	0	0	0	0	0	0	0
97年 10月	 1 	 1 	0	0	0	0	0	 2 	0
97年 11月	 1 	0	0	0	0	0	0	0	0
97年 12月	0	0	0	0	 1 	0	0	0	0
98年	 33 	 2 	 16 	 18 	 1 	0	 1 	0	0
98年 1月	 1 	0	0	0	0	0	0	0	0
98年 2月	0	0	0	0	0	0	0	0	0
98年 3月	 2 	 2 	0	 4 	0	0	0	0	0
98年 4月	 3 	0	0	 1 	 1 	0	0	0	0
98年 5月	 2 	0	0	0	0	0	0	0	0
98年 6月	 3 	0	0	0	0	0	0	0	0
98年 7月	 2 	0	0	 1 	0	0	0	0	0
98年 8月	 4 	0	0	 3 	0	0	0	0	0
98年 9月	 5 	0	0	 2 	0	0	 1 	0	0
98年 10月	 2 	0	0	 2 	0	0	0	0	0
98年 11月	 4 	0	 2 	 2 	0	0	0	0	0
98年 12月	 5 	0	 14 	 3 	0	0	0	0	0
99年	 28 	 1 	 12 	 11 	 4 	 1 	 1 	 1 	0
99年 1月	 1 	0	 1 	0	0	0	0	0	0
99年 2月	 3 	0	0	0	0	0	0	 1 	0
99年 3月	 3 	0	0	0	0	0	0	0	0
99年 4月	 1 	0	0	0	0	0	 1 	0	0
99年 5月	 2 	0	0	 1 	 1 	0	0	0	0
99年 6月	 3 	0	 11 	 1 	 2 	0	0	0	0
99年 7月	 3 	0	0	0	0	0	0	0	0
99年 8月	 1 	0	0	 5 	0	 1 	0	0	0
99年 9月	 1 	0	0	 3 	 1 	0	0	0	0
99年 10月	 5 	0	0	0	0	0	0	0	0
99年 11月	 2 	 1 	0	 1 	0	0	0	0	0
99年 12月	 3 	0	0	0	0	0	0	0	0
100年	 23 	0	 1 	 15 	0	0	0	0	0
100年 1月	 1 	0	0	0	0	0	0	0	0
100年 2月	0	0	0	 3 	0	0	0	0	0
100年 3月	 3 	0	0	 2 	0	0	0	0	0
100年 4月	 3 	0	0	 1 	0	0	0	0	0
100年 5月	 1 	0	0	 5 	0	0	0	0	0
100年 6月	 5 	0	0	0	0	0	0	0	0
100年 7月	0	0	0	 1 	0	0	0	0	0
100年 8月	 1 	0	0	 3 	0	0	0	0	0
100年 9月	 1 	0	0	0	0	0	0	0	0
100年 10月	 3 	0	0	0	0	0	0	0	0
100年 11月	 1 	0	0	0	0	0	0	0	0
100年 12月	 4 	0	 1 	0	0	0	0	0	0
101年	 36 	 3 	 8 	 12 	 1 	0	 1 	0	0
101年 1月	 1 	0	 5 	0	0	0	0	0	0
101年 2月	0	0	 3 	0	0	0	0	0	0
101年 3月	 6 	 1 	0	0	0	0	0	0	0
101年 4月	 3 	0	0	 2 	0	0	0	0	0
101年 5月	 4 	0	0	 1 	0	0	0	0	0
101年 6月	 1 	0	0	 1 	0	0	 1 	0	0
101年 7月	 4 	 1 	0	0	0	0	0	0	0
101年 8月	 2 	0	0	 1 	0	0	0	0	0
101年 9月	 7 	 1 	0	 5 	0	0	0	0	0
101年 10月	 3 	0	0	0	0	0	0	0	0
101年 11月	0	0	0	 1 	 1 	0	0	0	0
