,year,population,exchange_rate,economy_growth,gdp_nt_dollar(unit: million),gdp_us_dollar(unit: million),gdp_avg_nt_dollar,gdp_avg_us_dollar,gni_nt_dollar(unit: million),gni_us_dollar(unit: million),gni_avg_nt_dollar,gni_avg_us_dollar,ni_nt_dollar,ni_us_dollar,avg_income_nt_dollar,avg_income_us_dollar
235,95年,22823455,32.53,5.62,12640803,388589,553851,17026,12952502,398171,567508,17446,11117367,341757,487103,14974
240,96年,22917444,32.84,6.52,13407062,408254,585016,17814,13739828,418387,599536,18256,11590959,352952,505770,15401
245,97年,22997696,31.54,0.7,13150950,416961,571838,18131,13465596,426937,585519,18564,11161869,353896,485347,15388
250,98年,23078402,33.06,-1.57,12961656,392065,561636,16988,13375650,404587,579574,17531,10985329,332285,476000,14398
255,99年,23140948,31.65,10.63,14119213,446105,610140,19278,14548852,459679,628706,19864,12194428,385290,526963,16650
260,100年,23193518,29.47,3.8,14312200,485653,617078,20939,14700572,498832,633822,21507,12290671,417057,529918,17982
265,101年,23270367,29.62,2.06,14686917,495845,631142,21308,15141108,511179,650660,21967,12493108,421779,536868,18125
270,102年,23344670,29.77,2.2,15230739,511614,652429,21916,15654588,525851,670585,22526,13115430,440559,561817,18872
275,103年,23403635,30.37,4.02,16111867,530519,688434,22668,16582405,546013,708540,23330,14018941,461605,599007,19724
280,104年,23462914,31.91,0.72,16759016,525196,714277,22384,17317917,542711,738097,23131,14629941,458475,623535,19540
285,105年(r),23515945,32.33,1.48,17118694,529910,728134,22540,17685971,547402,752264,23284,14906823,461400,634055,19626
290,106年(f),23559269,30.42,2.05,17355185,570664,736652,24222,17823009,586024,756510,24874,15067888,495457,639564,21031
