year,loc,total,male,female,15-19,15-19m,15-19f,20-24,20-24m,20-24f,25-29,25-29m,25-29f,30-34,30-34m,30-34f,35-39,35-39m,35-39f,40-44,40-44m,40-44f,45-49,45-49m,45-49f,50-54,50-54m,50-54f,55-59,55-59m,55-59f,60-64,60-64m,60-64f,65-,65-m,65-f
82,苗栗縣,1.4,1.2,1.7,4.4,3.0,5.5,4.4,4.7,4.3,2.3,2.4,2.2,0.5,0.7,0.2,0.3,0.2,0.6,0.2,0.2,0.2,0.4,0.7,0,0.8,0.4,1.7,0.4,0.5,0,0.5,0.6,0,0.3,0.3,0
82,臺中縣,1.2,1.0,1.5,4.5,3.4,5.7,3.1,3.1,3.1,1.8,1.7,1.8,0.4,0.5,0.3,0.6,0.5,0.8,0.6,0.8,0.2,0.2,0.1,0.4,0.2,0.3,0,0.1,0.2,0,0.7,0.8,0,0,0,0
82,彰化縣,1.1,1.0,1.1,3.5,2.5,4.4,3.5,4.4,2.7,1.1,1.2,1.0,0.5,0.5,0.5,0.6,0.8,0.1,0.2,0.3,0.1,0.5,0.6,0.2,0.4,0.2,0.6,0.8,0.8,0.6,0.1,0.1,0,0,0,0
82,南投縣,1.4,1.5,1.3,7.7,9.0,6.4,5.7,7.1,4.3,1.3,1.7,0.5,0.7,1.0,0.2,0.5,0.7,0,0.4,0.5,0,0.3,0,0.9,0.1,0.1,0,0.7,0.9,0,0,0,0,0,0,0
82,雲林縣,1.0,0.9,1.1,4.0,2.3,5.9,3.3,4.6,2.3,1.4,0.9,2.5,0.5,0.5,0.5,0.3,0.3,0.3,0.4,0.6,0,0.3,0.4,0.2,0.1,0.1,0,0.1,0,0.3,0,0,0,0,0,0
82,南部區域,1.4,1.3,1.5,4.7,4.1,5.2,4.3,5.3,3.5,1.9,1.9,2.0,0.9,0.9,0.8,0.7,0.8,0.5,0.5,0.5,0.5,0.5,0.6,0.2,0.3,0.4,0.1,0.3,0.3,0.1,0.3,0.3,0.2,0.2,0.2,0.1
82,高雄市,1.5,1.2,1.8,5.6,3.0,7.6,3.9,5.0,3.2,2.5,2.3,2.8,0.9,0.8,1.0,0.8,1.0,0.4,0.7,0.6,0.8,0.3,0.3,0.4,0.4,0.5,0,0.1,0.2,0,0,0,0,0,0,0
82,嘉義市,2.1,2.2,2.1,3.4,2.1,4.8,6.7,5.8,7.3,3.1,3.5,2.5,1.5,2.1,0.6,1.2,1.8,0,0.4,0.7,0,1.6,2.5,0,1.4,1.4,1.6,1.2,1.8,0,0.4,0.5,0,0,0,0
82,臺南市,1.7,1.8,1.5,4.9,3.1,6.7,4.8,6.4,3.6,2.2,2.8,1.4,1.2,1.4,0.8,1.3,1.3,1.2,0.5,0.8,0.1,0.8,0.9,0.5,0.6,0.9,0,0.7,0.7,0.7,0,0,0,0.2,0,1.0
82,嘉義縣,0.8,0.9,0.7,2.2,2.7,1.6,2.9,4.3,1.7,1.1,0.7,1.7,0.6,0.6,0.5,0.7,0.8,0.3,0.1,0,0.1,0.1,0.1,0,0.2,0.3,0,0,0,0,0.1,0.2,0,0.6,0.9,0
82,臺南縣,1.4,1.5,1.3,5.6,5.8,5.4,4.9,6.2,3.8,1.9,2.2,1.4,0.9,1.0,0.9,0.5,0.7,0.3,0.4,0.5,0.4,0.8,1.0,0.5,0.4,0.6,0.1,0.2,0.3,0,0.6,0.9,0.1,0.1,0.2,0
82,高雄縣,1.5,1.3,1.8,4.9,4.7,5.2,4.7,5.8,3.9,1.5,1.2,1.9,0.9,1.0,0.5,0.8,0.7,1.0,0.7,0.5,1.0,0.3,0.5,0,0.2,0.2,0.2,0.4,0.3,0.4,0.3,0.3,0.3,0,0,0
82,屏東縣,1.1,1.1,1.2,3.7,4.2,3.1,4.1,4.6,3.6,1.8,1.7,1.9,0.8,0.7,1.0,0.2,0.2,0,0.4,0.6,0.1,0.2,0.3,0,0.1,0.1,0,0.3,0.5,0,0.1,0,0.5,0,0,0
82,澎湖縣,0.7,0.6,1.0,4.5,3.4,5.8,1.7,1.7,1.8,0.7,1.0,0,0.2,0.3,0,0.5,0.4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,東部區域,1.5,1.5,1.6,4.6,3.7,5.8,4.9,5.5,4.4,1.7,1.6,1.9,1.4,1.6,0.9,0.5,0.7,0.1,0.5,0.7,0.3,0.7,1.0,0,0.4,0.6,0,0.2,0.2,0.3,0.3,0.4,0,0.3,0.4,0
82,臺東縣,1.5,1.7,1.3,3.9,3.9,4.0,4.7,6.6,3.2,1.8,2.0,1.3,1.6,1.6,1.7,0.4,0.7,0,0.4,0.4,0.4,0.8,1.3,0,0,0,0,0.2,0.4,0,0,0,0,0.7,0.9,0
82,花蓮縣,1.5,1.3,1.8,5.3,3.4,7.5,5.1,4.6,5.4,1.6,1.2,2.3,1.2,1.6,0.4,0.5,0.7,0.2,0.6,0.8,0.2,0.5,0.8,0,0.6,1.1,0,0.1,0,0.5,0.5,0.7,0,0,0,0
83,臺灣地區,1.56,1.51,1.65,4.96,4.02,5.99,4.67,5.09,4.35,2.19,2.29,2.04,1.19,1.38,0.86,0.74,0.89,0.47,0.65,0.76,0.45,0.60,0.77,0.26,0.45,0.59,0.17,0.43,0.58,0.04,0.29,0.35,0.09,0.13,0.13,0.10
83,北部區域,1.6,1.6,1.7,5.1,4.2,6.1,4.8,5.4,4.5,2.3,2.5,2.1,1.3,1.6,0.9,0.7,0.8,0.5,0.8,0.9,0.5,0.7,1.0,0.2,0.5,0.7,0.2,0.5,0.6,0.1,0.3,0.4,0.2,0.3,0.2,0.3
83,臺北市,1.7,1.7,1.8,5.5,3.7,7.4,5.5,6.1,5.1,2.8,2.8,2.9,1.8,2.1,1.4,0.7,0.7,0.6,0.8,1.1,0.5,0.8,1.1,0.3,0.8,1.2,0.1,0.4,0.5,0,0.7,0.9,0,0.1,0,1.0
83,基隆市,3.0,2.9,3.1,10.1,7.8,12.8,8.4,10.1,7.1,3.0,3.7,1.9,2.3,2.5,1.8,1.2,1.5,0.8,2.1,2.0,2.3,1.0,0.9,1.2,0.7,1.0,0,0.7,0.9,0,0.9,0.8,1.2,0.3,0.4,0
83,新竹市,2.0,2.0,1.9,4.7,3.9,5.5,4.0,2.9,4.8,3.0,3.2,2.7,2.0,2.4,1.4,0.8,0.9,0.5,1.4,2.0,0.5,1.3,2.2,0,0,0,0,1.0,1.5,0,0.6,0.4,1.4,1.2,1.5,0
83,臺北縣,1.5,1.4,1.6,4.4,3.8,5.2,4.6,4.6,4.6,2.1,2.4,1.7,1.0,1.1,0.6,0.7,0.8,0.5,0.5,0.6,0.5,0.8,1.1,0.0,0.4,0.3,0.6,0.7,0.8,0.2,0.1,0.1,0,0.6,0.7,0
83,宜蘭縣,1.5,1.5,1.6,4.0,4.3,3.6,4.5,5.4,3.7,1.7,1.7,1.8,1.3,1.7,0.5,0.8,0.8,0.9,0.8,0.6,1.0,0.1,0,0.4,0.9,1.2,0,0.4,0.5,0,0,0,0,0,0,0
83,桃園縣,1.5,1.6,1.4,5.8,5.3,6.3,4.5,5.8,3.5,2.0,2.4,1.5,1.2,1.4,0.7,0.6,0.8,0.2,0.7,1.0,0.3,0.4,0.4,0.5,0.3,0.4,0,0.3,0.3,0,0.1,0.1,0,0,0,0
83,新竹縣,1.0,1.1,1.0,4.5,3.2,5.9,2.5,3.6,1.6,2.1,2.1,2.0,0.7,1.0,0.2,0.4,0.6,0,0.2,0.3,0,0.2,0.3,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0
83,中部區域,1.3,1.3,1.5,4.8,4.1,5.6,4.1,4.3,4.0,1.8,2.0,1.5,0.8,0.9,0.7,0.6,0.8,0.4,0.5,0.6,0.4,0.4,0.5,0.2,0.3,0.4,0.1,0.4,0.5,0.0,0.3,0.4,0.0,0.1,0.1,0
83,臺中市,2.0,1.7,2.4,5.3,3.5,7.4,6.6,4.4,8.0,2.5,3.0,1.8,1.0,0.8,1.4,1.3,1.6,0.9,1.1,1.4,0.7,0.9,1.2,0.3,0.7,0.9,0.2,0.6,0.8,0,0.3,0.3,0,0,0,0
83,苗栗縣,1.5,1.5,1.6,5.1,4.4,5.7,5.0,5.7,4.5,2.6,2.8,2.2,0.9,1.3,0.1,0.5,0.8,0,0.1,0.1,0,0.2,0.3,0.2,0.1,0.1,0.2,0.1,0.1,0,0.3,0.4,0,0.1,0.2,0
