時間	妨害名譽	違反就業服務法	違反選罷法	妨害秘密	遺棄	違反貪污治罪條例	瀆職	懲治走私條例	妨害兵役
91年 12月	 1 	0	0	0	0	 1 	0	0	0
92年	 11 	 1 	0	0	 15 	 1 	 1 	 1 	0
92年 1月	0	 1 	0	0	 1 	0	0	 1 	0
92年 2月	 3 	0	0	0	0	0	0	0	0
92年 3月	 1 	0	0	0	 3 	0	0	0	0
92年 4月	0	0	0	0	0	 1 	0	0	0
92年 5月	 1 	0	0	0	 2 	0	 1 	0	0
92年 6月	0	0	0	0	 3 	0	0	0	0
92年 7月	 2 	0	0	0	 1 	0	0	0	0
92年 8月	 1 	0	0	0	 1 	0	0	0	0
92年 9月	 2 	0	0	0	 1 	0	0	0	0
92年 10月	0	0	0	0	 2 	0	0	0	0
92年 11月	 1 	0	0	0	 1 	0	0	0	0
92年 12月	0	0	0	0	0	0	0	0	0
93年	 5 	0	 15 	0	 4 	0	0	0	0
93年 1月	0	0	0	0	0	0	0	0	0
93年 2月	 1 	0	0	0	0	0	0	0	0
93年 3月	 1 	0	 10 	0	0	0	0	0	0
93年 4月	 1 	0	0	0	0	0	0	0	0
93年 5月	0	0	0	0	 2 	0	0	0	0
93年 6月	0	0	0	0	0	0	0	0	0
93年 7月	0	0	0	0	 1 	0	0	0	0
93年 8月	0	0	0	0	0	0	0	0	0
93年 9月	0	0	0	0	 1 	0	0	0	0
93年 10月	0	0	0	0	0	0	0	0	0
93年 11月	 1 	0	0	0	0	0	0	0	0
93年 12月	 1 	0	 5 	0	0	0	0	0	0
94年	 6 	 4 	 69 	 1 	 5 	0	 1 	0	0
94年 1月	0	0	0	0	0	0	 1 	0	0
94年 2月	0	 1 	0	0	 1 	0	0	0	0
94年 3月	0	0	0	0	0	0	0	0	0
94年 4月	 2 	 1 	0	0	 1 	0	0	0	0
94年 5月	0	 1 	0	0	 1 	0	0	0	0
94年 6月	0	0	0	0	0	0	0	0	0
94年 7月	 1 	0	0	0	0	0	0	0	0
94年 8月	0	0	0	0	 1 	0	0	0	0
94年 9月	0	 1 	 1 	0	0	0	0	0	0
94年 10月	 1 	0	0	0	0	0	0	0	0
94年 11月	 1 	0	 17 	0	 1 	0	0	0	0
94年 12月	 1 	0	 51 	 1 	0	0	0	0	0
95年	 11 	 1 	 30 	0	 2 	 1 	 2 	0	0
95年 1月	0	0	0	0	0	 1 	 1 	0	0
95年 2月	 2 	0	 1 	0	 1 	0	0	0	0
95年 3月	 1 	0	0	0	0	0	0	0	0
95年 4月	0	0	0	0	0	0	 1 	0	0
95年 5月	0	 1 	 1 	0	0	0	0	0	0
95年 6月	 2 	0	 26 	0	0	0	0	0	0
95年 7月	0	0	 1 	0	0	0	0	0	0
95年 8月	 1 	0	 1 	0	 1 	0	0	0	0
95年 9月	 2 	0	0	0	0	0	0	0	0
95年 10月	 2 	0	0	0	0	0	0	0	0
95年 11月	 1 	0	0	0	0	0	0	0	0
95年 12月	0	0	0	0	0	0	0	0	0
96年	 18 	0	 8 	 1 	 11 	0	0	 2 	0
96年 1月	0	0	0	0	0	0	0	0	0
96年 2月	 1 	0	0	0	0	0	0	0	0
96年 3月	 1 	0	0	0	0	0	0	0	0
96年 4月	 2 	0	0	0	0	0	0	0	0
96年 5月	 1 	0	0	0	0	0	0	 1 	0
96年 6月	 2 	0	 2 	0	 1 	0	0	0	0
96年 7月	 3 	0	0	0	 2 	0	0	 1 	0
96年 8月	 3 	0	0	0	0	0	0	0	0
96年 9月	 1 	0	0	 1 	 2 	0	0	0	0
96年 10月	0	0	0	0	 3 	0	0	0	0
96年 11月	 3 	0	0	0	 2 	0	0	0	0
96年 12月	 1 	0	 6 	0	 1 	0	0	0	0
97年	 15 	 1 	 12 	 3 	 2 	 1 	 2 	0	0
97年 1月	0	0	 12 	 1 	0	0	0	0	0
97年 2月	0	0	0	0	 1 	0	0	0	0
97年 3月	0	0	0	0	0	0	0	0	0
97年 4月	 2 	0	0	0	0	0	0	0	0
97年 5月	0	 1 	0	0	0	 1 	 1 	0	0
97年 6月	 1 	0	0	0	 1 	0	 1 	0	0
97年 7月	0	0	0	0	0	0	0	0	0
97年 8月	 3 	0	0	0	0	0	0	0	0
97年 9月	 4 	0	0	 1 	0	0	0	0	0
97年 10月	 1 	0	0	0	0	0	0	0	0
97年 11月	 1 	0	0	0	0	0	0	0	0
97年 12月	 3 	0	0	 1 	0	0	0	0	0
98年	 24 	0	 37 	 6 	 3 	0	0	 2 	0
98年 1月	 2 	0	0	0	0	0	0	0	0
98年 2月	 1 	0	0	 1 	 1 	0	0	0	0
98年 3月	 1 	0	0	0	0	0	0	0	0
98年 4月	 4 	0	0	 1 	 1 	0	0	0	0
98年 5月	 2 	0	0	0	0	0	0	0	0
98年 6月	 3 	0	0	 1 	0	0	0	0	0
98年 7月	 1 	0	0	0	0	0	0	0	0
98年 8月	 5 	0	0	 1 	 1 	0	0	 1 	0
98年 9月	0	0	0	0	0	0	0	0	0
98年 10月	0	0	 1 	0	0	0	0	0	0
98年 11月	 1 	0	 7 	0	0	0	0	0	0
98年 12月	 4 	0	 29 	 2 	0	0	0	 1 	0
