,時間,縣市,一般及機車竊盜,汽車竊盜,贓物,賭博,重傷害,一般傷害,詐欺背信,妨害自由,故意殺人,過失致死,駕駛過失,妨害家庭及婚姻,妨害風化,強制性交,共同強制性交,對幼性交,性交猥褻,重大恐嚇取財,一般恐嚇取財,擄人勒贖,侵占,偽造文書印文,第一級毒品,第二級毒品,第三級毒品,第四級毒品,毀棄損壞,妨害公務,妨害電腦使用,強盜,搶奪,內亂,重利,竊佔,偽造有價證券,妨害秩序,違反藥事法,違反國家總動員法,違反森林法,違反著作權法,違反專利法,違反商標法,公共危險,侵害墳墓屍體,妨害名譽,違反就業服務法,違反選罷法,妨害秘密,遺棄,違反貪污治罪條例,瀆職,懲治走私條例,妨害兵役,偽造貨幣,偽造度量衡,偽證,誣告,湮滅證據,藏匿頂替,脫逃,違反槍砲彈藥刀械管制條例,其他_x,其他_y
26,91年,雲林縣," 2,803 ", 913 ,19,49,1,326, 125 ,71,36,1,138,21,49,41,1,13,16,0,82,1,35,69, 548 ,134,2,0,52,13,0,68,118,0,13,9,0,0,1,0,1,188,1,7, 465 ,0,18,1,41,0,2,0,1,2,0,11,0,2,23,0,0,1,32,122,235
39,92年,雲林縣," 2,797 ", 781 ,22,68,2,222, 163 ,51,30,5,87,21,35,41,0,9,15,4,55,3,39,57, 522 ,102,2,0,42,10,0,65,83,0,15,10,7,3,1,0,2,93,1,17, 498 ,0,5,1,0,0,6,0,1,1,0,12,0,0,20,1,0,1,39,79,204
52,93年,雲林縣," 2,892 "," 1,050 ",23,68,0,179, 527 ,38,22,2,76,12,34,24,1,9,12,1,53,3,35,42, 766 ,216,4,0,28,5,0,50,67,0,10,4,5,0,0,0,0,32,0,22, 495 ,0,10,2,31,0,3,0,0,1,0,15,0,0,18,1,2,2,71,166,228
65,94年,雲林縣," 3,451 ", 928 ,38,60,0,179, 641 ,54,17,0,93,12,28,34,0,14,32,0,42,2,36,70, 909 ,296,2,0,37,10,18,39,84,0,12,11,1,1,0,0,2,31,0,15, 535 ,1,7,0,62,1,1,0,0,0,0,4,0,0,23,0,1,1,39,104,193
78,95年,雲林縣," 2,912 ", 563 ,36,156,0,183, 762 ,70,19,0,83,15,38,32,2,6,24,0,33,2,24,43, 953 ,143,3,0,46,9,17,57,32,0,43,5,1,1,0,0,2,36,0,3, 591 ,1,16,0,77,1,3,1,1,0,0,6,0,0,22,0,0,0,43,13,151
91,96年,雲林縣," 2,906 ", 963 ,22,141,0,241," 1,050 ",81,32,2,94,13,33,29,5,5,40,0,48,2,31,47, 850 ,185,2,4,48,10,18,59,41,0,57,14,2,1,0,0,2,61,0,7, 703 ,0,15,5,5,1,4,0,0,2,0,10,0,1,15,0,0,0,30,8,175
104,97年,雲林縣," 2,427 ", 481 ,48,127,0,230, 631 ,84,13,1,159,13,32,36,1,8,46,0,74,1,48,39," 1,155 ",196,3,1,53,11,19,52,40,0,59,5,0,0,0,0,0,34,0,1, 746 ,0,22,5,188,0,5,0,1,0,0,6,0,1,24,1,1,2,34,0,214
117,98年,雲林縣," 1,917 ", 267 ,31,107,0,215, 571 ,132,20,1,212,22,104,36,5,4,39,0,30,0,49,57, 676 ,248,12,0,63,9,24,24,23,0,59,25,1,1,1,0,4,45,0,5, 836 ,0,21,2,45,9,10,0,0,3,0,10,0,0,21,0,0,0,28,0,258
130,99年,雲林縣," 1,645 ", 219 ,23,108,1,183, 524 ,134,17,1,149,19,54,26,8,14,52,0,18,0,67,51, 667 ,518,11,0,39,17,12,12,14,0,56,12,2,0,110,0,2,36,0,12, 906 ,1,51,0,52,1,6,2,0,1,0,2,0,0,19,1,0,0,34,1,208
143,100年,雲林縣," 1,293 ", 98 ,22,150,1,284, 420 ,145,17,0,251,24,26,7,0,8,76,0,34,1,65,57, 764 ,457,19,0,68,25,12,14,11,0,94,25,3,0,43,0,3,63,0,3, 976 ,1,49,1,1,6,7,0,1,0,0,0,0,0,15,1,1,0,38,0,222
156,101年,雲林縣," 1,267 ", 117 ,13,134,0,184, 263 ,151,15,2,203,19,29,7,2,6,102,0,14,0,48,40, 636 ,460,17,0,71,33,5,15,9,0,76,36,0,0,9,0,2,39,0,2," 1,238 ",0,40,2,2,1,3,0,0,0,0,0,0,0,10,0,0,0,40,0,237
169,102年,雲林縣," 1,153 ", 117 ,6,180,2,245, 335 ,179,16,2,303,18,44,3,1,4,79,0,13,0,93,49, 518 ,374,34,1,78,23,3,7,7,0,55,57,1,1,13,0,1,19,0,1," 1,703 ",3,72,0,0,5,4,0,1,2,0,0,0,1,14,1,0,0,26,0,264
182,103年,雲林縣," 1,430 ", 160 ,29,194,1,200, 303 ,154,16,2,225,24,42,7,0,2,101,0,20,0,60,45, 434 ,468,24,0,45,24,9,21,5,0,59,50,0,1,4,0,0,36,0,1," 2,019 ",1,60,2,109,6,3,1,0,3,0,0,0,2,17,0,0,0,46,2,350
195,104年,雲林縣," 1,364 ", 165 ,14,172,0,209, 403 ,158,11,1,255,22,40,0,0,1,94,0,21,0,70,51, 502 ,685,25,0,54,30,4,16,13,0,46,48,2,3,1,0,2,23,0,2," 2,088 ",0,78,0,3,3,3,0,2,1,0,1,0,0,21,0,4,0,56,0,377
208,105年,雲林縣," 1,236 ", 91 ,11,143,0,256, 470 ,205,8,2,328,21,39,1,0,3,81,0,18,0,84,40, 635 ,959,12,0,71,50,5,15,8,0,43,30,1,1,2,0,2,17,0,2," 2,087 ",0,89,0,17,6,7,0,1,0,0,4,0,0,24,0,1,0,42,0,310
0,89年,臺南縣," 2,306 ",503,50,126,3,576, 119 ,124,71,0,249,60,73,46,1,17,25,0,136,2,54,109, 390 ," 1,113 ",2,0,74,34,0,84,31,0,79,9,0,3,0,0,0,109,15,35, 529 ,0,11,104,0,1,8,1,0,20,0,5,0,0,32,0,1,0,83,19,213
13,90年,臺南縣," 2,944 ",751,53,105,1,690, 130 ,152,65,5,217,54,122,92,2,13,37,0,126,2,75,88, 572 , 628 ,1,0,92,30,0,118,67,0,33,17,6,5,0,0,0,203,3,9, 887 ,1,9,133,10,1,5,0,0,6,0,18,0,1,60,1,1,0,63,116,226
26,91年,臺南縣," 3,659 ",948,44,83,1,570, 142 ,131,82,6,202,30,97,65,1,12,18,1,236,1,98,94, 550 , 167 ,2,0,58,17,0,130,63,0,18,12,18,0,0,0,1,62,6,7, 837 ,0,28,8,63,0,1,0,1,3,7,11,0,0,35,1,1,0,45,81,327
39,92年,臺南縣," 3,334 ",756,36,52,2,440, 203 ,89,59,3,188,18,64,53,4,16,23,1,108,1,140,138, 572 , 203 ,1,0,58,14,0,150,76,0,33,9,10,0,2,0,3,56,4,17," 1,054 ",0,25,3,1,2,2,0,1,0,20,14,0,0,36,1,0,0,69,100,569
52,93年,臺南縣," 3,220 ",607,17,77,1,278, 251 ,61,42,4,122,10,51,65,4,9,29,0,90,2,59,83, 847 , 257 ,2,0,47,11,0,86,58,0,17,9,3,0,0,0,1,39,0,46," 1,066 ",0,12,1,23,1,3,0,0,1,5,11,0,0,35,0,1,0,83,138,526
65,94年,臺南縣," 3,838 ",799,25,57,3,345, 758 ,94,26,2,191,16,39,59,1,13,29,1,42,0,82,58, 937 , 377 ,12,0,52,12,40,110,56,0,32,18,3,0,0,0,0,14,0,69," 1,103 ",0,15,0,45,0,9,0,0,0,2,10,0,0,26,0,0,1,86,89,515
78,95年,臺南縣," 3,980 ",655,24,257,0,373, 781 ,126,30,1,272,15,53,47,5,14,26,3,62,2,96,109," 1,263 ", 292 ,5,0,64,8,42,114,38,0,37,19,3,2,1,0,4,51,0,54," 1,435 ",0,24,2,13,2,7,0,0,0,0,9,0,1,39,1,0,0,82,4,496
91,96年,臺南縣," 3,234 ",478,14,207,0,303, 834 ,120,31,0,231,16,58,55,2,5,25,0,126,2,57,161," 1,268 ", 404 ,14,0,60,20,25,79,56,0,50,21,3,4,1,0,3,86,0,40," 1,910 ",1,19,3,2,1,5,0,0,0,2,6,0,0,19,0,0,0,45,0,511
104,97年,臺南縣," 2,655 ",417,32,180,1,353, 950 ,150,57,3,273,12,58,53,2,10,27,0,151,0,102,174," 1,335 ", 487 ,16,0,71,13,32,78,50,0,51,10,0,6,0,0,0,52,0,31," 2,183 ",0,31,1,19,2,4,1,0,0,0,1,0,1,21,1,0,0,56,2,216
117,98年,臺南縣," 2,901 ",374,20,137,0,409," 1,159 ",144,50,0,359,12,45,75,2,10,20,0,192,2,98,84," 1,167 ", 576 ,18,0,72,29,37,49,48,0,30,13,2,10,2,0,7,32,0,44," 2,418 ",0,48,0,0,15,2,1,0,0,0,12,0,0,26,0,0,0,40,1,192
130,99年,臺南縣," 2,303 ",252,36,186,0,352, 727 ,140,44,3,450,17,46,67,0,10,28,0,101,1,108,52, 816 , 835 ,23,0,78,30,24,48,33,0,79,27,1,4,20,0,6,31,0,35," 2,281 ",1,69,4,68,3,4,0,0,0,0,0,0,0,15,0,0,0,44,0,211
143,100年,臺南縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,101年,臺南縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,102年,臺南縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,103年,臺南縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,104年,臺南縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,105年,臺南縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
