,時間,縣市,一般及機車竊盜,汽車竊盜,贓物,賭博,重傷害,一般傷害,詐欺背信,妨害自由,故意殺人,過失致死,駕駛過失,妨害家庭及婚姻,妨害風化,強制性交,共同強制性交,對幼性交,性交猥褻,重大恐嚇取財,一般恐嚇取財,擄人勒贖,侵占,偽造文書印文,第一級毒品,第二級毒品,第三級毒品,第四級毒品,毀棄損壞,妨害公務,妨害電腦使用,強盜,搶奪,內亂,重利,竊佔,偽造有價證券,妨害秩序,違反藥事法,違反國家總動員法,違反森林法,違反著作權法,違反專利法,違反商標法,公共危險,侵害墳墓屍體,妨害名譽,違反就業服務法,違反選罷法,妨害秘密,遺棄,違反貪污治罪條例,瀆職,懲治走私條例,妨害兵役,偽造貨幣,偽造度量衡,偽證,誣告,湮滅證據,藏匿頂替,脫逃,違反槍砲彈藥刀械管制條例,其他_x,其他_y
195,104年,臺北縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,105年,臺北縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,89年,臺中市(99年改制前)," 11,783 "," 3,761 ",40,179,3,112, 84 ,27,31,0,14,40,133,23,0,12,14,0,183,4,35,93, 684 ,833,1,0,18,13,0,157,123,0,41,1,2,13,1,0,0,208,5,26, 724 ,0,3,61,0,0,1,0,1,0,0,7,0,0,16,0,0,0,110,10,138
13,90年,臺中市(99年改制前)," 10,639 "," 4,640 ",46,114,2,235, 106 ,59,36,1,68,38,349,28,0,17,23,4,192,9,54,121, 743 ,359,2,0,34,25,0,149,328,0,26,9,3,20,1,0,0,294,0,19," 1,509 ",0,8,68,0,2,4,0,0,0,0,17,0,1,35,0,1,1,78,52,160
26,91年,臺中市(99年改制前)," 13,516 "," 4,320 ",35,65,3,331, 339 ,87,34,1,108,36,414,46,1,8,35,1,290,12,134,174, 778 ,473,3,0,39,29,0,187,423,0,39,9,6,10,0,0,0,385,9,40," 1,844 ",4,6,12,28,0,3,0,1,0,0,11,0,1,62,0,0,3,87,52,419
39,92年,臺中市(99年改制前)," 13,324 "," 3,190 ",35,79,4,358, 773 ,108,38,2,115,32,350,63,5,15,29,5,231,7,87,234, 889 ,367,7,0,56,30,0,155,359,0,26,4,15,8,0,0,0,184,6,130," 1,981 ",0,13,2,0,0,8,0,1,0,0,13,0,0,40,0,6,1,118,50,542
52,93年,臺中市(99年改制前)," 13,150 "," 2,917 ",47,137,2,333," 1,671 ",83,49,3,138,37,295,47,5,13,43,0,226,8,121,128," 1,401 ",555,5,0,69,16,0,147,319,0,26,8,9,4,4,0,1,38,0,54," 2,545 ",0,22,2,5,3,2,4,1,0,0,8,0,0,53,0,0,2,163,158,558
65,94年,臺中市(99年改制前)," 11,515 "," 2,443 ",33,59,0,369," 1,855 ",111,37,1,135,37,321,82,0,15,43,2,107,9,95,120," 1,979 ",618,4,1,80,14,24,176,495,0,34,14,6,2,2,0,0,83,0,47," 2,786 ",0,24,3,24,4,7,0,1,0,0,6,0,0,44,1,1,1,143,90,747
78,95年,臺中市(99年改制前)," 11,655 "," 1,722 ",50,248,2,268," 1,848 ",99,24,3,114,32,183,70,3,13,31,0,230,14,82,107," 2,004 ",536,11,2,62,36,32,136,262,0,202,5,1,0,1,0,0,106,0,79," 2,834 ",0,22,2,18,2,8,0,1,1,0,2,0,1,35,1,1,0,134,1,434
91,96年,臺中市(99年改制前)," 11,214 "," 1,459 ",59,362,0,264," 2,453 ",148,40,1,108,19,269,101,3,16,46,6,111,2,127,138," 2,087 ",713,16,2,76,39,35,158,201,0,795,14,3,0,7,0,0,261,0,137," 2,741 ",0,48,1,1,3,3,0,1,6,0,6,0,0,43,0,0,1,154,0,580
