時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
100年 10月	 609 	 37 	 7 	 75 	0	 40 	 111 	 24 	 4 
100年 11月	 469 	 27 	 2 	 135 	 1 	 51 	 95 	 25 	 4 
100年 12月	 289 	 26 	 2 	 71 	0	 59 	 141 	 32 	 2 
101年	 6,934 	 554 	 96 	 1,035 	 1 	 642 	 1,308 	 339 	 31 
101年 1月	 1,407 	 100 	 20 	 248 	0	 38 	 109 	 13 	 4 
101年 2月	 745 	 49 	 36 	 129 	0	 49 	 108 	 22 	 1 
101年 3月	 492 	 53 	 3 	 58 	0	 44 	 95 	 31 	 2 
101年 4月	 518 	 42 	 4 	 88 	0	 58 	 104 	 30 	 1 
101年 5月	 488 	 62 	 7 	 44 	0	 61 	 136 	 33 	 2 
101年 6月	 422 	 41 	 3 	 50 	0	 48 	 91 	 16 	 4 
101年 7月	 535 	 36 	 7 	 95 	0	 58 	 112 	 36 	 2 
101年 8月	 587 	 44 	 6 	 77 	0	 53 	 109 	 27 	 1 
101年 9月	 489 	 34 	0	 47 	0	 42 	 108 	 25 	 2 
101年 10月	 516 	 36 	 5 	 95 	0	 60 	 123 	 31 	 9 
101年 11月	 458 	 30 	 3 	 53 	0	 73 	 110 	 39 	 1 
101年 12月	 277 	 27 	 2 	 51 	 1 	 58 	 103 	 36 	 2 
102年	 6,121 	 355 	 90 	 1,027 	 3 	 665 	 1,038 	 380 	 34 
102年 1月	 352 	 25 	 9 	 191 	 1 	 53 	 118 	 44 	 6 
102年 2月	 1,947 	 58 	 45 	 227 	0	 37 	 56 	 11 	 1 
102年 3月	 396 	 33 	 3 	 52 	0	 65 	 69 	 32 	 2 
102年 4月	 376 	 34 	 7 	 54 	0	 72 	 88 	 24 	 2 
102年 5月	 409 	 42 	 5 	 63 	0	 58 	 99 	 27 	 5 
102年 6月	 438 	 24 	 2 	 45 	0	 58 	 74 	 35 	 3 
102年 7月	 448 	 46 	 3 	 43 	0	 65 	 115 	 42 	 1 
102年 8月	 417 	 25 	 5 	 94 	0	 62 	 95 	 40 	 2 
102年 9月	 470 	 24 	 3 	 69 	0	 44 	 71 	 32 	 3 
102年 10月	 444 	 19 	 2 	 97 	 1 	 42 	 77 	 31 	 5 
102年 11月	 283 	 13 	 6 	 75 	0	 56 	 95 	 34 	 2 
102年 12月	 141 	 12 	0	 17 	 1 	 53 	 81 	 28 	 2 
103年	 6,224 	 347 	 90 	 975 	 2 	 581 	 996 	 349 	 36 
103年 1月	 1,557 	 47 	 39 	 307 	0	 45 	 67 	 35 	 2 
103年 2月	 790 	 30 	 26 	 155 	0	 50 	 104 	 29 	 5 
103年 3月	 482 	 22 	 7 	 53 	0	 50 	 83 	 35 	 1 
103年 4月	 510 	 32 	 4 	 82 	0	 49 	 63 	 20 	 3 
103年 5月	 461 	 30 	 3 	 63 	0	 39 	 80 	 22 	 5 
103年 6月	 450 	 28 	 4 	 31 	0	 38 	 68 	 27 	 3 
103年 7月	 321 	 19 	 2 	 72 	 1 	 35 	 71 	 22 	 3 
103年 8月	 349 	 17 	 1 	 62 	0	 41 	 98 	 23 	 4 
103年 9月	 422 	 21 	 1 	 37 	 1 	 55 	 80 	 22 	 2 
103年 10月	 385 	 63 	 2 	 32 	0	 64 	 89 	 40 	 1 
103年 11月	 272 	 25 	0	 67 	0	 61 	 85 	 33 	 4 
103年 12月	 225 	 13 	 1 	 14 	0	 54 	 108 	 41 	 3 
104年	 5,232 	 392 	 60 	 1,016 	 5 	 616 	 1,364 	 440 	 32 
104年 1月	 113 	 21 	 1 	 4 	0	 51 	 93 	 43 	 5 
104年 2月	 1,384 	 61 	 15 	 549 	0	 32 	 86 	 27 	 1 
104年 3月	 432 	 50 	 2 	 5 	0	 49 	 116 	 40 	 1 
104年 4月	 424 	 32 	 2 	 74 	0	 53 	 104 	 22 	 2 
104年 5月	 389 	 30 	 5 	 61 	0	 39 	 100 	 28 	0
104年 6月	 351 	 25 	 5 	 63 	0	 55 	 99 	 24 	 4 
104年 7月	 399 	 34 	 3 	 16 	0	 47 	 126 	 30 	 3 
104年 8月	 403 	 59 	 5 	 48 	 1 	 48 	 100 	 43 	 1 
104年 9月	 378 	 28 	 10 	 51 	0	 54 	 122 	 55 	 5 
104年 10月	 338 	 25 	 6 	 67 	0	 55 	 121 	 33 	 4 
104年 11月	 286 	 12 	 3 	 44 	 1 	 65 	 137 	 39 	 3 
