時間	妨害名譽	違反就業服務法	違反選罷法	妨害秘密	遺棄	違反貪污治罪條例	瀆職	懲治走私條例	妨害兵役
89年	 3 	 272 	 5 	 4 	 3 	0	 1 	 5 	0
89年 1月	0	 45 	0	0	 1 	0	0	0	0
89年 2月	0	 70 	0	0	 1 	0	0	0	0
89年 3月	 1 	 17 	 2 	0	0	0	0	0	0
89年 4月	0	 13 	 1 	0	0	0	0	0	0
89年 5月	0	 15 	0	 3 	0	0	 1 	 1 	0
89年 6月	0	 10 	0	0	0	0	0	 1 	0
89年 7月	0	 8 	 1 	0	0	0	0	0	0
89年 8月	 1 	 15 	0	0	0	0	0	 1 	0
89年 9月	0	 14 	 1 	0	0	0	0	 1 	0
89年 10月	0	 19 	0	 1 	 1 	0	0	0	0
89年 11月	0	 21 	0	0	0	0	0	0	0
89年 12月	 1 	 25 	0	0	0	0	0	 1 	0
90年	 10 	 215 	 13 	 1 	 3 	0	0	 3 	0
90年 1月	 1 	 27 	0	0	0	0	0	 1 	0
90年 2月	0	 24 	 1 	0	0	0	0	 2 	0
90年 3月	0	 10 	0	0	0	0	0	0	0
90年 4月	 2 	 19 	0	0	0	0	0	0	0
90年 5月	 1 	 10 	0	0	 1 	0	0	0	0
90年 6月	 2 	 21 	0	0	0	0	0	0	0
90年 7月	0	 13 	0	0	0	0	0	0	0
90年 8月	0	 13 	0	0	 1 	0	0	0	0
90年 9月	 1 	 15 	 1 	0	 1 	0	0	0	0
90年 10月	 1 	 16 	0	0	0	0	0	0	0
90年 11月	 1 	 30 	 5 	0	0	0	0	0	0
90年 12月	 1 	 17 	 6 	 1 	0	0	0	0	0
91年	 6 	 16 	 194 	0	 5 	0	 1 	0	0
91年 1月	 1 	 4 	 47 	0	0	0	0	0	0
91年 2月	 1 	 6 	 8 	0	0	0	0	0	0
91年 3月	0	 2 	 2 	0	 1 	0	0	0	0
91年 4月	0	 1 	 2 	0	 1 	0	0	0	0
91年 5月	0	 1 	 57 	0	 1 	0	0	0	0
91年 6月	 1 	0	 75 	0	0	0	0	0	0
91年 7月	0	0	 3 	0	0	0	0	0	0
91年 8月	0	 2 	0	0	0	0	 1 	0	0
91年 9月	 2 	0	0	0	0	0	0	0	0
91年 10月	0	0	0	0	0	0	0	0	0
91年 11月	0	0	0	0	 2 	0	0	0	0
91年 12月	 1 	0	0	0	0	0	0	0	0
92年	 5 	0	0	0	 4 	0	0	 3 	0
92年 1月	0	0	0	0	0	0	0	0	0
92年 2月	0	0	0	0	0	0	0	0	0
92年 3月	0	0	0	0	 1 	0	0	0	0
92年 4月	0	0	0	0	 1 	0	0	 2 	0
92年 5月	0	0	0	0	0	0	0	0	0
92年 6月	 1 	0	0	0	0	0	0	0	0
92年 7月	 1 	0	0	0	0	0	0	0	0
92年 8月	0	0	0	0	0	0	0	0	0
92年 9月	0	0	0	0	 1 	0	0	0	0
92年 10月	 1 	0	0	0	0	0	0	0	0
92年 11月	 1 	0	0	0	0	0	0	 1 	0
92年 12月	 1 	0	0	0	 1 	0	0	0	0
93年	 7 	 2 	 45 	 1 	 5 	0	0	0	0
93年 1月	 1 	0	0	0	0	0	0	0	0
93年 2月	0	0	0	0	 1 	0	0	0	0
93年 3月	 1 	0	 1 	0	0	0	0	0	0
93年 4月	0	0	0	 1 	 1 	0	0	0	0
93年 5月	 2 	0	0	0	0	0	0	0	0
93年 6月	0	0	0	0	0	0	0	0	0
93年 7月	0	 1 	0	0	0	0	0	0	0
93年 8月	0	0	0	0	0	0	0	0	0
93年 9月	 1 	0	0	0	 2 	0	0	0	0
93年 10月	 2 	 1 	0	0	0	0	0	0	0
93年 11月	0	0	 2 	0	0	0	0	0	0
93年 12月	0	0	 42 	0	 1 	0	0	0	0
94年	 23 	 6 	 119 	 1 	 8 	0	0	 8 	0
94年 1月	 1 	0	0	0	 2 	0	0	 1 	0
94年 2月	 4 	0	 1 	0	0	0	0	0	0
94年 3月	 2 	 2 	0	 1 	 1 	0	0	0	0
94年 4月	 1 	0	0	0	0	0	0	0	0
94年 5月	 2 	 1 	0	0	 1 	0	0	 1 	0
94年 6月	0	0	0	0	0	0	0	 3 	0
94年 7月	 3 	0	0	0	 1 	0	0	0	0
94年 8月	 4 	 1 	0	0	0	0	0	0	0
94年 9月	 1 	0	 2 	0	0	0	0	 2 	0
94年 10月	0	0	 6 	0	 1 	0	0	 1 	0
94年 11月	 2 	 1 	 49 	0	 1 	0	0	0	0
94年 12月	 3 	 1 	 61 	0	 1 	0	0	0	0
95年	 21 	 4 	 26 	 1 	 5 	0	0	0	0
95年 1月	 1 	0	 2 	0	0	0	0	0	0
95年 2月	0	0	0	0	0	0	0	0	0
95年 3月	 1 	 1 	 1 	0	0	0	0	0	0
95年 4月	 1 	0	0	0	0	0	0	0	0
95年 5月	 3 	0	 2 	0	 1 	0	0	0	0
95年 6月	 2 	0	 19 	0	 1 	0	0	0	0
95年 7月	 1 	0	 1 	 1 	0	0	0	0	0
95年 8月	 2 	 1 	0	0	0	0	0	0	0
95年 9月	 4 	 2 	 1 	0	 1 	0	0	0	0
95年 10月	 3 	0	0	0	 1 	0	0	0	0
95年 11月	 2 	0	0	0	 1 	0	0	0	0
95年 12月	 1 	0	0	0	0	0	0	0	0
96年	 27 	 4 	 4 	 3 	 5 	 1 	 1 	 1 	0
96年 1月	 1 	 1 	0	0	0	0	0	0	0
96年 2月	 1 	0	0	0	 1 	0	0	0	0
96年 3月	 3 	0	0	0	 1 	0	0	0	0
96年 4月	 1 	0	0	 2 	 1 	0	0	0	0
96年 5月	 5 	 1 	0	 1 	0	0	0	 1 	0
96年 6月	 4 	0	0	0	0	0	0	0	0
96年 7月	 3 	0	0	0	0	0	0	0	0
