時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
89年	 38 	 3 	 19 	 57 	 305 	 716 	0	0	 14 
89年 1月	 3 	0	 1 	 3 	 19 	 95 	0	0	0
89年 2月	 1 	 2 	 1 	 3 	 22 	 79 	0	0	 4 
89年 3月	0	0	0	 5 	 23 	 53 	0	0	 1 
89年 4月	0	0	0	0	 7 	 38 	0	0	 1 
89年 5月	 3 	0	 2 	 7 	 27 	 69 	0	0	 2 
89年 6月	0	0	 2 	 7 	 25 	 45 	0	0	 1 
89年 7月	0	0	 3 	 4 	 26 	 49 	0	0	0
89年 8月	 3 	0	 5 	 11 	 35 	 56 	0	0	 1 
89年 9月	 1 	0	 2 	 4 	 39 	 42 	0	0	0
89年 10月	 21 	0	 3 	 3 	 29 	 71 	0	0	 1 
89年 11月	 6 	 1 	0	 6 	 22 	 56 	0	0	 2 
89年 12月	0	0	0	 4 	 31 	 63 	0	0	 1 
90年	 26 	 2 	 29 	 54 	 464 	 462 	0	0	 79 
90年 1月	 3 	0	 3 	 4 	 46 	 80 	0	0	0
90年 2月	 1 	0	 2 	 5 	 22 	 35 	0	0	0
90年 3月	 3 	 1 	 4 	 7 	 41 	 56 	0	0	 2 
90年 4月	0	0	 2 	 2 	 34 	 38 	0	0	 2 
90年 5月	 3 	0	 3 	 1 	 32 	 47 	0	0	 1 
90年 6月	 2 	0	 3 	 11 	 35 	 26 	0	0	 2 
90年 7月	0	0	 3 	 1 	 47 	 33 	0	0	 13 
90年 8月	 3 	0	 1 	 8 	 51 	 38 	0	0	 16 
90年 9月	0	0	 2 	 4 	 36 	 23 	0	0	 17 
90年 10月	 3 	0	 1 	 3 	 53 	 37 	0	0	 2 
90年 11月	 3 	 1 	 3 	 5 	 33 	 31 	0	0	 13 
90年 12月	 5 	0	 2 	 3 	 34 	 18 	0	0	 11 
91年	 82 	 1 	 35 	 69 	 548 	 134 	 2 	0	 122 
91年 1月	 1 	0	 1 	 3 	 27 	 8 	0	0	 4 
91年 2月	 44 	0	 3 	 5 	 51 	 25 	0	0	 12 
91年 3月	0	0	 2 	 3 	 33 	 13 	0	0	 2 
91年 4月	 9 	0	 4 	 7 	 50 	 17 	0	0	 9 
91年 5月	 2 	0	 4 	 6 	 43 	 17 	0	0	 9 
91年 6月	 1 	0	 2 	 5 	 42 	 10 	0	0	 10 
91年 7月	 5 	0	 4 	 6 	 39 	 12 	0	0	 9 
91年 8月	 2 	 1 	 1 	 12 	 71 	 10 	 1 	0	 13 
91年 9月	 4 	0	 3 	 8 	 53 	 7 	0	0	 20 
91年 10月	 3 	0	 6 	 8 	 36 	 5 	0	0	 18 
91年 11月	 7 	0	0	 3 	 52 	 5 	 1 	0	 7 
91年 12月	 4 	0	 5 	 3 	 51 	 5 	0	0	 9 
92年	 55 	 3 	 39 	 57 	 522 	 102 	 2 	0	 79 
92年 1月	 6 	0	 3 	 6 	 62 	 8 	0	0	 10 
92年 2月	 4 	0	 4 	 4 	 38 	 7 	0	0	 16 
92年 3月	 9 	0	 4 	 4 	 35 	 4 	0	0	 5 
92年 4月	 1 	0	 1 	 5 	 30 	 6 	0	0	 8 
92年 5月	0	 1 	 3 	 3 	 42 	 7 	0	0	 5 
92年 6月	 5 	0	 8 	 9 	 43 	 8 	0	0	 4 
92年 7月	 1 	0	 2 	 3 	 46 	 10 	0	0	 3 
92年 8月	 5 	0	 4 	 6 	 56 	 11 	0	0	 3 
92年 9月	 4 	0	 3 	 2 	 31 	 8 	0	0	 4 
92年 10月	 6 	 1 	 3 	 5 	 60 	 10 	0	0	 6 
92年 11月	 11 	 1 	 1 	 7 	 43 	 10 	0	0	 9 
92年 12月	 3 	0	 3 	 3 	 36 	 13 	 2 	0	 6 
93年	 53 	 3 	 35 	 42 	 766 	 216 	 4 	0	 166 
93年 1月	 3 	0	 2 	 1 	 47 	 19 	0	0	 15 
93年 2月	 1 	0	 3 	 5 	 74 	 13 	0	0	 8 
93年 3月	0	0	 3 	 1 	 66 	 15 	0	0	 4 
93年 4月	 1 	 1 	 2 	 2 	 58 	 12 	0	0	 10 
93年 5月	 2 	0	 2 	 6 	 49 	 16 	0	0	 20 
93年 6月	 11 	0	 1 	 1 	 64 	 13 	0	0	 14 
93年 7月	 8 	 1 	 5 	 4 	 63 	 15 	 3 	0	 12 
93年 8月	 7 	0	 2 	 3 	 79 	 21 	0	0	 20 
93年 9月	 8 	0	 3 	 5 	 71 	 26 	 1 	0	 24 
93年 10月	 1 	 1 	 6 	 6 	 63 	 29 	0	0	 10 
93年 11月	 3 	0	 2 	 6 	 85 	 24 	0	0	 16 
93年 12月	 8 	0	 4 	 2 	 47 	 13 	0	0	 13 
94年	 42 	 2 	 36 	 70 	 909 	 296 	 2 	0	 104 
94年 1月	 3 	0	 2 	 7 	 126 	 38 	0	0	 13 
94年 2月	 2 	0	 2 	 2 	 78 	 23 	 1 	0	 11 
94年 3月	 4 	0	 3 	 3 	 77 	 17 	0	0	 14 
94年 4月	 1 	0	 1 	 2 	 67 	 24 	0	0	 19 
94年 5月	 7 	0	 2 	 4 	 56 	 34 	0	0	 12 
94年 6月	 2 	0	 1 	 4 	 60 	 20 	0	0	 14 
94年 7月	 2 	0	 2 	 22 	 86 	 32 	0	0	 11 
94年 8月	 10 	0	 4 	 6 	 95 	 38 	0	0	 5 
94年 9月	 2 	0	 4 	 4 	 58 	 27 	0	0	 1 
94年 10月	 3 	0	 4 	 2 	 68 	 20 	 1 	0	0
94年 11月	 5 	 2 	 5 	 5 	 69 	 15 	0	0	0
94年 12月	 1 	0	 6 	 9 	 69 	 8 	0	0	 4 
95年	 33 	 2 	 24 	 43 	 953 	 143 	 3 	0	 13 
95年 1月	 2 	0	 1 	 3 	 88 	 16 	 1 	0	0
95年 2月	0	 1 	 1 	 4 	 65 	 8 	0	0	 1 
95年 3月	 3 	 1 	 1 	 2 	 52 	 14 	0	0	0
95年 4月	 5 	0	 3 	 4 	 62 	 11 	0	0	 1 
95年 5月	 1 	0	 2 	 3 	 69 	 15 	0	0	 2 
95年 6月	 1 	0	 1 	 7 	 72 	 19 	0	0	 1 
95年 7月	 2 	0	0	0	 102 	 14 	 1 	0	 6 
