時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
89年	 65 	 2 	 23 	 55 	 216 	 1,229 	0	0	 26 
89年 1月	 4 	 2 	0	 5 	 15 	 216 	0	0	 10 
89年 2月	 15 	0	 1 	 3 	 19 	 333 	0	0	 3 
89年 3月	 2 	0	 4 	 8 	 10 	 93 	0	0	 1 
89年 4月	 22 	0	 4 	 1 	 5 	 62 	0	0	 3 
89年 5月	 4 	0	0	 4 	 13 	 68 	0	0	 2 
89年 6月	0	0	 4 	 6 	 11 	 89 	0	0	 2 
89年 7月	 2 	0	 1 	 10 	 25 	 78 	0	0	 1 
89年 8月	 3 	0	0	0	 17 	 74 	0	0	 2 
89年 9月	 1 	0	 2 	 6 	 20 	 55 	0	0	0
89年 10月	 4 	0	 4 	 4 	 33 	 47 	0	0	 2 
89年 11月	 5 	0	 2 	 2 	 24 	 62 	0	0	0
89年 12月	 3 	0	 1 	 6 	 24 	 52 	0	0	0
90年	 43 	 2 	 35 	 53 	 244 	 492 	0	0	 151 
90年 1月	 2 	0	 3 	 3 	 29 	 78 	0	0	 2 
90年 2月	 14 	0	 7 	 10 	 13 	 56 	0	0	 1 
90年 3月	0	 1 	 4 	 5 	 27 	 53 	0	0	 1 
90年 4月	 2 	0	 2 	 3 	 21 	 69 	0	0	 1 
90年 5月	 2 	0	0	 5 	 15 	 64 	0	0	 1 
90年 6月	 13 	0	 3 	 5 	 18 	 51 	0	0	 9 
90年 7月	0	0	 7 	 10 	 16 	 31 	0	0	 22 
90年 8月	 3 	0	 2 	 6 	 31 	 44 	0	0	 22 
90年 9月	 1 	0	 2 	0	 18 	 13 	0	0	 26 
90年 10月	 2 	0	0	 4 	 18 	 9 	0	0	 20 
90年 11月	 1 	0	 2 	 1 	 23 	 13 	0	0	 33 
90年 12月	 3 	 1 	 3 	 1 	 15 	 11 	0	0	 13 
91年	 56 	 3 	 20 	 29 	 317 	 180 	 2 	0	 143 
91年 1月	 2 	0	 3 	 3 	 12 	 7 	0	0	 7 
91年 2月	 5 	 1 	 1 	 3 	 46 	 47 	0	0	 28 
91年 3月	0	0	 3 	 1 	 18 	 13 	0	0	 16 
91年 4月	 13 	0	0	 1 	 8 	 20 	0	0	 13 
91年 5月	 7 	0	 2 	0	 22 	 12 	0	0	 23 
91年 6月	 5 	0	 3 	 4 	 23 	 17 	 1 	0	 29 
91年 7月	 15 	 1 	 1 	 4 	 31 	 4 	0	0	 10 
91年 8月	 5 	0	 3 	 3 	 32 	 13 	 1 	0	 10 
91年 9月	 1 	0	0	 2 	 39 	 16 	0	0	 2 
91年 10月	 1 	0	 2 	 4 	 42 	 15 	0	0	 4 
91年 11月	 1 	0	 2 	 2 	 24 	 6 	0	0	0
91年 12月	 1 	 1 	0	 2 	 20 	 10 	0	0	 1 
92年	 46 	0	 22 	 33 	 453 	 212 	 5 	0	 49 
92年 1月	 2 	0	 2 	 1 	 25 	 16 	0	0	0
92年 2月	0	0	0	 2 	 22 	 4 	0	0	 1 
92年 3月	 2 	0	 1 	 5 	 29 	 21 	0	0	0
92年 4月	 30 	0	 1 	 1 	 32 	 14 	0	0	0
92年 5月	 4 	0	 2 	 3 	 26 	 11 	0	0	 3 
92年 6月	 3 	0	 1 	 3 	 15 	 6 	0	0	 8 
92年 7月	 1 	0	 1 	 4 	 29 	 11 	0	0	0
92年 8月	0	0	 2 	 3 	 50 	 19 	0	0	 2 
92年 9月	 1 	0	 1 	 3 	 77 	 26 	0	0	 12 
92年 10月	 1 	0	 3 	0	 38 	 25 	 1 	0	 6 
92年 11月	 2 	0	 6 	 5 	 44 	 33 	 2 	0	 10 
92年 12月	0	0	 2 	 3 	 66 	 26 	 2 	0	 7 
93年	 88 	 1 	 16 	 44 	 937 	 468 	 4 	0	 218 
93年 1月	 36 	0	0	 10 	 61 	 54 	 1 	0	 13 
93年 2月	 8 	0	 1 	 3 	 58 	 25 	 1 	0	 6 
93年 3月	 8 	 1 	 1 	 5 	 57 	 29 	0	0	 10 
93年 4月	 1 	0	 1 	 5 	 60 	 32 	0	0	 4 
93年 5月	 10 	0	 2 	 1 	 92 	 33 	 1 	0	 6 
93年 6月	 2 	0	 3 	 2 	 80 	 53 	0	0	 5 
93年 7月	0	0	 2 	 4 	 81 	 50 	0	0	 4 
93年 8月	 8 	0	 3 	 4 	 83 	 48 	 1 	0	 19 
93年 9月	 1 	0	 2 	 2 	 94 	 40 	0	0	 35 
93年 10月	 5 	0	 1 	 6 	 80 	 31 	0	0	 38 
93年 11月	 1 	0	0	 2 	 97 	 40 	0	0	 42 
93年 12月	 8 	0	0	0	 94 	 33 	0	0	 36 
94年	 15 	 3 	 16 	 41 	 1,564 	 550 	0	0	 58 
94年 1月	 2 	0	 1 	 2 	 187 	 93 	0	0	 13 
94年 2月	 2 	0	 1 	 1 	 113 	 39 	0	0	 9 
94年 3月	0	 1 	 2 	 3 	 134 	 43 	0	0	0
94年 4月	 1 	0	 2 	 4 	 93 	 49 	0	0	 2 
94年 5月	 3 	 2 	0	 1 	 142 	 48 	0	0	0
94年 6月	 4 	0	 2 	 3 	 132 	 53 	0	0	0
94年 7月	0	0	0	 4 	 111 	 40 	0	0	0
94年 8月	0	0	 1 	 7 	 115 	 43 	0	0	 1 
94年 9月	 1 	0	 2 	 3 	 199 	 61 	0	0	 2 
94年 10月	 1 	0	 2 	 5 	 114 	 47 	0	0	 12 
94年 11月	 1 	0	 2 	 4 	 127 	 23 	0	0	 8 
94年 12月	0	0	 1 	 4 	 97 	 11 	0	0	 11 
95年	 25 	 2 	 17 	 43 	 1,144 	 297 	 6 	0	 18 
95年 1月	 6 	 1 	0	 4 	 159 	 32 	 1 	0	 1 
95年 2月	 3 	0	0	 8 	 90 	 13 	 3 	0	 1 
95年 3月	 1 	 1 	 2 	 2 	 80 	 18 	0	0	0
95年 4月	 1 	0	0	 6 	 99 	 33 	0	0	0
95年 5月	 3 	0	 1 	0	 86 	 26 	0	0	0
95年 6月	 1 	0	 1 	 3 	 68 	 16 	0	0	 4 
95年 7月	 1 	0	 4 	 2 	 82 	 30 	0	0	 4 
95年 8月	 1 	0	 1 	 3 	 76 	 26 	0	0	 3 
95年 9月	 1 	0	0	 1 	 120 	 30 	0	0	 1 
95年 10月	 2 	0	 3 	 6 	 103 	 30 	0	0	 3 
95年 11月	 2 	0	0	 5 	 105 	 23 	 1 	0	 1 
95年 12月	 3 	0	 5 	 3 	 76 	 20 	 1 	0	0
96年	 11 	0	 21 	 28 	 1,612 	 498 	 18 	0	 20 
