時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
94年 7月	 246 	 33 	 1 	 1 	0	 7 	 22 	 2 	 2 
94年 8月	 259 	 22 	 2 	 3 	0	 13 	 22 	 1 	 1 
94年 9月	 230 	 22 	 1 	 1 	0	 4 	 18 	 2 	 2 
94年 10月	 196 	 22 	 3 	 1 	0	 6 	 19 	0	 1 
94年 11月	 182 	 21 	 1 	 1 	0	 6 	 18 	 2 	0
94年 12月	 173 	 24 	 3 	0	0	 3 	 21 	 4 	 1 
95年	 2,502 	 255 	 28 	 164 	0	 101 	 403 	 14 	 19 
95年 1月	 227 	 34 	 4 	 5 	0	 3 	 23 	 3 	0
95年 2月	 180 	 20 	 4 	 94 	0	 3 	 56 	0	 3 
95年 3月	 182 	 25 	 4 	 29 	0	 11 	 13 	0	 2 
95年 4月	 218 	 26 	 2 	 8 	0	 14 	 14 	 1 	0
95年 5月	 179 	 16 	 3 	 5 	0	 7 	 47 	 1 	 4 
95年 6月	 207 	 15 	0	 4 	0	 6 	 133 	 1 	 2 
95年 7月	 204 	 32 	 2 	 5 	0	 6 	 12 	 2 	 3 
95年 8月	 242 	 22 	 3 	 3 	0	 6 	 12 	0	 2 
95年 9月	 229 	 24 	 1 	 3 	0	 6 	 55 	 1 	 2 
95年 10月	 180 	 13 	0	 1 	0	 12 	 13 	 2 	0
95年 11月	 270 	 13 	 4 	 2 	0	 14 	 12 	 2 	0
95年 12月	 184 	 15 	 1 	 5 	0	 13 	 13 	 1 	 1 
96年	 2,162 	 219 	 20 	 95 	0	 221 	 442 	 64 	 17 
96年 1月	 198 	 17 	0	 19 	0	 14 	 32 	 5 	 1 
96年 2月	 270 	 9 	 2 	 21 	0	 9 	 24 	 4 	0
96年 3月	 207 	 10 	 1 	 21 	0	 11 	 57 	 2 	 2 
96年 4月	 155 	 11 	 3 	 1 	0	 12 	 41 	 3 	 1 
96年 5月	 165 	 20 	 2 	 7 	0	 20 	 51 	 5 	 2 
96年 6月	 169 	 17 	 2 	 2 	0	 23 	 13 	 3 	0
96年 7月	 152 	 17 	 1 	 4 	0	 24 	 40 	 3 	0
96年 8月	 142 	 30 	0	 1 	0	 18 	 25 	 12 	 3 
96年 9月	 169 	 22 	0	 7 	0	 27 	 27 	 11 	 4 
96年 10月	 164 	 20 	 4 	 6 	0	 24 	 19 	 4 	 3 
96年 11月	 186 	 18 	 2 	 6 	0	 15 	 48 	 8 	 1 
96年 12月	 185 	 28 	 3 	0	0	 24 	 65 	 4 	0
97年	 1,979 	 197 	 56 	 73 	 1 	 276 	 320 	 85 	 9 
97年 1月	 161 	 20 	 6 	 5 	0	 33 	 42 	 6 	 1 
97年 2月	 174 	 24 	 3 	 26 	0	 18 	 24 	 7 	0
97年 3月	 175 	 21 	 2 	 8 	0	 15 	 18 	 4 	 1 
97年 4月	 246 	 35 	 15 	 3 	0	 18 	 15 	 7 	 1 
97年 5月	 188 	 16 	 2 	 3 	0	 29 	 21 	 9 	0
97年 6月	 164 	 18 	 4 	 4 	0	 19 	 30 	 3 	 1 
97年 7月	 167 	 13 	 3 	 7 	0	 23 	 20 	 8 	 1 
97年 8月	 171 	 19 	 9 	 4 	 1 	 27 	 40 	 7 	 1 
97年 9月	 149 	 10 	 5 	 1 	0	 26 	 25 	 5 	0
97年 10月	 157 	 11 	0	 5 	0	 22 	 25 	 10 	0
97年 11月	 115 	 8 	 4 	 4 	0	 19 	 38 	 6 	 1 
97年 12月	 112 	 2 	 3 	 3 	0	 27 	 22 	 13 	 2 
98年	 1,537 	 94 	 29 	 62 	0	 368 	 397 	 97 	 15 
98年 1月	 175 	 8 	 5 	 11 	0	 9 	 37 	 2 	 1 
98年 2月	 157 	 5 	 8 	 25 	0	 30 	 48 	 4 	 1 
98年 3月	 109 	 8 	 4 	 5 	0	 32 	 26 	 11 	 3 
98年 4月	 123 	 6 	 1 	 2 	0	 34 	 31 	 15 	 1 
98年 5月	 101 	 12 	0	 4 	0	 22 	 28 	 5 	0
98年 6月	 131 	 8 	 6 	 3 	0	 29 	 48 	 11 	 3 
98年 7月	 133 	 5 	 1 	 1 	0	 40 	 31 	 4 	 2 
98年 8月	 140 	 13 	0	 1 	0	 41 	 25 	 3 	 1 
98年 9月	 130 	 9 	0	 4 	0	 35 	 30 	 13 	 1 
98年 10月	 135 	 9 	 2 	 3 	0	 32 	 32 	 17 	 1 
98年 11月	 108 	 7 	 1 	 1 	0	 38 	 29 	 5 	0
98年 12月	 95 	 4 	 1 	 2 	0	 26 	 32 	 7 	 1 
99年	 1,585 	 136 	 40 	 57 	 1 	 326 	 320 	 90 	 18 
99年 1月	 71 	 5 	0	 2 	0	 20 	 19 	 9 	0
99年 2月	 232 	 16 	 4 	 30 	0	 20 	 40 	 3 	 3 
99年 3月	 129 	 8 	 3 	 7 	0	 48 	 24 	 11 	 2 
99年 4月	 118 	 11 	 1 	 1 	0	 30 	 20 	 6 	 3 
99年 5月	 137 	 9 	 1 	 3 	0	 18 	 29 	 7 	 1 
99年 6月	 126 	 10 	 7 	 3 	0	 19 	 20 	 9 	0
99年 7月	 119 	 9 	 4 	 1 	0	 25 	 29 	 11 	 2 
99年 8月	 139 	 18 	 1 	 1 	0	 30 	 26 	 10 	 2 
99年 9月	 127 	 22 	 3 	 2 	0	 40 	 30 	 8 	 1 
99年 10月	 155 	 10 	 5 	 1 	 1 	 34 	 31 	 7 	 2 
99年 11月	 150 	 14 	 8 	 3 	0	 16 	 27 	 5 	 1 
99年 12月	 82 	 4 	 3 	 3 	0	 26 	 25 	 4 	 1 
100年	 1,240 	 101 	 39 	 65 	0	 294 	 379 	 100 	 11 
100年 1月	 140 	 11 	 4 	 10 	0	 18 	 34 	 4 	0
100年 2月	 214 	 11 	 8 	 28 	0	 24 	 46 	 4 	 1 
100年 3月	 89 	 6 	 3 	 4 	0	 33 	 23 	 8 	 3 
100年 4月	 95 	 15 	 2 	 1 	0	 28 	 40 	 12 	 2 
100年 5月	 93 	 11 	0	 2 	0	 25 	 36 	 3 	 1 
100年 6月	 108 	 9 	 5 	 4 	0	 35 	 42 	 12 	 1 
100年 7月	 98 	 8 	 1 	 3 	0	 33 	 28 	 12 	 1 
100年 8月	 81 	 9 	 2 	 4 	0	 28 	 30 	 14 	0
100年 9月	 101 	 4 	 2 	 1 	0	 15 	 13 	 8 	0
100年 10月	 73 	 7 	 9 	 4 	0	 26 	 17 	 7 	0
100年 11月	 83 	 4 	 3 	 1 	0	 18 	 33 	 9 	 1 
100年 12月	 65 	 6 	0	 3 	0	 11 	 37 	 7 	 1 
101年	 975 	 86 	 12 	 63 	0	 242 	 294 	 120 	 16 
101年 1月	 185 	 4 	 5 	 16 	0	 17 	 16 	 4 	 3 
101年 2月	 96 	 6 	 1 	 23 	0	 18 	 15 	 6 	0
101年 3月	 66 	 11 	0	 1 	0	 11 	 18 	 11 	 3 
101年 4月	 87 	 16 	 1 	 4 	0	 21 	 25 	 11 	 1 
101年 5月	 93 	 8 	 2 	 2 	0	 25 	 37 	 14 	 3 
101年 6月	 68 	 6 	 1 	 8 	0	 22 	 25 	 11 	0
101年 7月	 61 	 2 	0	 2 	0	 25 	 34 	 7 	 2 
101年 8月	 59 	 6 	 1 	0	0	 18 	 24 	 6 	0
101年 9月	 68 	 3 	0	 2 	0	 16 	 26 	 9 	0
101年 10月	 76 	 8 	0	 3 	0	 30 	 29 	 12 	 3 
101年 11月	 73 	 6 	 1 	 1 	0	 18 	 23 	 14 	 1 
101年 12月	 43 	 10 	0	 1 	0	 21 	 22 	 15 	0
102年	 1,004 	 102 	 26 	 56 	0	 224 	 221 	 96 	 27 
102年 1月	 96 	 11 	 2 	 7 	0	 26 	 15 	 9 	 1 
102年 2月	 200 	 17 	 5 	 30 	0	 20 	 13 	 4 	 2 
102年 3月	 63 	 6 	 1 	 4 	0	 17 	 13 	 11 	 1 
102年 4月	 88 	 17 	 1 	 4 	0	 19 	 16 	 6 	 3 
102年 5月	 65 	 8 	 2 	 1 	0	 14 	 19 	 7 	 1 
102年 6月	 85 	 8 	 3 	 3 	0	 14 	 22 	 10 	 4 
102年 7月	 59 	 2 	 1 	 1 	0	 18 	 28 	 8 	 4 
102年 8月	 66 	 7 	 2 	 1 	0	 23 	 18 	 6 	 2 
102年 9月	 96 	 9 	 3 	 2 	0	 23 	 22 	 9 	0
102年 10月	 62 	 5 	 3 	 3 	0	 11 	 10 	 8 	 4 
102年 11月	 65 	 5 	 2 	0	0	 18 	 18 	 9 	 3 
102年 12月	 59 	 7 	 1 	0	0	 21 	 27 	 9 	 2 
103年	 924 	 89 	 27 	 55 	0	 242 	 278 	 117 	 30 
103年 1月	 185 	 8 	 7 	 16 	0	 12 	 15 	 7 	 4 
103年 2月	 118 	 9 	 4 	 23 	0	 13 	 14 	 3 	 2 
103年 3月	 71 	 8 	 3 	 2 	0	 42 	 24 	 12 	 1 
103年 4月	 71 	 6 	 1 	 1 	0	 19 	 27 	 11 	 5 
103年 5月	 70 	 12 	 2 	 1 	0	 16 	 27 	 1 	 6 
103年 6月	 88 	 9 	 2 	 2 	0	 19 	 19 	 14 	 2 
103年 7月	 57 	 10 	0	 1 	0	 20 	 16 	 20 	 2 
103年 8月	 65 	 8 	 1 	0	0	 20 	 22 	 10 	 3 
103年 9月	 58 	 7 	 4 	 1 	0	 25 	 39 	 11 	 3 
103年 10月	 60 	 6 	0	 4 	0	 23 	 27 	 11 	 2 
103年 11月	 49 	 2 	 2 	 3 	0	 19 	 29 	 9 	0
103年 12月	 32 	 4 	 1 	 1 	0	 14 	 19 	 8 	0
104年	 744 	 55 	 16 	 42 	 1 	 171 	 264 	 73 	 13 
104年 1月	 19 	 3 	0	0	0	 20 	 26 	 6 	 1 
104年 2月	 184 	 5 	 7 	 24 	0	 11 	 17 	 4 	 1 
104年 3月	 53 	 7 	 5 	 1 	0	 13 	 21 	 6 	 1 
104年 4月	 44 	 2 	0	 4 	0	 15 	 23 	 3 	0
104年 5月	 62 	 6 	 1 	 2 	0	 11 	 25 	 10 	0
104年 6月	 56 	 4 	 1 	 1 	 1 	 12 	 26 	 8 	0
104年 7月	 51 	 7 	0	0	0	 8 	 17 	 6 	 1 
104年 8月	 54 	 6 	0	 2 	0	 19 	 23 	 6 	 4 
104年 9月	 53 	 7 	 1 	 3 	0	 16 	 13 	 6 	 2 
104年 10月	 61 	 3 	 1 	 1 	0	 19 	 27 	 4 	 1 
104年 11月	 53 	 4 	0	 3 	0	 9 	 24 	 6 	 1 
104年 12月	 54 	 1 	0	 1 	0	 18 	 22 	 8 	 1 
