時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
94年 5月	 3 	 64 	 8 	 41 	 28 	 1 	 5 	 13 	 5 
94年 6月	 6 	 52 	 1 	 39 	 18 	 1 	 5 	 9 	0
94年 7月	 7 	 62 	 3 	 46 	 18 	 1 	 2 	 5 	0
94年 8月	 12 	 59 	 7 	 61 	 22 	 1 	 5 	 7 	0
94年 9月	 6 	 81 	 1 	 42 	 10 	 1 	 1 	 10 	0
94年 10月	 8 	 96 	 6 	 32 	 20 	 2 	 5 	 13 	0
94年 11月	 8 	 84 	 2 	 31 	 13 	0	 2 	 7 	0
94年 12月	 11 	 77 	 3 	 32 	 11 	 1 	 2 	 7 	0
95年	 55 	 956 	 45 	 534 	 197 	 6 	 61 	 85 	0
95年 1月	 2 	 64 	 3 	 30 	 11 	 2 	 6 	 6 	0
95年 2月	 3 	 58 	 1 	 27 	 15 	0	 7 	 12 	0
95年 3月	 12 	 81 	 4 	 24 	 14 	 1 	 1 	 11 	0
95年 4月	 5 	 69 	 4 	 52 	 19 	0	 1 	 5 	0
95年 5月	 10 	 87 	0	 51 	 21 	 1 	 2 	 9 	0
95年 6月	 3 	 91 	 11 	 40 	 18 	 1 	 7 	 4 	0
95年 7月	 6 	 85 	 5 	 48 	 17 	0	 11 	 1 	0
95年 8月	 1 	 84 	 3 	 73 	 18 	0	 5 	 6 	0
95年 9月	 7 	 81 	 3 	 52 	 20 	 1 	 4 	 7 	0
95年 10月	 3 	 84 	 3 	 46 	 11 	0	 5 	 11 	0
95年 11月	 2 	 91 	 1 	 63 	 19 	0	 10 	 9 	0
95年 12月	 1 	 81 	 7 	 28 	 14 	0	 2 	 4 	0
96年	 34 	 1,081 	 49 	 838 	 235 	 10 	 53 	 126 	 3 
96年 1月	 2 	 91 	 5 	 53 	 28 	0	 7 	 7 	 2 
96年 2月	0	 47 	 3 	 65 	 25 	0	 9 	 30 	0
96年 3月	 5 	 98 	 7 	 66 	 24 	 1 	 2 	 8 	0
96年 4月	 1 	 77 	 3 	 59 	 10 	 2 	 6 	 5 	0
96年 5月	 5 	 101 	 7 	 69 	 21 	0	 3 	 16 	0
96年 6月	 7 	 93 	 4 	 53 	 15 	 1 	 6 	 8 	0
96年 7月	 3 	 86 	 3 	 73 	 18 	 1 	 4 	 9 	 1 
96年 8月	 2 	 83 	 3 	 103 	 23 	0	 3 	 7 	0
96年 9月	 1 	 92 	 3 	 108 	 22 	 1 	 2 	 4 	0
96年 10月	 2 	 114 	 6 	 71 	 16 	 3 	 3 	 8 	0
96年 11月	 2 	 100 	 5 	 52 	 17 	0	 4 	 9 	0
96年 12月	 4 	 99 	0	 66 	 16 	 1 	 4 	 15 	0
97年	 34 	 1,183 	 42 	 1,308 	 210 	 6 	 49 	 151 	 2 
97年 1月	 3 	 94 	 2 	 44 	 14 	0	 3 	 15 	0
97年 2月	 2 	 70 	 9 	 54 	 18 	0	 3 	 5 	0
97年 3月	 7 	 110 	 5 	 64 	 22 	0	 3 	 12 	0
97年 4月	 1 	 92 	 2 	 65 	 13 	0	 4 	 9 	0
97年 5月	 1 	 111 	 2 	 95 	 11 	 1 	 1 	 17 	0
97年 6月	 2 	 105 	 3 	 100 	 22 	 1 	 11 	 25 	0
97年 7月	 4 	 111 	 1 	 134 	 21 	 1 	 5 	 13 	0
97年 8月	 1 	 117 	 5 	 263 	 25 	0	 4 	 13 	 1 
97年 9月	 6 	 111 	 3 	 123 	 13 	0	 3 	 14 	 1 
97年 10月	 3 	 94 	 3 	 154 	 19 	0	 2 	 11 	0
97年 11月	 1 	 72 	 2 	 96 	 13 	 1 	 3 	 10 	0
97年 12月	 3 	 96 	 5 	 116 	 19 	 2 	 7 	 7 	0
98年	 28 	 1,287 	 45 	 828 	 201 	 2 	 60 	 164 	0
98年 1月	 1 	 83 	 2 	 67 	 13 	0	 4 	 8 	0
98年 2月	 2 	 94 	 2 	 152 	 16 	0	 3 	 8 	0
98年 3月	 1 	 121 	 3 	 111 	 19 	0	 2 	 13 	0
98年 4月	 5 	 106 	 2 	 70 	 9 	0	 3 	 6 	0
98年 5月	 1 	 130 	 5 	 79 	 24 	0	 3 	 5 	0
98年 6月	 3 	 124 	 4 	 43 	 13 	0	 3 	 25 	0
98年 7月	 4 	 115 	 4 	 94 	 20 	 1 	 9 	 13 	0
98年 8月	0	 109 	 5 	 63 	 20 	 1 	 8 	 12 	0
98年 9月	 7 	 116 	 6 	 49 	 10 	0	 12 	 8 	0
98年 10月	 2 	 105 	 5 	 39 	 31 	0	 8 	 18 	0
98年 11月	 1 	 78 	 1 	 29 	 12 	0	 1 	 27 	0
98年 12月	 1 	 106 	 6 	 32 	 14 	0	 4 	 21 	0
99年	 28 	 1,573 	 41 	 440 	 163 	 5 	 52 	 195 	0
99年 1月	 3 	 97 	 3 	 38 	 12 	0	 3 	 13 	0
99年 2月	 3 	 80 	 4 	 45 	 14 	0	 5 	 23 	0
99年 3月	 4 	 172 	 2 	 43 	 16 	 1 	 1 	 16 	0
99年 4月	 1 	 126 	 5 	 35 	 7 	0	 5 	 14 	0
99年 5月	 2 	 139 	 3 	 28 	 16 	 1 	 6 	 14 	0
99年 6月	 3 	 138 	 2 	 40 	 14 	 1 	 6 	 18 	0
99年 7月	 2 	 116 	 5 	 51 	 13 	0	 8 	 20 	0
99年 8月	 3 	 162 	 6 	 69 	 25 	 1 	 2 	 16 	0
99年 9月	 1 	 115 	 3 	 27 	 10 	 1 	 5 	 12 	0
99年 10月	 2 	 144 	 3 	 25 	 10 	0	 5 	 19 	0
99年 11月	 2 	 138 	 2 	 21 	 15 	0	 4 	 16 	0
99年 12月	 2 	 146 	 3 	 18 	 11 	0	 2 	 14 	0
100年	 22 	 1,885 	 63 	 414 	 174 	 2 	 67 	 275 	 3 
100年 1月	 1 	 168 	 3 	 26 	 16 	0	 10 	 21 	 1 
100年 2月	0	 109 	 2 	 23 	 11 	0	 5 	 9 	 1 
100年 3月	 2 	 162 	 8 	 27 	 18 	0	 6 	 11 	0
100年 4月	 2 	 141 	 6 	 26 	 23 	 1 	 9 	 12 	0
100年 5月	 2 	 154 	 5 	 44 	 21 	0	 2 	 16 	0
100年 6月	 2 	 144 	 5 	 46 	 14 	0	 3 	 21 	0
100年 7月	 5 	 168 	 5 	 43 	 18 	0	 7 	 41 	0
100年 8月	 2 	 196 	 9 	 49 	 20 	 1 	 4 	 28 	0
100年 9月	 2 	 142 	 4 	 41 	 8 	0	 2 	 18 	0
100年 10月	 2 	 143 	 5 	 35 	 11 	0	 7 	 23 	 1 
100年 11月	0	 191 	 7 	 33 	 11 	0	 5 	 41 	0
100年 12月	 2 	 167 	 4 	 21 	 3 	0	 7 	 34 	0
101年	 18 	 2,389 	 56 	 336 	 35 	 4 	 38 	 310 	0
101年 1月	 2 	 122 	 3 	 10 	 2 	0	 5 	 23 	0
101年 2月	 1 	 169 	 7 	 20 	 3 	 1 	 4 	 21 	0
101年 3月	 5 	 221 	 5 	 31 	 5 	 1 	 6 	 27 	0
101年 4月	 2 	 234 	 5 	 34 	 5 	0	 4 	 27 	0
101年 5月	0	 264 	 8 	 26 	 5 	 1 	 6 	 23 	0
101年 6月	 1 	 166 	 4 	 25 	 1 	0	 1 	 25 	0
101年 7月	 1 	 245 	 4 	 34 	 2 	 1 	 3 	 36 	0
101年 8月	0	 199 	 7 	 45 	 2 	0	 4 	 22 	0
101年 9月	0	 197 	 4 	 28 	0	0	 1 	 24 	0
101年 10月	 3 	 184 	 2 	 30 	 3 	0	0	 25 	0
101年 11月	 1 	 212 	 4 	 32 	 3 	0	 1 	 34 	0
101年 12月	 2 	 176 	 3 	 21 	 4 	0	 3 	 23 	0
102年	 10 	 2,381 	 63 	 411 	 11 	0	 10 	 262 	0
102年 1月	 2 	 185 	 6 	 32 	 3 	0	 1 	 14 	0
102年 2月	 2 	 127 	 6 	 26 	0	0	 1 	 24 	0
102年 3月	 1 	 244 	 4 	 42 	 2 	0	0	 21 	0
102年 4月	0	 245 	 9 	 35 	0	0	 1 	 33 	0
102年 5月	0	 230 	 2 	 36 	0	0	 1 	 21 	0
102年 6月	 1 	 181 	 4 	 39 	 1 	0	0	 20 	0
102年 7月	0	 187 	 3 	 46 	 1 	0	 1 	 33 	0
102年 8月	 1 	 190 	 4 	 39 	0	0	 3 	 17 	0
102年 9月	0	 176 	 5 	 26 	 1 	0	 1 	 22 	0
102年 10月	 3 	 186 	 2 	 30 	0	0	0	 20 	0
102年 11月	0	 206 	 7 	 35 	 3 	0	 1 	 19 	0
102年 12月	0	 224 	 11 	 25 	0	0	0	 18 	0
103年	 17 	 2,266 	 69 	 399 	 12 	0	 14 	 264 	0
103年 1月	 1 	 164 	 7 	 31 	0	0	0	 19 	0
103年 2月	 1 	 153 	 4 	 24 	 1 	0	 4 	 17 	0
103年 3月	 2 	 195 	 6 	 40 	 1 	0	 3 	 14 	0
103年 4月	 3 	 187 	 5 	 38 	 1 	0	 1 	 34 	0
103年 5月	 3 	 214 	 4 	 37 	0	0	0	 24 	0
103年 6月	0	 176 	 4 	 26 	 1 	0	 1 	 15 	0
103年 7月	 2 	 202 	 7 	 40 	 1 	0	 3 	 25 	0
103年 8月	 1 	 206 	 10 	 40 	 1 	0	0	 23 	0
103年 9月	0	 204 	 5 	 35 	 1 	0	0	 27 	0
103年 10月	 2 	 199 	 9 	 35 	0	0	0	 35 	0
103年 11月	 1 	 178 	 4 	 27 	 4 	0	0	 20 	0
103年 12月	 1 	 188 	 4 	 26 	 1 	0	 2 	 11 	0
104年	 14 	 2,063 	 54 	 361 	 13 	0	 5 	 297 	0
104年 1月	0	 191 	 2 	 24 	 1 	0	0	 27 	0
104年 2月	 1 	 123 	 1 	 23 	 1 	0	 1 	 24 	0
104年 3月	 3 	 190 	 4 	 40 	0	0	0	 11 	0
104年 4月	 2 	 178 	 5 	 27 	0	0	0	 28 	0
104年 5月	0	 168 	 5 	 36 	0	0	0	 22 	0
104年 6月	 1 	 191 	 6 	 38 	0	0	0	 20 	0
104年 7月	 1 	 207 	 5 	 17 	 1 	0	 1 	 26 	0
104年 8月	0	 156 	 6 	 41 	 2 	0	 1 	 25 	0
104年 9月	 3 	 159 	 9 	 32 	 2 	0	 1 	 26 	0
104年 10月	 1 	 171 	 2 	 35 	 1 	0	0	 29 	0
104年 11月	 1 	 156 	 2 	 25 	 3 	0	0	 29 	0
104年 12月	 1 	 173 	 7 	 23 	 2 	0	 1 	 30 	0
105年	 11 	 2,116 	 52 	 258 	 20 	 1 	 9 	 297 	0
105年 1月	 2 	 171 	 1 	 19 	 2 	 1 	 3 	 30 	0
105年 2月	 1 	 126 	 5 	 9 	0	0	 1 	 13 	0
105年 3月	 1 	 193 	 3 	 28 	 1 	0	 1 	 32 	0
105年 4月	0	 156 	 10 	 17 	0	0	0	 23 	0
105年 5月	 1 	 215 	 4 	 25 	 2 	0	0	 27 	0
105年 6月	 1 	 187 	 7 	 30 	 2 	0	0	 19 	0
105年 7月	 2 	 192 	 4 	 19 	 1 	0	 1 	 42 	0
105年 8月	0	 172 	 3 	 30 	 4 	0	0	 22 	0
105年 9月	 2 	 169 	 4 	 23 	0	0	 1 	 20 	0
105年 10月	 1 	 149 	 2 	 22 	 3 	0	 1 	 23 	0
105年 11月	0	 193 	 4 	 21 	 3 	0	 1 	 19 	0
105年 12月	0	 193 	 5 	 15 	 2 	0	0	 27 	0
