時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
96年 2月	 25 	0	0	 20 	0	 2 	 5 	 1 	0
96年 3月	 24 	0	0	0	0	 9 	0	 2 	 2 
96年 4月	 25 	0	0	 1 	0	 12 	 4 	 3 	0
96年 5月	 37 	0	0	 3 	0	 10 	 10 	0	0
96年 6月	 25 	0	0	 2 	0	 5 	 11 	0	 1 
96年 7月	 43 	0	0	0	0	 8 	 17 	 2 	0
96年 8月	 24 	0	0	 1 	0	 9 	 7 	0	0
96年 9月	 23 	0	0	0	0	 2 	0	 2 	0
96年 10月	 31 	0	0	 10 	0	 4 	 5 	0	 1 
96年 11月	 26 	0	0	0	0	 5 	 4 	 1 	0
96年 12月	 21 	0	0	 1 	0	 6 	 5 	 1 	0
97年	 214 	 1 	 3 	 21 	0	 69 	 45 	 18 	 3 
97年 1月	 21 	0	0	 2 	0	 4 	0	 2 	0
97年 2月	 17 	 1 	 1 	 2 	0	 2 	 2 	 1 	0
97年 3月	 12 	0	0	 1 	0	 7 	 4 	 1 	0
97年 4月	 12 	0	0	 2 	0	 1 	0	 4 	0
97年 5月	 17 	0	0	0	0	 5 	 7 	 1 	0
97年 6月	 18 	0	0	 3 	0	 2 	 3 	0	 1 
97年 7月	 22 	0	 1 	0	0	 7 	 5 	 1 	0
97年 8月	 17 	0	 1 	 1 	0	 7 	 5 	 1 	 1 
97年 9月	 29 	0	0	 4 	0	 12 	 4 	 2 	0
97年 10月	 20 	0	0	0	0	 11 	 3 	 1 	 1 
97年 11月	 14 	0	0	 2 	0	 5 	 4 	 1 	0
97年 12月	 15 	0	0	 4 	0	 6 	 8 	 3 	0
98年	 101 	0	0	 36 	0	 79 	 73 	 19 	 7 
98年 1月	 16 	0	0	 6 	0	 3 	 4 	 1 	 1 
98年 2月	 10 	0	0	 6 	0	 10 	 4 	 3 	 1 
98年 3月	 12 	0	0	 11 	0	 9 	 8 	 2 	 1 
98年 4月	 12 	0	0	 1 	0	 8 	 9 	 2 	0
98年 5月	 15 	0	0	0	0	 10 	 6 	 3 	 1 
98年 6月	 6 	0	0	0	0	 4 	 6 	 1 	 2 
98年 7月	 7 	0	0	 2 	0	 11 	 10 	 2 	 1 
98年 8月	 6 	0	0	 2 	0	 5 	 2 	 1 	0
98年 9月	 1 	0	0	 2 	0	 1 	 4 	 2 	0
98年 10月	 10 	0	0	 3 	0	 8 	 8 	0	0
98年 11月	 3 	0	0	 1 	0	 6 	 7 	 2 	0
98年 12月	 3 	0	0	 2 	0	 4 	 5 	0	0
99年	 158 	0	 3 	 59 	0	 85 	 73 	 14 	 2 
99年 1月	 4 	0	0	 2 	0	 5 	 5 	 1 	0
99年 2月	 24 	0	 1 	 20 	0	 2 	 10 	0	0
99年 3月	 17 	0	0	 5 	0	 7 	 4 	 1 	0
99年 4月	 5 	0	0	0	0	 5 	 5 	 1 	0
99年 5月	 10 	0	0	 3 	0	 10 	 9 	0	0
