時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
95年 8月	 2 	 16 	 5 	 11 	 19 	0	 2 	 4 	0
95年 9月	0	 8 	 2 	 8 	 14 	 1 	 2 	 3 	0
95年 10月	 1 	 5 	 1 	 9 	 25 	 1 	 4 	 1 	0
95年 11月	 2 	 18 	 1 	 13 	 16 	0	 1 	 5 	0
95年 12月	0	 20 	 1 	 7 	 17 	0	 4 	 3 	0
96年	 6 	 216 	 37 	 296 	 216 	 16 	 34 	 45 	 1 
96年 1月	0	 14 	 5 	 9 	 18 	0	 4 	 3 	0
96年 2月	0	 4 	 2 	 5 	 25 	0	 5 	0	0
96年 3月	0	 2 	 1 	 37 	 20 	 1 	 2 	 4 	 1 
96年 4月	0	 20 	 1 	 30 	 16 	 3 	 2 	 5 	0
96年 5月	0	 28 	 7 	 26 	 24 	 4 	 3 	 1 	0
96年 6月	 1 	 31 	 1 	 17 	 16 	0	 2 	 3 	0
96年 7月	0	 19 	 5 	 49 	 19 	0	 3 	 9 	0
96年 8月	 1 	 23 	0	 34 	 16 	 1 	 3 	 6 	0
96年 9月	 1 	 11 	 4 	 20 	 18 	 2 	 3 	 7 	0
96年 10月	 1 	 27 	 7 	 32 	 20 	 1 	 1 	 3 	0
96年 11月	0	 16 	 3 	 28 	 14 	 1 	 4 	 1 	0
96年 12月	 2 	 21 	 1 	 9 	 10 	 3 	 2 	 3 	0
97年	 5 	 67 	 23 	 397 	 233 	 8 	 38 	 49 	0
97年 1月	 1 	 12 	 2 	 9 	 23 	0	 3 	 2 	0
97年 2月	0	 1 	 2 	 14 	 14 	0	 1 	 4 	0
97年 3月	0	0	 3 	 30 	 17 	 1 	 8 	 2 	0
97年 4月	0	 2 	 3 	 46 	 20 	 1 	 5 	 4 	0
97年 5月	 1 	 1 	0	 17 	 26 	 1 	 2 	 7 	0
97年 6月	0	 6 	 1 	 29 	 18 	 1 	 5 	 1 	0
97年 7月	 1 	 13 	 1 	 130 	 31 	 2 	 3 	 8 	0
97年 8月	0	 11 	 3 	 78 	 16 	0	 3 	 3 	0
97年 9月	0	 8 	 2 	 24 	 14 	 1 	 2 	 5 	0
97年 10月	0	 8 	 1 	 9 	 19 	0	 3 	 2 	0
97年 11月	 1 	 2 	 3 	 3 	 21 	 1 	 2 	 5 	0
97年 12月	 1 	 3 	 2 	 8 	 14 	0	 1 	 6 	0
98年	 1 	 51 	 23 	 294 	 189 	 7 	 42 	 72 	0
98年 1月	0	 1 	0	 7 	 10 	0	 2 	 2 	0
