時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
94年 10月	 1,506 	 499 	 1 	 16 	0	 15 	 65 	 8 	 10 
94年 11月	 1,240 	 359 	 3 	 23 	0	 15 	 109 	 6 	 11 
94年 12月	 862 	 380 	0	 8 	 1 	 15 	 81 	 11 	 5 
95年	 14,497 	 4,746 	 49 	 401 	 1 	 226 	 1,771 	 95 	 79 
95年 1月	 1,135 	 428 	 5 	 13 	0	 7 	 103 	 4 	 5 
95年 2月	 875 	 379 	 5 	 134 	0	 10 	 149 	 4 	 4 
95年 3月	 919 	 380 	 5 	 66 	0	 10 	 102 	 9 	 7 
95年 4月	 1,282 	 545 	 5 	 23 	0	 17 	 247 	 9 	 7 
95年 5月	 1,225 	 392 	 3 	 28 	0	 17 	 164 	 9 	 12 
95年 6月	 1,203 	 379 	 1 	 20 	0	 28 	 136 	 9 	 3 
95年 7月	 1,555 	 447 	 2 	 20 	0	 24 	 93 	 7 	 6 
95年 8月	 1,695 	 524 	 5 	 20 	0	 20 	 80 	 14 	 7 
95年 9月	 1,399 	 379 	 5 	 12 	0	 25 	 283 	 6 	 7 
95年 10月	 1,201 	 289 	 6 	 17 	0	 21 	 131 	 6 	 9 
95年 11月	 1,066 	 315 	 3 	 27 	0	 24 	 152 	 4 	 7 
95年 12月	 942 	 289 	 4 	 21 	 1 	 23 	 131 	 14 	 5 
96年	 11,306 	 3,386 	 50 	 643 	 7 	 338 	 2,197 	 142 	 66 
96年 1月	 937 	 281 	 2 	 24 	 1 	 23 	 153 	 6 	 4 
96年 2月	 894 	 207 	 2 	 135 	0	 7 	 104 	 6 	 7 
96年 3月	 863 	 256 	 2 	 59 	 1 	 21 	 152 	 6 	 7 
96年 4月	 790 	 275 	 3 	 42 	 1 	 22 	 160 	 13 	 5 
96年 5月	 1,015 	 305 	 16 	 50 	0	 28 	 186 	 14 	 7 
96年 6月	 981 	 300 	 10 	 39 	0	 31 	 195 	 19 	 2 
96年 7月	 981 	 226 	 5 	 99 	 1 	 29 	 153 	 14 	 8 
96年 8月	 1,049 	 236 	 3 	 99 	 1 	 36 	 177 	 10 	 4 
96年 9月	 979 	 297 	 2 	 26 	0	 20 	 267 	 12 	 5 
96年 10月	 953 	 346 	 1 	 31 	 1 	 37 	 230 	 20 	 2 
96年 11月	 898 	 328 	 2 	 10 	0	 36 	 194 	 11 	 8 
96年 12月	 966 	 329 	 2 	 29 	 1 	 48 	 226 	 11 	 7 
97年	 9,703 	 3,375 	 64 	 530 	0	 138 	 2,650 	 88 	 75 
97年 1月	 1,044 	 392 	 6 	 88 	0	 24 	 254 	 7 	 8 
97年 2月	 828 	 371 	 21 	 114 	0	 7 	 232 	 2 	 1 
97年 3月	 790 	 406 	 4 	 68 	0	 18 	 245 	 5 	 8 
97年 4月	 875 	 407 	 5 	 22 	0	 7 	 201 	 8 	 9 
97年 5月	 833 	 345 	 6 	 32 	0	 9 	 249 	 2 	 3 
97年 6月	 789 	 282 	 5 	 18 	0	 11 	 256 	 13 	 5 
97年 7月	 854 	 264 	 8 	 92 	0	 14 	 219 	 8 	 5 
97年 8月	 832 	 256 	 4 	 55 	0	 4 	 214 	 6 	 12 
97年 9月	 747 	 209 	0	 6 	0	 13 	 230 	 4 	 6 
97年 10月	 759 	 177 	 3 	 13 	0	 9 	 200 	 19 	 9 
97年 11月	 720 	 133 	 1 	 13 	0	 12 	 171 	 8 	 6 
97年 12月	 632 	 133 	 1 	 9 	0	 10 	 179 	 6 	 3 
98年	 7,727 	 1,869 	 124 	 454 	 1 	 96 	 2,677 	 79 	 79 
98年 1月	 1,141 	 224 	 39 	 125 	 1 	 10 	 186 	 1 	 3 
98年 2月	 918 	 153 	 50 	 80 	0	 4 	 164 	 6 	 2 
98年 3月	 588 	 128 	 4 	 55 	0	 6 	 248 	 10 	 6 
98年 4月	 495 	 123 	 5 	 23 	0	 17 	 249 	 7 	 4 
98年 5月	 578 	 142 	 4 	 19 	0	 6 	 292 	 2 	 5 
98年 6月	 503 	 151 	 4 	 13 	0	 7 	 265 	 11 	 8 
98年 7月	 558 	 174 	 2 	 53 	0	 6 	 224 	 2 	 8 
98年 8月	 619 	 187 	 4 	 24 	0	 10 	 220 	 6 	 9 
98年 9月	 622 	 162 	 3 	 17 	0	 6 	 271 	 6 	 5 
98年 10月	 695 	 154 	 2 	 18 	0	 7 	 200 	 9 	 7 
98年 11月	 578 	 153 	 2 	 18 	0	 8 	 202 	 7 	 9 
98年 12月	 432 	 118 	 5 	 9 	0	 9 	 156 	 12 	 13 
99年	 7,538 	 1,654 	 198 	 404 	 1 	 91 	 1,875 	 89 	 64 
99年 1月	 256 	 72 	0	 10 	0	 4 	 141 	 7 	 13 
99年 2月	 1,909 	 337 	 157 	 188 	0	 2 	 125 	 3 	 1 
99年 3月	 438 	 128 	 8 	 30 	0	 3 	 189 	 10 	 5 
99年 4月	 540 	 125 	 2 	 22 	0	 4 	 149 	 4 	 7 
99年 5月	 600 	 138 	 3 	 27 	 1 	 8 	 172 	 5 	 7 
99年 6月	 501 	 136 	 3 	 6 	0	 12 	 207 	 8 	 3 
99年 7月	 597 	 123 	 1 	 21 	0	 7 	 173 	 2 	 4 
99年 8月	 594 	 146 	 4 	 18 	0	 10 	 215 	 16 	 9 
99年 9月	 580 	 134 	0	 28 	0	 9 	 119 	 2 	 2 
99年 10月	 610 	 139 	 10 	 30 	0	 12 	 152 	 6 	 3 
99年 11月	 588 	 109 	 7 	 18 	0	 7 	 137 	 10 	 7 
99年 12月	 325 	 67 	 3 	 6 	0	 13 	 96 	 16 	 3 
100年	 6,750 	 1,212 	 353 	 383 	 5 	 99 	 1,220 	 113 	 52 
100年 1月	 1,113 	 185 	 66 	 122 	0	 7 	 100 	 16 	 3 
100年 2月	 1,217 	 146 	 207 	 80 	0	 6 	 100 	 5 	 2 
100年 3月	 414 	 114 	 8 	 19 	0	 9 	 138 	 12 	 5 
100年 4月	 480 	 118 	 6 	 32 	 2 	 5 	 90 	 8 	 11 
100年 5月	 506 	 92 	 29 	 22 	0	 13 	 106 	 10 	 4 
100年 6月	 464 	 96 	 2 	 13 	0	 6 	 83 	 1 	 3 
