時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
94年 4月	 136 	 56 	 2 	 4 	 1 	 25 	 6 	 8 	 1 
94年 5月	 145 	 45 	 1 	 1 	 1 	 33 	 11 	 13 	 2 
94年 6月	 91 	 68 	 1 	 3 	0	 25 	 15 	 8 	 1 
94年 7月	 119 	 44 	 1 	 1 	0	 31 	 15 	 8 	0
94年 8月	 145 	 59 	 2 	 4 	0	 26 	 64 	 6 	 2 
94年 9月	 127 	 56 	0	 4 	 1 	 39 	 12 	 11 	 2 
94年 10月	 125 	 29 	0	 4 	0	 37 	 16 	 16 	 2 
94年 11月	 81 	 37 	0	0	0	 36 	 13 	 11 	 3 
94年 12月	 82 	 26 	 1 	 5 	0	 30 	 19 	 13 	 3 
95年	 1,504 	 290 	 21 	 149 	0	 365 	 286 	 105 	 22 
95年 1月	 178 	 34 	 2 	 6 	0	 26 	 20 	 7 	 6 
95年 2月	 97 	 24 	0	 36 	0	 27 	 20 	 9 	 2 
95年 3月	 68 	 21 	 2 	 29 	0	 27 	 21 	 13 	 4 
95年 4月	 98 	 16 	0	 8 	0	 24 	 16 	 12 	 2 
95年 5月	 143 	 23 	 7 	 4 	0	 29 	 25 	 14 	 2 
95年 6月	 132 	 27 	0	 3 	0	 38 	 25 	 14 	0
95年 7月	 117 	 28 	 5 	 6 	0	 32 	 20 	 3 	 2 
95年 8月	 133 	 36 	 2 	 12 	0	 32 	 28 	 5 	 1 
95年 9月	 158 	 15 	0	 5 	0	 24 	 27 	 7 	 1 
95年 10月	 138 	 28 	 2 	 10 	0	 45 	 37 	 10 	 1 
95年 11月	 139 	 15 	 1 	 22 	0	 29 	 27 	 6 	 1 
95年 12月	 103 	 23 	0	 8 	0	 32 	 20 	 5 	0
96年	 1,509 	 297 	 11 	 129 	0	 362 	 411 	 119 	 11 
96年 1月	 139 	 9 	 1 	 8 	0	 28 	 29 	 9 	 1 
96年 2月	 184 	 45 	 1 	 35 	0	 23 	 55 	 6 	 1 
96年 3月	 131 	 32 	0	 15 	0	 24 	 45 	 22 	0
96年 4月	 116 	 29 	0	 9 	0	 41 	 40 	 13 	 1 
96年 5月	 143 	 42 	 1 	 14 	0	 34 	 16 	 9 	 1 
96年 6月	 140 	 25 	 1 	 9 	0	 25 	 37 	 7 	 1 
96年 7月	 124 	 22 	 5 	 7 	0	 33 	 25 	 6 	 1 
96年 8月	 83 	 26 	 1 	 3 	0	 26 	 23 	 7 	 1 
96年 9月	 135 	 15 	 1 	 8 	0	 32 	 23 	 11 	 1 
96年 10月	 105 	 18 	0	 10 	0	 27 	 26 	 10 	 2 
96年 11月	 101 	 15 	0	 9 	0	 31 	 23 	 11 	0
96年 12月	 108 	 19 	0	 2 	0	 38 	 69 	 8 	 1 
97年	 1,218 	 354 	 20 	 121 	0	 275 	 362 	 93 	 11 
97年 1月	 130 	 25 	 1 	 22 	0	 20 	 27 	 9 	0
97年 2月	 115 	 14 	 2 	 34 	0	 21 	 25 	 3 	 5 
97年 3月	 80 	 22 	 3 	 31 	0	 17 	 16 	 10 	 1 
97年 4月	 129 	 26 	 2 	 5 	0	 26 	 38 	 10 	0
97年 5月	 131 	 41 	 4 	 3 	0	 27 	 40 	 6 	0
97年 6月	 119 	 41 	 2 	 7 	0	 27 	 29 	 9 	0
97年 7月	 117 	 50 	0	 2 	0	 30 	 30 	 4 	 1 
97年 8月	 105 	 44 	 2 	 4 	0	 19 	 24 	 13 	0
97年 9月	 79 	 38 	 2 	 3 	0	 30 	 17 	 8 	0
97年 10月	 97 	 19 	0	 7 	0	 17 	 42 	 9 	 2 
