時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
95年 1月	 332 	 56 	 5 	 16 	0	 15 	 57 	 4 	 2 
95年 2月	 143 	 44 	 3 	 48 	0	 12 	 52 	 5 	 1 
95年 3月	 208 	 65 	 3 	 47 	0	 16 	 38 	 3 	 1 
95年 4月	 185 	 58 	0	 9 	0	 18 	 21 	 3 	 2 
95年 5月	 271 	 38 	 8 	0	0	 20 	 26 	 9 	 3 
95年 6月	 238 	 35 	 2 	 3 	0	 15 	 42 	 8 	 3 
95年 7月	 259 	 66 	 3 	 3 	0	 17 	 87 	 9 	 1 
95年 8月	 280 	 61 	 3 	 4 	0	 21 	 129 	 10 	 2 
95年 9月	 517 	 47 	 4 	 10 	0	 18 	 149 	 4 	 3 
95年 10月	 138 	 29 	0	 8 	0	 11 	 38 	 4 	0
95年 11月	 220 	 28 	 3 	 4 	0	 9 	 56 	 5 	 1 
95年 12月	 121 	 36 	 2 	 4 	0	 11 	 67 	 6 	0
96年	 2,906 	 963 	 22 	 141 	0	 241 	 1,050 	 81 	 32 
96年 1月	 173 	 64 	 1 	 11 	0	 13 	 167 	 7 	 2 
96年 2月	 326 	 131 	 1 	 31 	0	 6 	 56 	 7 	 7 
96年 3月	 267 	 67 	 1 	 22 	0	 23 	 122 	 11 	 2 
96年 4月	 189 	 74 	0	 14 	0	 20 	 56 	 9 	 3 
96年 5月	 221 	 104 	 1 	 7 	0	 29 	 178 	 5 	 3 
96年 6月	 248 	 105 	 6 	 6 	0	 22 	 44 	 1 	 4 
96年 7月	 261 	 71 	 3 	 7 	0	 24 	 72 	 9 	 2 
96年 8月	 228 	 71 	 1 	 8 	0	 18 	 137 	 4 	 1 
96年 9月	 285 	 65 	 1 	 11 	0	 17 	 53 	 7 	 2 
96年 10月	 261 	 69 	 3 	 16 	0	 30 	 62 	 8 	 1 
96年 11月	 196 	 85 	 1 	 6 	0	 20 	 63 	 9 	 4 
96年 12月	 251 	 57 	 3 	 2 	0	 19 	 40 	 4 	 1 
97年	 2,427 	 481 	 48 	 127 	0	 230 	 631 	 84 	 13 
97年 1月	 214 	 79 	 4 	 3 	0	 21 	 31 	 9 	 3 
97年 2月	 254 	 49 	 2 	 23 	0	 22 	 57 	 5 	0
97年 3月	 184 	 43 	 1 	 41 	0	 13 	 31 	 5 	0
97年 4月	 188 	 42 	 5 	 7 	0	 20 	 58 	 5 	0
97年 5月	 223 	 27 	 3 	 6 	0	 19 	 44 	 6 	 1 
97年 6月	 238 	 66 	 9 	 4 	0	 24 	 93 	 9 	 1 
97年 7月	 221 	 55 	 6 	 5 	0	 20 	 44 	 9 	0
97年 8月	 243 	 43 	 12 	 7 	0	 23 	 42 	 15 	0
97年 9月	 186 	 19 	 3 	 7 	0	 16 	 32 	 6 	 2 
97年 10月	 197 	 22 	 1 	 5 	0	 14 	 49 	 5 	 2 
97年 11月	 148 	 21 	 1 	 9 	0	 16 	 58 	 3 	 2 
97年 12月	 131 	 15 	 1 	 10 	0	 22 	 92 	 7 	 2 
98年	 1,917 	 267 	 31 	 107 	0	 215 	 571 	 132 	 20 
98年 1月	 168 	 26 	 15 	 21 	0	 15 	 41 	 7 	 2 
98年 2月	 177 	 21 	 7 	 21 	0	 23 	 35 	 5 	 1 
98年 3月	 133 	 15 	0	 6 	0	 16 	 42 	 10 	 4 
98年 4月	 147 	 21 	 1 	 12 	0	 16 	 49 	 11 	 2 
98年 5月	 157 	 17 	 2 	 8 	0	 26 	 33 	 9 	 1 
98年 6月	 177 	 27 	 1 	 10 	0	 20 	 46 	 13 	 3 
98年 7月	 151 	 26 	 1 	 7 	0	 24 	 49 	 14 	 2 
98年 8月	 122 	 26 	 2 	 7 	0	 19 	 51 	 14 	0
98年 9月	 153 	 28 	0	 4 	0	 17 	 51 	 13 	 2 
98年 10月	 149 	 16 	0	 6 	0	 13 	 46 	 9 	 1 
98年 11月	 124 	 26 	 2 	 3 	0	 17 	 73 	 16 	 1 
98年 12月	 259 	 18 	0	 2 	0	 9 	 55 	 11 	 1 
99年	 1,645 	 219 	 23 	 108 	 1 	 183 	 524 	 134 	 17 
99年 1月	 47 	 14 	0	 4 	0	 12 	 83 	 5 	 1 
99年 2月	 326 	 57 	 11 	 48 	0	 9 	 57 	 10 	 2 
99年 3月	 94 	 17 	 1 	 7 	0	 17 	 28 	 11 	 4 
99年 4月	 110 	 20 	0	 8 	0	 12 	 21 	 4 	 1 
99年 5月	 153 	 26 	 1 	 11 	0	 14 	 44 	 11 	0
99年 6月	 108 	 6 	 3 	 12 	0	 16 	 49 	 18 	 1 
99年 7月	 114 	 15 	 2 	 7 	0	 19 	 35 	 14 	 2 
99年 8月	 130 	 12 	 1 	 3 	 1 	 32 	 35 	 14 	 3 
99年 9月	 117 	 20 	0	0	0	 14 	 42 	 13 	 1 
99年 10月	 132 	 16 	 2 	 3 	0	 13 	 58 	 11 	 2 
99年 11月	 247 	 11 	 1 	 4 	0	 11 	 38 	 10 	0
99年 12月	 67 	 5 	 1 	 1 	0	 14 	 34 	 13 	0
100年	 1,293 	 98 	 22 	 150 	 1 	 284 	 420 	 145 	 17 
100年 1月	 157 	 15 	 2 	 35 	0	 15 	 43 	 13 	 2 
100年 2月	 132 	 16 	 6 	 32 	0	 17 	 47 	 9 	 4 
100年 3月	 111 	 6 	 1 	 10 	0	 21 	 31 	 15 	 2 
100年 4月	 108 	 10 	 1 	 3 	0	 27 	 24 	 18 	0
100年 5月	 105 	 14 	 2 	 4 	0	 36 	 41 	 5 	0
100年 6月	 72 	 3 	0	 3 	0	 21 	 36 	 9 	0
100年 7月	 96 	 15 	 2 	 4 	 1 	 31 	 38 	 15 	 2 
100年 8月	 105 	 3 	 3 	 5 	0	 23 	 34 	 14 	 1 
100年 9月	 107 	 5 	0	 23 	0	 24 	 38 	 15 	 1 
100年 10月	 135 	 6 	 2 	 12 	0	 20 	 36 	 10 	 2 
100年 11月	 107 	 4 	 2 	 6 	0	 22 	 25 	 13 	 2 
100年 12月	 58 	 1 	 1 	 13 	0	 27 	 27 	 9 	 1 
101年	 1,267 	 117 	 13 	 134 	0	 184 	 263 	 151 	 15 
101年 1月	 196 	 20 	 1 	 49 	0	 6 	 29 	 7 	0
101年 2月	 105 	 14 	 2 	 23 	0	 13 	 39 	 12 	 1 
101年 3月	 92 	 3 	0	 7 	0	 15 	 21 	 12 	 1 
101年 4月	 100 	 6 	0	 7 	0	 13 	 22 	 6 	 1 
101年 5月	 102 	 10 	0	 11 	0	 22 	 23 	 13 	0
101年 6月	 70 	 7 	 1 	 2 	0	 12 	 10 	 5 	 4 
101年 7月	 99 	 8 	0	 4 	0	 20 	 22 	 15 	 1 
101年 8月	 114 	 14 	 2 	 6 	0	 22 	 17 	 17 	 2 
101年 9月	 115 	 9 	0	 8 	0	 19 	 28 	 13 	 4 
101年 10月	 129 	 7 	 1 	 10 	0	 14 	 16 	 10 	0
101年 11月	 82 	 12 	 4 	 6 	0	 18 	 19 	 20 	0
101年 12月	 63 	 7 	 2 	 1 	0	 10 	 17 	 21 	 1 
102年	 1,153 	 117 	 6 	 180 	 2 	 245 	 335 	 179 	 16 
102年 1月	 99 	 3 	0	 37 	0	 13 	 25 	 15 	 3 
102年 2月	 233 	 17 	 2 	 64 	0	 11 	 19 	 13 	 1 
102年 3月	 93 	 5 	0	 10 	0	 18 	 24 	 8 	 2 
